B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 6
B06, Trade, 3136.367, 70, B06, S02, 1
B06, Trade, 8609.867, 72, B06, S02, 1
B06, Trade, 9222.417, 75, B06, S02, 1
B06, Trade, 10987.283, 76, B06, S00, 1
B06, Trade, 12831.550, 74, B06, S00, 1
B06, Trade, 13313.833, 72, B06, S00, 1
B07, 29
B07, Trade, 204.867, 74, B07, S00, 1
B07, Trade, 1075.467, 75, B07, S02, 1
B07, Trade, 1339.117, 77, B07, S05, 1
B07, Trade, 1509.100, 79, B07, S03, 1
B07, Trade, 1671.800, 70, B07, S02, 1
B07, Trade, 1697.883, 77, B07, S05, 1
B07, Trade, 1714.200, 77, B07, S05, 1
B07, Trade, 1737.417, 79, B07, S02, 1
B07, Trade, 1797.867, 75, B07, S05, 1
B07, Trade, 2397.350, 79, B07, S03, 1
B07, Trade, 2782.250, 78, B07, S03, 1
B07, Trade, 2855.283, 79, B07, S03, 1
B07, Trade, 3135.483, 75, B07, S00, 1
B07, Trade, 4091.633, 78, B07, S03, 1
B07, Trade, 4751.917, 78, B07, S00, 1
B07, Trade, 4904.517, 78, B07, S02, 1
B07, Trade, 5638.067, 75, B07, S00, 1
B07, Trade, 5728.050, 79, B07, S05, 1
B07, Trade, 6142.550, 79, B07, S00, 1
B07, Trade, 6387.233, 79, B07, S02, 1
B07, Trade, 6475.183, 78, B07, S03, 1
B07, Trade, 6493.367, 79, B07, S05, 1
B07, Trade, 6714.250, 79, B07, S00, 1
B07, Trade, 7052.650, 75, B07, S02, 1
B07, Trade, 8806.233, 76, B07, S00, 1
B07, Trade, 9957.767, 73, B07, S00, 1
B07, Trade, 11790.833, 71, B07, S04, 1
B07, Trade, 12330.333, 65, B07, S00, 1
B07, Trade, 14180.400, 71, B07, S02, 1
B08, 20
B08, Trade, 7389.883, 80, B08, S03, 1
B08, Trade, 7853.817, 80, B08, S04, 1
B08, Trade, 8322.917, 82, B08, S02, 1
B08, Trade, 8560.717, 74, B08, S00, 1
B08, Trade, 9438.883, 80, B08, S00, 1
B08, Trade, 9980.633, 80, B08, S03, 1
B08, Trade, 9998.067, 82, B08, S04, 1
B08, Trade, 10111.317, 81, B08, S00, 1
B08, Trade, 10474.283, 82, B08, S00, 1
B08, Trade, 10773.333, 81, B08, S00, 1
B08, Trade, 11162.050, 73, B08, S02, 1
B08, Trade, 11631.717, 82, B08, S01, 1
B08, Trade, 11678.683, 77, B08, S00, 1
B08, Trade, 11926.667, 82, B08, S04, 1
B08, Trade, 13365.800, 80, B08, S00, 1
B08, Trade, 14929.117, 78, B08, S03, 1
B08, Trade, 15868.617, 81, B08, S00, 1
B08, Trade, 16140.467, 74, B08, S03, 1
B08, Trade, 17003.700, 82, B08, S03, 1
B08, Trade, 17691.267, 81, B08, S04, 1
B09, 19
B09, Trade, 403.950, 79, B09, S05, 1
B09, Trade, 3966.450, 82, B09, S05, 1
B09, Trade, 5154.167, 81, B09, S05, 1
B09, Trade, 6053.767, 77, B09, S00, 1
B09, Trade, 6350.767, 78, B09, S06, 1
B09, Trade, 7548.850, 77, B09, S02, 1
B09, Trade, 8129.483, 83, B09, S03, 1
B09, Trade, 8687.183, 74, B09, S00, 1
B09, Trade, 9180.150, 72, B09, S00, 1
B09, Trade, 9528.050, 71, B09, S02, 1
B09, Trade, 9553.133, 81, B09, S00, 1
B09, Trade, 10280.883, 78, B09, S01, 1
B09, Trade, 11082.833, 72, B09, S04, 1
B09, Trade, 11764.233, 66, B09, S00, 1
B09, Trade, 12579.500, 72, B09, S00, 1
B09, Trade, 13432.317, 73, B09, S00, 1
B09, Trade, 13784.483, 73, B09, S02, 1
B09, Trade, 13824.150, 79, B09, S00, 1
B09, Trade, 14007.983, 75, B09, S00, 1
B10, 100
B10, Trade, 8816.533, 86, B10, S04, 1
B10, Trade, 8844.050, 85, B10, S06, 1
B10, Trade, 8896.417, 82, B10, S00, 1
B10, Trade, 8979.550, 81, S02, B10, 1
B10, Trade, 8990.417, 77, S00, B10, 1
B10, Trade, 9048.533, 76, B10, S00, 1
B10, Trade, 9088.750, 84, B10, S00, 1
B10, Trade, 9220.650, 87, B10, S00, 1
B10, Trade, 9327.350, 84, B10, S01, 1
B10, Trade, 9355.100, 85, B10, S04, 1
B10, Trade, 9378.833, 83, B10, S02, 1
B10, Trade, 9460.700, 85, B10, S02, 1
B10, Trade, 9473.867, 86, B10, S04, 1
B10, Trade, 9926.600, 81, B10, S00, 1
B10, Trade, 9997.800, 80, S06, B10, 1
B10, Trade, 10044.600, 87, B10, S04, 1
B10, Trade, 10271.667, 76, B10, S00, 1
B10, Trade, 10388.850, 84, B10, S02, 1
B10, Trade, 10425.517, 79, B10, S02, 1
B10, Trade, 10462.650, 80, B10, S02, 1
B10, Trade, 10501.233, 79, S04, B10, 1
B10, Trade, 10520.400, 82, B10, S04, 1
B10, Trade, 10531.700, 84, B10, S00, 1
B10, Trade, 10553.750, 86, B10, S00, 1
B10, Trade, 10567.033, 80, S04, B10, 1
B10, Trade, 10795.383, 72, B10, S00, 1
B10, Trade, 10828.050, 85, B10, S00, 1
B10, Trade, 11160.117, 85, B10, S06, 1
B10, Trade, 11244.300, 84, B10, S00, 1
B10, Trade, 11554.317, 75, B10, S02, 1
B10, Trade, 11641.050, 83, B10, S00, 1
B10, Trade, 11710.333, 83, B10, S00, 1
B10, Trade, 11720.100, 86, B10, S00, 1
B10, Trade, 11734.417, 82, B10, S00, 1
B10, Trade, 11804.950, 86, B10, S00, 1
B10, Trade, 11893.333, 82, B10, S04, 1
B10, Trade, 11914.950, 86, B10, S06, 1
B10, Trade, 11915.250, 79, S03, B10, 1
