B00, 100
B00, Trade, 258200.233, 99, B00, S29, 1
B00, Trade, 258207.350, 122, B00, S20, 1
B00, Trade, 258213.817, 116, B00, S02, 1
B00, Trade, 258219.200, 60, S21, B00, 1
B00, Trade, 258220.717, 60, S20, B00, 1
B00, Trade, 258232.100, 92, B00, S20, 1
B00, Trade, 258232.867, 125, S16, B00, 1
B00, Trade, 258247.533, 66, B00, S20, 1
B00, Trade, 258258.983, 107, B00, S09, 1
B00, Trade, 258284.833, 98, B00, S01, 1
B00, Trade, 258296.817, 126, B00, S11, 1
B00, Trade, 258306.900, 80, B00, S20, 1
B00, Trade, 258321.600, 117, B00, S26, 1
B00, Trade, 258329.217, 86, B00, S27, 1
B00, Trade, 258345.033, 71, B00, S13, 1
B00, Trade, 258347.733, 123, B00, S07, 1
B00, Trade, 258355.967, 137, B00, S07, 1
B00, Trade, 258362.267, 123, B00, S27, 1
B00, Trade, 258378.483, 124, B00, S06, 1
B00, Trade, 258392.700, 75, B00, S13, 1
B00, Trade, 258407.900, 88, B00, S29, 1
B00, Trade, 258435.783, 123, S16, B00, 1
B00, Trade, 258439.817, 93, B00, S06, 1
B00, Trade, 258446.083, 108, B00, S27, 1
B00, Trade, 258465.450, 111, B00, S13, 1
B00, Trade, 258477.717, 118, S11, B00, 1
B00, Trade, 258489.667, 128, B00, S02, 1
B00, Trade, 258494.567, 96, B00, S18, 1
B00, Trade, 258496.433, 93, B00, S14, 1
B00, Trade, 258512.650, 91, B00, S29, 1
B00, Trade, 258523.833, 124, B00, S21, 1
B00, Trade, 258540.967, 103, B00, S07, 1
B00, Trade, 258554.750, 91, B00, S14, 1
B00, Trade, 258597.517, 121, B00, S00, 1
B00, Trade, 258605.917, 106, B00, S18, 1
B00, Trade, 258619.183, 128, B00, S20, 1
B00, Trade, 258626.950, 76, B00, S29, 1
B00, Trade, 258633.950, 107, B00, S02, 1
B00, Trade, 258640.633, 91, B00, S20, 1
B00, Trade, 258646.867, 128, B00, S22, 1
B00, Trade, 258651.450, 86, B00, S17, 1
B00, Trade, 258666.000, 97, B00, S29, 1
B00, Trade, 258673.750, 123, S08, B00, 1
B00, Trade, 258681.717, 91, B00, S29, 1
B00, Trade, 258686.050, 131, B00, S14, 1
B00, Trade, 258690.233, 62, B00, S18, 1
B00, Trade, 258695.883, 118, B00, S06, 1
B00, Trade, 258718.783, 121, B00, S13, 1
B00, Trade, 258719.867, 117, B00, S03, 1
B00, Trade, 258736.600, 136, B00, S18, 1
B00, Trade, 258740.917, 111, B00, S01, 1
B00, Trade, 258750.483, 110, B00, S07, 1
B00, Trade, 258758.850, 126, B00, S03, 1
B00, Trade, 258762.983, 77, B00, S06, 1
B00, Trade, 258770.417, 112, B00, S28, 1
B00, Trade, 258782.567, 87, B00, S07, 1
B00, Trade, 258789.100, 95, B00, S13, 1
B00, Trade, 258797.683, 119, B00, S25, 1
B00, Trade, 258803.950, 106, B00, S18, 1
B00, Trade, 258810.517, 127, B00, S18, 1
B00, Trade, 258815.450, 117, B00, S01, 1
B00, Trade, 258824.183, 110, B00, S13, 1
B00, Trade, 258835.250, 125, S16, B00, 1
B00, Trade, 258843.333, 100, B00, S20, 1
B00, Trade, 258848.533, 123, B00, S24, 1
B00, Trade, 258851.783, 106, B00, S18, 1
B00, Trade, 258870.800, 110, B00, S05, 1
B00, Trade, 258886.917, 118, B00, S11, 1
B00, Trade, 258895.633, 105, B00, S24, 1
B00, Trade, 258897.300, 75, S27, B00, 1
B00, Trade, 258906.450, 114, B00, S09, 1
B00, Trade, 258918.550, 78, B00, S26, 1
B00, Trade, 258923.833, 125, B00, S24, 1
B00, Trade, 258945.067, 97, B00, S03, 1
B00, Trade, 258948.417, 124, S11, B00, 1
B00, Trade, 258955.533, 113, B00, S13, 1
B00, Trade, 258964.983, 88, B00, S10, 1
B00, Trade, 258976.883, 118, B00, S09, 1
B00, Trade, 258989.633, 118, B00, S06, 1
B00, Trade, 258994.033, 113, B00, S09, 1
B00, Trade, 258999.000, 108, S08, B00, 1
B00, Trade, 259004.967, 118, B00, S26, 1
B00, Trade, 259008.667, 102, S15, B00, 1
B00, Trade, 259020.300, 125, B00, S02, 1
B00, Trade, 259035.550, 89, B00, S03, 1
B00, Trade, 259041.083, 79, B00, S10, 1
B00, Trade, 259042.667, 80, B00, S07, 1
B00, Trade, 259060.233, 124, S00, B00, 1
B00, Trade, 259071.717, 109, B00, S05, 1
B00, Trade, 259098.150, 85, S15, B00, 1
B00, Trade, 259113.150, 104, B00, S05, 1
B00, Trade, 259120.917, 111, B00, S13, 1
B00, Trade, 259133.550, 94, B00, S09, 1
B00, Trade, 259143.817, 114, B00, S27, 1
B00, Trade, 259157.017, 119, B00, S25, 1
B00, Trade, 259161.367, 80, B00, S05, 1
B00, Trade, 259181.883, 100, B00, S18, 1
B00, Trade, 259189.833, 127, B00, S06, 1
B00, Trade, 259196.200, 117, B00, S07, 1
B00, Trade, 259197.717, 104, B00, S10, 1
B01, 100
B01, Trade, 258647.883, 130, B01, S07, 1
B01, Trade, 258650.983, 62, S02, B01, 1
B01, Trade, 258652.967, 102, B01, S07, 1
B01, Trade, 258664.883, 129, S01, B01, 1
B01, Trade, 258671.967, 135, B01, S17, 1
B01, Trade, 258673.383, 120, B01, S14, 1
B01, Trade, 258677.533, 121, B01, S29, 1
B01, Trade, 258682.867, 129, S00, B01, 1
B01, Trade, 258685.050, 110, S08, B01, 1
B01, Trade, 258690.400, 109, B01, S03, 1
B01, Trade, 258697.033, 135, B01, S01, 1
B01, Trade, 258700.333, 120, B01, S25, 1
B01, Trade, 258705.283, 131, B01, S29, 1
B01, Trade, 258718.267, 121, B01, S14, 1
B01, Trade, 258721.850, 124, S16, B01, 1
B01, Trade, 258724.367, 120, S21, B01, 1
B01, Trade, 258734.167, 137, B01, S25, 1
B01, Trade, 258738.417, 129, S11, B01, 1
B01, Trade, 258741.117, 104, B01, S02, 1
B01, Trade, 258752.183, 106, B01, S02, 1
B01, Trade, 258757.117, 140, B01, S26, 1
B01, Trade, 258760.400, 127, B01, S28, 1
B01, Trade, 258769.783, 130, S16, B01, 1
B01, Trade, 258776.100, 132, S21, B01, 1
B01, Trade, 258789.067, 129, S08, B01, 1
B01, Trade, 258790.400, 135, B01, S03, 1
B01, Trade, 258796.283, 129, S16, B01, 1
B01, Trade, 258802.800, 138, S08, B01, 1
B01, Trade, 258814.350, 136, B01, S16, 1
B01, Trade, 258820.000, 132, S19, B01, 1
B01, Trade, 258822.467, 122, S11, B01, 1
B01, Trade, 258831.400, 136, B01, S29, 1
B01, Trade, 258833.000, 135, B01, S03, 1
B01, Trade, 258837.200, 122, B01, S29, 1
B01, Trade, 258843.967, 119, B01, S26, 1
B01, Trade, 258849.883, 103, B01, S03, 1
B01, Trade, 258853.333, 125, S21, B01, 1
B01, Trade, 258857.367, 136, B01, S07, 1
B01, Trade, 258863.267, 126, S19, B01, 1
B01, Trade, 258868.183, 131, B01, S13, 1
B01, Trade, 258872.217, 104, B01, S13, 1
B01, Trade, 258875.683, 60, S19, B01, 1
B01, Trade, 258884.367, 131, B01, S03, 1
B01, Trade, 258885.283, 138, B01, S23, 1
B01, Trade, 258892.667, 116, S00, B01, 1
B01, Trade, 258898.867, 127, B01, S18, 1
B01, Trade, 258904.600, 125, B01, S22, 1
B01, Trade, 258909.717, 134, B01, S27, 1
B01, Trade, 258915.650, 139, B01, S20, 1
B01, Trade, 258918.067, 106, S19, B01, 1
B01, Trade, 258923.817, 132, B01, S29, 1
B01, Trade, 258930.017, 120, B01, S24, 1
B01, Trade, 258931.533, 130, B01, S22, 1
B01, Trade, 258938.133, 133, B01, S22, 1
B01, Trade, 258940.867, 139, B01, S19, 1
B01, Trade, 258949.000, 136, B01, S26, 1
B01, Trade, 258951.383, 119, B01, S22, 1
B01, Trade, 258960.417, 134, B01, S29, 1
B01, Trade, 258962.733, 102, S23, B01, 1
B01, Trade, 258966.467, 117, S23, B01, 1
B01, Trade, 258977.767, 111, B01, S10, 1
B01, Trade, 258978.233, 91, B01, S02, 1
B01, Trade, 258985.600, 123, B01, S27, 1
B01, Trade, 258988.067, 136, B01, S13, 1
B01, Trade, 258993.050, 110, S17, B01, 1
B01, Trade, 258999.283, 109, S11, B01, 1
B01, Trade, 259005.500, 116, B01, S27, 1
B01, Trade, 259008.383, 121, S04, B01, 1
B01, Trade, 259021.433, 112, B01, S13, 1
B01, Trade, 259022.233, 130, S11, B01, 1
B01, Trade, 259029.567, 112, B01, S25, 1
B01, Trade, 259036.400, 124, B01, S26, 1
B01, Trade, 259040.117, 105, B01, S07, 1
B01, Trade, 259049.883, 123, B01, S06, 1
B01, Trade, 259051.017, 131, S16, B01, 1
B01, Trade, 259056.700, 137, S00, B01, 1
B01, Trade, 259058.217, 127, S21, B01, 1
B01, Trade, 259062.500, 138, B01, S09, 1
B01, Trade, 259068.167, 117, B01, S22, 1
B01, Trade, 259077.100, 137, B01, S26, 1
B01, Trade, 259081.517, 121, B01, S26, 1
B01, Trade, 259086.583, 124, S00, B01, 1
B01, Trade, 259089.683, 136, B01, S15, 1
B01, Trade, 259096.633, 111, S00, B01, 1
B01, Trade, 259110.833, 119, S00, B01, 1
B01, Trade, 259114.550, 113, S21, B01, 1
B01, Trade, 259122.450, 110, S11, B01, 1
B01, Trade, 259123.583, 111, S19, B01, 1
B01, Trade, 259132.533, 124, B01, S13, 1
B01, Trade, 259135.617, 139, B01, S22, 1
B01, Trade, 259141.767, 138, B01, S27, 1
B01, Trade, 259145.150, 120, B01, S10, 1
B01, Trade, 259154.700, 134, B01, S13, 1
B01, Trade, 259163.150, 60, S21, B01, 1
B01, Trade, 259167.917, 137, S00, B01, 1
B01, Trade, 259182.033, 126, S08, B01, 1
B01, Trade, 259182.933, 122, S09, B01, 1
B01, Trade, 259188.117, 127, B01, S09, 1
B01, Trade, 259194.567, 125, S00, B01, 1
B01, Trade, 259197.617, 124, S21, B01, 1
B02, 100
B02, Trade, 258178.467, 100, B02, S29, 1
B02, Trade, 258185.967, 138, S00, B02, 1
B02, Trade, 258196.717, 130, B02, S29, 1
B02, Trade, 258200.883, 98, B02, S03, 1
B02, Trade, 258215.200, 123, S04, B02, 1
B02, Trade, 258222.400, 64, S07, B02, 1
B02, Trade, 258241.117, 128, B02, S14, 1
B02, Trade, 258247.250, 102, S04, B02, 1
B02, Trade, 258259.117, 119, B02, S18, 1
B02, Trade, 258267.533, 121, S21, B02, 1
B02, Trade, 258283.233, 125, B02, S05, 1
B02, Trade, 258293.483, 115, B02, S26, 1
B02, Trade, 258306.883, 91, B02, S01, 1
B02, Trade, 258317.400, 105, B02, S02, 1
B02, Trade, 258337.500, 126, B02, S03, 1
B02, Trade, 258343.617, 86, B02, S06, 1
B02, Trade, 258351.717, 119, B02, S13, 1
B02, Trade, 258362.733, 101, B02, S07, 1
B02, Trade, 258380.317, 86, S22, B02, 1
B02, Trade, 258401.100, 112, B02, S05, 1
B02, Trade, 258408.750, 63, S20, B02, 1
