t=,1, id=,B00, PRSH,actvstrat=,-0.322259, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.546735, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.367657, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.201851, actvprof=,0.000000, id=,B04, PRSH,actvstrat=,-0.329679, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.171470, actvprof=,0.000000, id=,B06, PRSH,actvstrat=,-0.210434, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.062535, actvprof=,0.000000, id=,B08, PRSH,actvstrat=,0.717228, actvprof=,0.000000, id=,B09, PRSH,actvstrat=,0.111017, actvprof=,0.000000, id=,S00, PRSH,actvstrat=,0.346354, actvprof=,0.000000, id=,S01, PRSH,actvstrat=,-0.505333, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.744982, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.136411, actvprof=,0.000000, id=,S04, PRSH,actvstrat=,-0.506471, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.940583, actvprof=,0.000000, id=,S06, PRSH,actvstrat=,-0.578005, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.957955, actvprof=,0.000000, id=,S08, PRSH,actvstrat=,0.751419, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.514414, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.322259, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.346354, 
t=,3600, id=,B00, PRSH,actvstrat=,-0.322259, actvprof=,0.976667, id=,B01, PRDE,actvstrat=,0.546735, actvprof=,1.616111, id=,B02, PRDE,actvstrat=,-0.367657, actvprof=,1.007778, id=,B03, PRDE,actvstrat=,-0.201851, actvprof=,0.861111, id=,B04, PRSH,actvstrat=,-0.329679, actvprof=,1.105556, id=,B05, PRDE,actvstrat=,-0.171470, actvprof=,1.053333, id=,B06, PRSH,actvstrat=,-0.210434, actvprof=,1.191389, id=,B07, PRDE,actvstrat=,0.062535, actvprof=,1.232500, id=,B08, PRSH,actvstrat=,0.717228, actvprof=,1.796111, id=,B09, PRSH,actvstrat=,0.111017, actvprof=,1.280278, id=,S00, PRSH,actvstrat=,0.346354, actvprof=,2.508056, id=,S01, PRSH,actvstrat=,-0.505333, actvprof=,0.677778, id=,S02, PRDE,actvstrat=,0.744982, actvprof=,3.638611, id=,S03, PRDE,actvstrat=,0.136411, actvprof=,1.857778, id=,S04, PRSH,actvstrat=,-0.506471, actvprof=,0.580000, id=,S05, PRDE,actvstrat=,0.940583, actvprof=,4.228889, id=,S06, PRSH,actvstrat=,-0.578005, actvprof=,0.523333, id=,S07, PRDE,actvstrat=,-0.957955, actvprof=,0.505556, id=,S08, PRSH,actvstrat=,0.751419, actvprof=,3.436389, id=,S09, PRDE,actvstrat=,-0.514414, actvprof=,0.689444, best_B_id=,B08, best_B_prof=,1.796111, best_B_strat=,0.717228, best_S_id=,S05, best_S_prof=,4.228889, best_S_strat=,0.940583, 
t=,7200, id=,B00, PRSH,actvstrat=,-0.355636, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.808674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.172943, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.252513, actvprof=,0.000000, id=,B04, PRSH,actvstrat=,-0.359350, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.910842, actvprof=,0.000000, id=,B06, PRSH,actvstrat=,-0.200160, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.551016, actvprof=,0.000000, id=,B08, PRSH,actvstrat=,0.662331, actvprof=,0.000000, id=,B09, PRSH,actvstrat=,0.291265, actvprof=,0.000000, id=,S00, PRSH,actvstrat=,0.362756, actvprof=,0.000000, id=,S01, PRSH,actvstrat=,-0.499315, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.561478, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.327229, actvprof=,0.000000, id=,S04, PRSH,actvstrat=,-0.515700, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.452188, actvprof=,0.000000, id=,S06, PRSH,actvstrat=,-0.652730, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.501526, actvprof=,0.000000, id=,S08, PRSH,actvstrat=,0.781572, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.658717, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.355636, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.362756, 
t=,10800, id=,B00, PRSH,actvstrat=,-0.355636, actvprof=,0.141666, id=,B01, PRDE,actvstrat=,0.808674, actvprof=,0.929709, id=,B02, PRDE,actvstrat=,0.172943, actvprof=,0.602214, id=,B03, PRDE,actvstrat=,-0.252513, actvprof=,0.458327, id=,B04, PRSH,actvstrat=,-0.359350, actvprof=,0.116296, id=,B05, PRDE,actvstrat=,0.910842, actvprof=,0.836655, id=,B06, PRSH,actvstrat=,-0.200160, actvprof=,0.124722, id=,B07, PRDE,actvstrat=,0.551016, actvprof=,0.831100, id=,B08, PRSH,actvstrat=,0.662331, actvprof=,0.305462, id=,B09, PRSH,actvstrat=,0.291265, actvprof=,0.253147, id=,S00, PRSH,actvstrat=,0.362756, actvprof=,0.916385, id=,S01, PRSH,actvstrat=,-0.499315, actvprof=,0.215462, id=,S02, PRDE,actvstrat=,0.561478, actvprof=,3.534951, id=,S03, PRDE,actvstrat=,-0.327229, actvprof=,0.552492, id=,S04, PRSH,actvstrat=,-0.515700, actvprof=,0.206851, id=,S05, PRDE,actvstrat=,-0.452188, actvprof=,0.736934, id=,S06, PRSH,actvstrat=,-0.652730, actvprof=,0.182962, id=,S07, PRDE,actvstrat=,0.501526, actvprof=,3.440786, id=,S08, PRSH,actvstrat=,0.781572, actvprof=,1.639344, id=,S09, PRDE,actvstrat=,0.658717, actvprof=,3.825225, best_B_id=,B01, best_B_prof=,0.929709, best_B_strat=,0.808674, best_S_id=,S09, best_S_prof=,3.825225, best_S_strat=,0.658717, 
t=,14400, id=,B00, PRSH,actvstrat=,-0.320496, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.539845, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869121, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.261531, actvprof=,0.000000, id=,B04, PRSH,actvstrat=,-0.277235, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.392416, actvprof=,0.000000, id=,B06, PRSH,actvstrat=,-0.231478, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.349656, actvprof=,0.000000, id=,B08, PRSH,actvstrat=,0.636871, actvprof=,0.000000, id=,B09, PRSH,actvstrat=,0.137642, actvprof=,0.000000, id=,S00, PRSH,actvstrat=,0.369236, actvprof=,0.000000, id=,S01, PRSH,actvstrat=,-0.477956, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.118278, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.136411, actvprof=,0.000000, id=,S04, PRSH,actvstrat=,-0.531540, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.748091, actvprof=,0.000000, id=,S06, PRSH,actvstrat=,-0.591040, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.186961, actvprof=,0.000000, id=,S08, PRSH,actvstrat=,0.736300, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.933002, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.320496, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.369236, 
t=,18000, id=,B00, PRSH,actvstrat=,-0.320496, actvprof=,0.132889, id=,B01, PRDE,actvstrat=,-0.539845, actvprof=,0.639722, id=,B02, PRDE,actvstrat=,0.869121, actvprof=,1.113333, id=,B03, PRDE,actvstrat=,-0.261531, actvprof=,0.726389, id=,B04, PRSH,actvstrat=,-0.277235, actvprof=,0.130722, id=,B05, PRDE,actvstrat=,-0.392416, actvprof=,0.645556, id=,B06, PRSH,actvstrat=,-0.231478, actvprof=,0.125389, id=,B07, PRDE,actvstrat=,-0.349656, actvprof=,0.703889, id=,B08, PRSH,actvstrat=,0.636871, actvprof=,0.245166, id=,B09, PRSH,actvstrat=,0.137642, actvprof=,0.194833, id=,S00, PRSH,actvstrat=,0.369236, actvprof=,0.462832, id=,S01, PRSH,actvstrat=,-0.477956, actvprof=,0.123444, id=,S02, PRDE,actvstrat=,0.118278, actvprof=,1.878333, id=,S03, PRDE,actvstrat=,0.136411, actvprof=,1.883611, id=,S04, PRSH,actvstrat=,-0.531540, actvprof=,0.086389, id=,S05, PRDE,actvstrat=,-0.748091, actvprof=,0.258611, id=,S06, PRSH,actvstrat=,-0.591040, actvprof=,0.075555, id=,S07, PRDE,actvstrat=,-0.186961, actvprof=,0.664722, id=,S08, PRSH,actvstrat=,0.736300, actvprof=,0.748553, id=,S09, PRDE,actvstrat=,0.933002, actvprof=,4.612500, best_B_id=,B02, best_B_prof=,1.113333, best_B_strat=,0.869121, best_S_id=,S09, best_S_prof=,4.612500, best_S_strat=,0.933002, 
t=,21600, id=,B00, PRSH,actvstrat=,-0.288902, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.289812, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.385903, actvprof=,0.000000, id=,B04, PRSH,actvstrat=,-0.353902, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRSH,actvstrat=,-0.184871, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.689583, actvprof=,0.000000, id=,B08, PRSH,actvstrat=,0.758822, actvprof=,0.000000, id=,B09, PRSH,actvstrat=,0.114944, actvprof=,0.000000, id=,S00, PRSH,actvstrat=,0.387579, actvprof=,0.000000, id=,S01, PRSH,actvstrat=,-0.446835, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.425550, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.531899, actvprof=,0.000000, id=,S04, PRSH,actvstrat=,-0.441297, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRSH,actvstrat=,-0.579268, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRSH,actvstrat=,0.775837, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.790964, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.288902, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.387579, 
t=,25200, id=,B00, PRSH,actvstrat=,-0.288902, actvprof=,0.118055, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.375561, id=,B02, PRDE,actvstrat=,-0.289812, actvprof=,0.597508, id=,B03, PRDE,actvstrat=,0.385903, actvprof=,1.043903, id=,B04, PRSH,actvstrat=,-0.353902, actvprof=,0.112619, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.378339, id=,B06, PRSH,actvstrat=,-0.184871, actvprof=,0.105952, id=,B07, PRDE,actvstrat=,0.689583, actvprof=,1.180850, id=,B08, PRSH,actvstrat=,0.758822, actvprof=,0.196349, id=,B09, PRSH,actvstrat=,0.114944, actvprof=,0.123968, id=,S00, PRSH,actvstrat=,0.387579, actvprof=,0.418690, id=,S01, PRSH,actvstrat=,-0.446835, actvprof=,0.103333, id=,S02, PRDE,actvstrat=,-0.425550, actvprof=,0.672232, id=,S03, PRDE,actvstrat=,-0.531899, actvprof=,0.728621, id=,S04, PRSH,actvstrat=,-0.441297, actvprof=,0.096230, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,5.245351, id=,S06, PRSH,actvstrat=,-0.579268, actvprof=,0.095397, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,5.506743, id=,S08, PRSH,actvstrat=,0.775837, actvprof=,0.699522, id=,S09, PRDE,actvstrat=,0.790964, actvprof=,4.991458, best_B_id=,B07, best_B_prof=,1.180850, best_B_strat=,0.689583, best_S_id=,S07, best_S_prof=,5.506743, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRSH,actvstrat=,-0.322259, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.421531, id=,B02, PRDE,actvstrat=,-0.289812, actvprof=,0.647643, id=,B03, PRDE,actvstrat=,0.385903, actvprof=,1.042924, id=,B04, PRSH,actvstrat=,-0.329679, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.352364, id=,B06, PRSH,actvstrat=,-0.210434, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.689583, actvprof=,1.223897, id=,B08, PRSH,actvstrat=,0.717228, actvprof=,0.000000, id=,B09, PRSH,actvstrat=,0.111017, actvprof=,0.000000, id=,S00, PRSH,actvstrat=,0.387579, actvprof=,0.000000, id=,S01, PRSH,actvstrat=,-0.446835, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.425550, actvprof=,0.680421, id=,S03, PRDE,actvstrat=,-0.531899, actvprof=,0.669727, id=,S04, PRSH,actvstrat=,-0.441297, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,5.322537, id=,S06, PRSH,actvstrat=,-0.579268, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,5.424204, id=,S08, PRSH,actvstrat=,0.775837, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.790964, actvprof=,4.933923, best_B_id=,B07, best_B_prof=,1.223897, best_B_strat=,0.689583, best_S_id=,S07, best_S_prof=,5.424204, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRSH,actvstrat=,-0.304360, actvprof=,0.989153, id=,B01, PRDE,actvstrat=,-0.026229, actvprof=,1.054737, id=,B02, PRDE,actvstrat=,-0.210285, actvprof=,1.175294, id=,B03, PRDE,actvstrat=,-0.201851, actvprof=,0.973069, id=,B04, PRSH,actvstrat=,-0.337751, actvprof=,0.964153, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.623620, id=,B06, PRSH,actvstrat=,-0.225242, actvprof=,1.046930, id=,B07, PRDE,actvstrat=,-0.741280, actvprof=,1.508632, id=,B08, PRSH,actvstrat=,0.716621, actvprof=,1.616644, id=,B09, PRSH,actvstrat=,0.102308, actvprof=,1.203039, id=,S00, PRSH,actvstrat=,0.382153, actvprof=,2.406633, id=,S01, PRSH,actvstrat=,-0.450821, actvprof=,0.554159, id=,S02, PRDE,actvstrat=,-0.317342, actvprof=,0.702232, id=,S03, PRDE,actvstrat=,-0.596578, actvprof=,0.381672, id=,S04, PRSH,actvstrat=,-0.445610, actvprof=,0.481104, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,4.523952, id=,S06, PRSH,actvstrat=,-0.609128, actvprof=,0.405828, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,4.310615, id=,S08, PRSH,actvstrat=,0.715984, actvprof=,3.525229, id=,S09, PRDE,actvstrat=,0.658717, actvprof=,3.331157, best_B_id=,B08, best_B_prof=,1.616644, best_B_strat=,0.716621, best_S_id=,S05, best_S_prof=,4.523952, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRSH,actvstrat=,-0.304360, actvprof=,1.013750, id=,B01, PRDE,actvstrat=,-0.026229, actvprof=,1.120710, id=,B02, PRDE,actvstrat=,-0.210285, actvprof=,1.113904, id=,B03, PRDE,actvstrat=,-0.201851, actvprof=,1.041542, id=,B04, PRSH,actvstrat=,-0.337751, actvprof=,1.046528, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.581953, id=,B06, PRSH,actvstrat=,-0.225242, actvprof=,1.024028, id=,B07, PRDE,actvstrat=,-0.741280, actvprof=,1.524049, id=,B08, PRSH,actvstrat=,0.716621, actvprof=,1.596250, id=,B09, PRSH,actvstrat=,0.102308, actvprof=,1.171111, id=,S00, PRSH,actvstrat=,0.382153, actvprof=,2.375000, id=,S01, PRSH,actvstrat=,-0.450821, actvprof=,0.519722, id=,S02, PRDE,actvstrat=,-0.317342, actvprof=,0.605703, id=,S03, PRDE,actvstrat=,-0.596578, actvprof=,0.359588, id=,S04, PRSH,actvstrat=,-0.445610, actvprof=,0.509167, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,4.484646, id=,S06, PRSH,actvstrat=,-0.609128, actvprof=,0.370000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,4.321171, id=,S08, PRSH,actvstrat=,0.715984, actvprof=,3.486111, id=,S09, PRDE,actvstrat=,0.658717, actvprof=,3.368658, best_B_id=,B08, best_B_prof=,1.596250, best_B_strat=,0.716621, best_S_id=,S05, best_S_prof=,4.484646, best_S_strat=,1.000000, 
