B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 372533.983, 67, S02, B03, 1
B04, 77
B04, Trade, 69017.083, 71, B04, S01, 1
B04, Trade, 83491.117, 71, B04, S00, 1
B04, Trade, 122443.033, 71, B04, S00, 1
B04, Trade, 123525.400, 71, B04, S03, 1
B04, Trade, 123595.950, 71, B04, S01, 1
B04, Trade, 124187.550, 71, B04, S04, 1
B04, Trade, 125590.817, 71, B04, S00, 1
B04, Trade, 125881.867, 71, B04, S01, 1
B04, Trade, 126074.717, 71, B04, S04, 1
B04, Trade, 126594.817, 71, B04, S04, 1
B04, Trade, 127976.500, 71, B04, S01, 1
B04, Trade, 128030.467, 71, B04, S00, 1
B04, Trade, 159806.650, 71, B04, S00, 1
B04, Trade, 160633.600, 71, B04, S00, 1
B04, Trade, 161708.733, 71, B04, S00, 1
B04, Trade, 165438.167, 71, B04, S00, 1
B04, Trade, 167813.283, 71, B04, S02, 1
B04, Trade, 215411.983, 70, S03, B04, 1
B04, Trade, 242237.050, 71, B04, S00, 1
B04, Trade, 299053.383, 71, B04, S01, 1
B04, Trade, 338544.400, 71, B04, S01, 1
B04, Trade, 339665.400, 71, B04, S01, 1
B04, Trade, 341127.600, 71, B04, S00, 1
B04, Trade, 341208.933, 71, B04, S00, 1
B04, Trade, 341353.433, 71, B04, S01, 1
B04, Trade, 341439.233, 71, B04, S01, 1
B04, Trade, 341460.300, 71, B04, S00, 1
B04, Trade, 343310.783, 71, B04, S01, 1
B04, Trade, 348422.817, 71, B04, S01, 1
B04, Trade, 351413.467, 71, B04, S01, 1
B04, Trade, 352093.967, 71, B04, S01, 1
B04, Trade, 361971.750, 71, B04, S01, 1
B04, Trade, 384906.800, 71, B04, S01, 1
B04, Trade, 393534.233, 71, B04, S00, 1
B04, Trade, 404312.783, 71, B04, S00, 1
B04, Trade, 405141.450, 71, B04, S00, 1
B04, Trade, 409825.733, 71, B04, S00, 1
B04, Trade, 421148.150, 71, B04, S00, 1
B04, Trade, 422131.583, 71, B04, S01, 1
B04, Trade, 422544.533, 71, B04, S04, 1
B04, Trade, 426173.683, 71, B04, S00, 1
B04, Trade, 428299.100, 71, B04, S01, 1
B04, Trade, 429165.150, 71, B04, S01, 1
B04, Trade, 430188.300, 71, B04, S01, 1
B04, Trade, 431882.667, 71, B04, S00, 1
B04, Trade, 454937.533, 71, B04, S04, 1
B04, Trade, 456129.567, 71, B04, S01, 1
B04, Trade, 456602.150, 71, B04, S00, 1
B04, Trade, 456714.367, 71, B04, S01, 1
B04, Trade, 458728.400, 71, B04, S01, 1
B04, Trade, 459135.367, 71, B04, S00, 1
B04, Trade, 459226.400, 71, B04, S01, 1
B04, Trade, 459294.500, 71, B04, S04, 1
B04, Trade, 459448.533, 71, B04, S01, 1
B04, Trade, 459511.850, 71, B04, S01, 1
B04, Trade, 460932.017, 71, B04, S01, 1
B04, Trade, 463487.750, 71, B04, S00, 1
B04, Trade, 463807.850, 71, B04, S01, 1
B04, Trade, 464065.167, 71, B04, S01, 1
B04, Trade, 464913.650, 71, B04, S01, 1
B04, Trade, 465426.183, 71, B04, S01, 1
B04, Trade, 465602.383, 71, B04, S01, 1
B04, Trade, 465953.550, 71, B04, S02, 1
B04, Trade, 467246.517, 71, B04, S01, 1
B04, Trade, 467311.933, 71, B04, S01, 1
B04, Trade, 467847.417, 71, B04, S00, 1
B04, Trade, 472537.917, 71, B04, S01, 1
B04, Trade, 475275.067, 71, B04, S01, 1
B04, Trade, 477852.700, 71, B04, S01, 1
B04, Trade, 478960.950, 71, B04, S01, 1
B04, Trade, 481816.000, 71, B04, S04, 1
B04, Trade, 490067.700, 71, B04, S01, 1
B04, Trade, 492000.900, 71, B04, S01, 1
B04, Trade, 493266.433, 71, B04, S01, 1
B04, Trade, 494300.617, 71, B04, S01, 1
B04, Trade, 591242.100, 71, B04, S02, 1
B04, Trade, 678373.417, 71, B04, S01, 1
B05, 100
B05, Trade, 393753.400, 73, B05, S00, 1
B05, Trade, 394217.383, 73, B05, S01, 1
B05, Trade, 394820.517, 73, B05, S04, 1
B05, Trade, 411084.050, 73, B05, S00, 1
B05, Trade, 411603.900, 72, B05, S00, 1
B05, Trade, 415214.667, 73, B05, S00, 1
B05, Trade, 415285.983, 73, B05, S05, 1
B05, Trade, 415533.300, 73, B05, S02, 1
B05, Trade, 416609.817, 73, B05, S01, 1
B05, Trade, 416656.467, 73, B05, S05, 1
B05, Trade, 417178.767, 72, B05, S01, 1
B05, Trade, 417297.633, 71, B05, S04, 1
B05, Trade, 417314.917, 73, B05, S04, 1
B05, Trade, 432071.117, 73, B05, S02, 1
B05, Trade, 432656.883, 73, B05, S00, 1
B05, Trade, 432698.317, 73, B05, S02, 1
B05, Trade, 433185.083, 73, B05, S01, 1
B05, Trade, 433613.683, 72, B05, S00, 1
B05, Trade, 433702.600, 73, B05, S01, 1
B05, Trade, 433742.600, 71, B05, S01, 1
B05, Trade, 433891.467, 73, B05, S01, 1
B05, Trade, 434798.417, 73, B05, S01, 1
B05, Trade, 435536.083, 71, B05, S01, 1
B05, Trade, 435979.850, 73, B05, S00, 1
B05, Trade, 435999.667, 72, B05, S01, 1
B05, Trade, 437001.817, 73, B05, S02, 1
B05, Trade, 437248.183, 72, B05, S01, 1
B05, Trade, 437368.067, 73, B05, S02, 1
B05, Trade, 437604.067, 73, B05, S01, 1
B05, Trade, 438188.250, 73, B05, S00, 1
B05, Trade, 438582.050, 73, B05, S01, 1
B05, Trade, 439180.583, 73, B05, S02, 1
B05, Trade, 440650.533, 69, B05, S00, 1
B05, Trade, 444584.683, 72, S02, B05, 1
B05, Trade, 447651.767, 73, B05, S04, 1
B05, Trade, 448976.100, 73, B05, S01, 1
B05, Trade, 449866.483, 73, B05, S00, 1
B05, Trade, 449986.283, 73, B05, S01, 1
B05, Trade, 450480.517, 72, B05, S01, 1
B05, Trade, 450722.317, 73, B05, S01, 1
B05, Trade, 451939.533, 73, B05, S01, 1
B05, Trade, 452226.900, 73, B05, S01, 1
B05, Trade, 453067.500, 73, B05, S01, 1
B05, Trade, 454325.767, 73, B05, S00, 1
B05, Trade, 455299.633, 73, B05, S00, 1
B05, Trade, 455406.817, 72, B05, S01, 1
B05, Trade, 456682.517, 73, B05, S01, 1
B05, Trade, 457017.433, 73, B05, S04, 1
B05, Trade, 458483.383, 73, B05, S00, 1
B05, Trade, 460536.783, 73, B05, S01, 1
B05, Trade, 462460.083, 71, B05, S01, 1
B05, Trade, 472094.717, 73, S00, B05, 1
B05, Trade, 476628.833, 71, B05, S01, 1
B05, Trade, 476851.183, 73, B05, S01, 1
B05, Trade, 525036.833, 70, B05, S00, 1
B05, Trade, 544912.233, 72, B05, S01, 1
B05, Trade, 545620.350, 72, B05, S00, 1
B05, Trade, 567791.867, 72, B05, S02, 1
B05, Trade, 568880.833, 73, B05, S01, 1
B05, Trade, 573493.750, 73, B05, S01, 1
B05, Trade, 574379.533, 73, B05, S00, 1
B05, Trade, 575779.417, 73, B05, S02, 1
B05, Trade, 580066.217, 73, B05, S02, 1
B05, Trade, 582755.500, 73, B05, S00, 1
B05, Trade, 583421.350, 73, B05, S00, 1
B05, Trade, 584455.983, 73, B05, S04, 1
B05, Trade, 584508.750, 73, B05, S01, 1
B05, Trade, 585341.667, 72, B05, S01, 1
B05, Trade, 589535.367, 73, B05, S01, 1
