B00, 0
B01, 2
B01, Trade, 409905.000, 62, B01, S01, 1
B01, Trade, 703670.467, 62, B01, S00, 1
B02, 25
B02, Trade, 82879.817, 64, B02, S00, 1
B02, Trade, 140814.483, 65, B02, S01, 1
B02, Trade, 230403.300, 65, B02, S01, 1
B02, Trade, 232018.833, 65, B02, S02, 1
B02, Trade, 233064.417, 65, S02, B02, 1
B02, Trade, 234263.567, 65, B02, S02, 1
B02, Trade, 274356.267, 65, B02, S01, 1
B02, Trade, 366865.467, 65, B02, S01, 1
B02, Trade, 370873.317, 65, B02, S00, 1
B02, Trade, 376574.650, 65, B02, S01, 1
B02, Trade, 377317.750, 65, B02, S02, 1
B02, Trade, 377931.617, 65, B02, S00, 1
B02, Trade, 380319.300, 65, B02, S02, 1
B02, Trade, 380945.683, 65, B02, S01, 1
B02, Trade, 416218.367, 65, B02, S02, 1
B02, Trade, 417290.733, 65, B02, S01, 1
B02, Trade, 433138.400, 62, B02, S01, 1
B02, Trade, 483218.167, 65, B02, S02, 1
B02, Trade, 485076.217, 65, B02, S00, 1
B02, Trade, 489553.917, 65, B02, S00, 1
B02, Trade, 502113.833, 65, B02, S01, 1
B02, Trade, 535634.617, 65, B02, S01, 1
B02, Trade, 548558.450, 65, B02, S01, 1
B02, Trade, 549440.833, 65, B02, S01, 1
B02, Trade, 553436.633, 65, B02, S00, 1
B03, 26
B03, Trade, 64176.150, 68, B03, S01, 1
B03, Trade, 274206.533, 67, B03, S01, 1
B03, Trade, 448329.967, 68, B03, S00, 1
B03, Trade, 538228.600, 68, B03, S03, 1
B03, Trade, 658408.250, 68, B03, S02, 1
B03, Trade, 679318.434, 68, B03, S02, 1
B03, Trade, 699091.234, 68, B03, S02, 1
B03, Trade, 704139.150, 68, B03, S00, 1
B03, Trade, 730177.717, 68, B03, S01, 1
B03, Trade, 732812.034, 68, B03, S00, 1
B03, Trade, 742930.501, 68, B03, S00, 1
B03, Trade, 771540.834, 68, B03, S01, 1
B03, Trade, 773363.017, 68, B03, S01, 1
B03, Trade, 774180.901, 68, B03, S01, 1
B03, Trade, 774201.384, 68, B03, S00, 1
B03, Trade, 774278.501, 68, B03, S00, 1
B03, Trade, 786082.934, 68, B03, S01, 1
B03, Trade, 803242.251, 68, B03, S00, 1
B03, Trade, 821830.084, 68, B03, S02, 1
B03, Trade, 823187.118, 68, B03, S02, 1
B03, Trade, 826150.068, 68, B03, S02, 1
B03, Trade, 828675.284, 68, B03, S02, 1
B03, Trade, 828802.251, 68, B03, S02, 1
B03, Trade, 832274.518, 68, B03, S01, 1
B03, Trade, 837032.484, 68, B03, S02, 1
B03, Trade, 838803.634, 68, B03, S01, 1
B04, 59
B04, Trade, 93945.283, 71, B04, S02, 1
B04, Trade, 96375.317, 71, B04, S02, 1
B04, Trade, 97032.600, 71, B04, S02, 1
