B00, 1
B00, Trade, 333775.650, 60, B00, S00, 1
B01, 0
B02, 1
B02, Trade, 446101.267, 65, B02, S01, 1
B03, 12
B03, Trade, 92372.300, 68, B03, S02, 1
B03, Trade, 103997.483, 66, B03, S02, 1
B03, Trade, 105837.117, 66, B03, S02, 1
B03, Trade, 107045.067, 66, B03, S02, 1
B03, Trade, 107462.917, 66, B03, S02, 1
B03, Trade, 149073.667, 68, B03, S00, 1
B03, Trade, 162860.700, 68, B03, S01, 1
B03, Trade, 164471.617, 68, B03, S01, 1
B03, Trade, 729236.701, 68, B03, S01, 1
B03, Trade, 729717.534, 67, B03, S00, 1
B03, Trade, 730359.951, 68, B03, S01, 1
B03, Trade, 804611.851, 68, B03, S00, 1
B04, 12
B04, Trade, 255031.267, 71, B04, S00, 1
B04, Trade, 269164.900, 71, B04, S00, 1
B04, Trade, 269667.783, 71, B04, S02, 1
B04, Trade, 308805.467, 71, B04, S00, 1
B04, Trade, 326705.267, 69, B04, S01, 1
B04, Trade, 399755.317, 65, S00, B04, 1
B04, Trade, 407703.817, 71, B04, S00, 1
B04, Trade, 408437.300, 71, B04, S00, 1
B04, Trade, 422228.950, 69, B04, S00, 1
B04, Trade, 436482.333, 71, B04, S02, 1
B04, Trade, 491964.850, 71, B04, S01, 1
B04, Trade, 834940.701, 71, B04, S00, 1
B05, 100
B05, Trade, 365878.667, 73, B05, S02, 1
B05, Trade, 375083.517, 73, B05, S05, 1
B05, Trade, 375205.767, 73, B05, S05, 1
B05, Trade, 376624.783, 67, B05, S00, 1
B05, Trade, 376862.033, 73, B05, S05, 1
B05, Trade, 377901.400, 71, B05, S00, 1
B05, Trade, 378245.183, 73, B05, S00, 1
B05, Trade, 378955.933, 73, B05, S05, 1
B05, Trade, 379341.467, 73, B05, S00, 1
B05, Trade, 381322.483, 73, B05, S00, 1
B05, Trade, 399710.950, 73, B05, S00, 1
B05, Trade, 400479.833, 73, B05, S04, 1
B05, Trade, 403618.717, 73, B05, S05, 1
B05, Trade, 403948.567, 73, B05, S02, 1
B05, Trade, 403974.100, 73, B05, S04, 1
B05, Trade, 404208.650, 73, B05, S05, 1
B05, Trade, 404492.767, 73, B05, S02, 1
B05, Trade, 404690.967, 73, B05, S02, 1
B05, Trade, 406053.333, 73, B05, S02, 1
B05, Trade, 406285.550, 73, B05, S02, 1
B05, Trade, 406621.117, 73, B05, S00, 1
B05, Trade, 407399.017, 73, B05, S00, 1
B05, Trade, 409851.950, 73, B05, S00, 1
B05, Trade, 410132.950, 73, B05, S02, 1
B05, Trade, 417875.367, 72, B05, S00, 1
B05, Trade, 417961.083, 73, B05, S00, 1
B05, Trade, 419059.767, 73, B05, S00, 1
B05, Trade, 419578.850, 73, B05, S00, 1
B05, Trade, 421909.567, 73, B05, S00, 1
B05, Trade, 422203.067, 71, B05, S00, 1
B05, Trade, 430214.233, 73, B05, S02, 1
B05, Trade, 433861.800, 73, B05, S02, 1
B05, Trade, 434079.317, 73, B05, S04, 1
B05, Trade, 434661.033, 73, B05, S02, 1
B05, Trade, 435349.900, 73, B05, S02, 1
B05, Trade, 436065.967, 73, B05, S04, 1
B05, Trade, 436274.250, 72, B05, S04, 1
B05, Trade, 437400.583, 73, B05, S02, 1
B05, Trade, 438885.017, 73, B05, S04, 1
B05, Trade, 498809.117, 73, B05, S01, 1
B05, Trade, 501568.700, 73, B05, S01, 1
B05, Trade, 509390.950, 73, B05, S02, 1
B05, Trade, 552772.917, 73, B05, S00, 1
B05, Trade, 556074.383, 73, B05, S01, 1
B05, Trade, 609116.867, 73, B05, S01, 1
B05, Trade, 610229.600, 73, B05, S02, 1
B05, Trade, 619464.234, 73, B05, S00, 1
B05, Trade, 620895.684, 73, B05, S01, 1
B05, Trade, 621091.800, 73, B05, S05, 1
B05, Trade, 622250.150, 73, B05, S05, 1
B05, Trade, 626072.634, 73, B05, S00, 1
B05, Trade, 627155.534, 73, B05, S02, 1
B05, Trade, 627473.000, 73, B05, S00, 1
B05, Trade, 628586.884, 72, B05, S01, 1
B05, Trade, 628813.050, 73, B05, S00, 1
B05, Trade, 631454.550, 73, B05, S02, 1
B05, Trade, 631957.100, 72, B05, S01, 1
B05, Trade, 632233.584, 73, B05, S00, 1
B05, Trade, 633329.134, 73, B05, S00, 1
B05, Trade, 636490.400, 72, B05, S00, 1
B05, Trade, 653550.584, 73, B05, S05, 1
B05, Trade, 666306.134, 73, B05, S00, 1
B05, Trade, 667244.334, 73, B05, S01, 1
B05, Trade, 677679.800, 73, B05, S01, 1
B05, Trade, 678776.950, 73, B05, S01, 1
B05, Trade, 680753.117, 73, B05, S01, 1
B05, Trade, 681025.817, 73, B05, S00, 1
B05, Trade, 682783.717, 72, B05, S00, 1
B05, Trade, 714691.417, 73, B05, S04, 1
B05, Trade, 714720.951, 73, B05, S04, 1
B05, Trade, 717220.234, 73, B05, S02, 1
B05, Trade, 727253.601, 73, B05, S01, 1
B05, Trade, 727645.084, 73, B05, S00, 1
B05, Trade, 729434.217, 73, B05, S00, 1
B05, Trade, 729692.851, 73, B05, S04, 1
B05, Trade, 730003.001, 71, B05, S00, 1
B05, Trade, 730074.601, 73, B05, S04, 1
B05, Trade, 730145.567, 73, B05, S00, 1
B05, Trade, 730680.517, 73, B05, S02, 1
B05, Trade, 730793.134, 73, B05, S04, 1
B05, Trade, 731572.751, 73, B05, S01, 1
B05, Trade, 731782.301, 73, B05, S01, 1
B05, Trade, 732180.851, 72, B05, S02, 1
B05, Trade, 732334.767, 72, B05, S00, 1
B05, Trade, 732787.184, 73, B05, S01, 1
B05, Trade, 733624.351, 73, B05, S00, 1
B05, Trade, 733678.467, 73, B05, S00, 1
B05, Trade, 733996.534, 73, B05, S00, 1
B05, Trade, 734236.767, 73, B05, S04, 1
B05, Trade, 754573.467, 73, B05, S01, 1
B05, Trade, 799644.984, 73, B05, S02, 1
B05, Trade, 799854.134, 73, B05, S04, 1
B05, Trade, 803476.884, 73, B05, S02, 1
B05, Trade, 804035.434, 73, B05, S03, 1
B05, Trade, 804611.467, 72, B05, S04, 1
B05, Trade, 805559.434, 73, B05, S04, 1
B05, Trade, 805581.167, 71, S02, B05, 1
B05, Trade, 809204.817, 73, B05, S04, 1
B05, Trade, 809728.551, 73, B05, S03, 1
B05, Trade, 848138.951, 73, B05, S02, 1
B06, 100
B06, Trade, 367113.817, 76, B06, S02, 1
B06, Trade, 367127.050, 76, B06, S02, 1
B06, Trade, 367180.350, 76, B06, S02, 1
B06, Trade, 378272.383, 75, B06, S00, 1
B06, Trade, 379390.900, 76, B06, S00, 1
B06, Trade, 381141.017, 73, B06, S00, 1
B06, Trade, 385255.217, 75, B06, S00, 1
B06, Trade, 388549.533, 76, B06, S05, 1
B06, Trade, 405380.483, 75, B06, S02, 1
B06, Trade, 438174.450, 76, B06, S00, 1
B06, Trade, 445875.700, 76, B06, S01, 1
B06, Trade, 454845.400, 76, B06, S00, 1
B06, Trade, 484602.767, 76, B06, S01, 1
B06, Trade, 497537.800, 75, B06, S01, 1
B06, Trade, 502827.467, 76, B06, S01, 1
B06, Trade, 505937.533, 75, B06, S01, 1
B06, Trade, 566207.633, 76, B06, S05, 1
B06, Trade, 619369.767, 76, B06, S05, 1
B06, Trade, 625389.467, 75, S03, B06, 1
B06, Trade, 634961.534, 74, B06, S00, 1
B06, Trade, 657034.950, 76, B06, S03, 1
B06, Trade, 661358.617, 76, B06, S02, 1
B06, Trade, 730942.151, 73, B06, S04, 1
B06, Trade, 731358.834, 75, B06, S02, 1
B06, Trade, 731387.934, 74, B06, S04, 1
B06, Trade, 731469.017, 75, B06, S04, 1
B06, Trade, 731782.701, 75, B06, S04, 1
B06, Trade, 732234.751, 70, B06, S02, 1
B06, Trade, 732848.917, 75, S04, B06, 1
B06, Trade, 732865.634, 75, S03, B06, 1
B06, Trade, 733677.284, 76, B06, S04, 1
B06, Trade, 733776.484, 74, B06, S05, 1
B06, Trade, 741779.051, 76, B06, S06, 1
B06, Trade, 754572.967, 75, B06, S02, 1
B06, Trade, 775919.767, 76, B06, S02, 1
B06, Trade, 797185.451, 76, B06, S00, 1
B06, Trade, 799262.617, 76, B06, S06, 1
B06, Trade, 799514.051, 76, B06, S02, 1
B06, Trade, 799721.534, 76, B06, S04, 1
B06, Trade, 799774.251, 76, B06, S01, 1
B06, Trade, 799854.101, 76, B06, S03, 1
B06, Trade, 799945.451, 76, B06, S04, 1
B06, Trade, 800026.484, 76, B06, S02, 1
B06, Trade, 800083.984, 76, B06, S04, 1
B06, Trade, 800427.417, 76, B06, S04, 1
B06, Trade, 800432.717, 76, B06, S01, 1
B06, Trade, 801249.917, 76, B06, S00, 1
B06, Trade, 801320.667, 76, B06, S04, 1
B06, Trade, 801726.751, 76, B06, S06, 1
B06, Trade, 801752.901, 76, B06, S00, 1
B06, Trade, 801867.517, 76, B06, S05, 1
B06, Trade, 802221.517, 76, B06, S03, 1
B06, Trade, 802322.284, 76, B06, S06, 1
B06, Trade, 802351.301, 76, B06, S03, 1
B06, Trade, 802428.167, 76, B06, S03, 1
B06, Trade, 802456.651, 76, B06, S06, 1
B06, Trade, 802534.717, 76, B06, S05, 1
B06, Trade, 802559.934, 76, B06, S02, 1
B06, Trade, 802585.917, 74, B06, S00, 1
B06, Trade, 802637.217, 72, B06, S02, 1
B06, Trade, 802821.167, 74, B06, S00, 1
B06, Trade, 803030.901, 76, B06, S06, 1
B06, Trade, 803299.784, 76, B06, S03, 1
B06, Trade, 803732.417, 76, B06, S03, 1
B06, Trade, 803866.551, 76, B06, S06, 1
B06, Trade, 803867.067, 74, B06, S02, 1
B06, Trade, 803949.501, 76, B06, S00, 1
B06, Trade, 804035.384, 76, B06, S04, 1
B06, Trade, 804049.884, 76, B06, S01, 1
B06, Trade, 804211.367, 76, B06, S02, 1
B06, Trade, 804255.767, 76, B06, S02, 1
B06, Trade, 804484.551, 76, B06, S00, 1
B06, Trade, 804522.334, 76, B06, S04, 1
B06, Trade, 804539.834, 76, B06, S04, 1
B06, Trade, 804631.101, 76, B06, S02, 1
B06, Trade, 804742.267, 76, B06, S04, 1
B06, Trade, 804906.751, 74, B06, S02, 1
B06, Trade, 805031.284, 76, B06, S00, 1
B06, Trade, 805423.851, 76, B06, S03, 1
B06, Trade, 805478.551, 76, B06, S05, 1
B06, Trade, 805559.317, 76, B06, S05, 1
B06, Trade, 805580.734, 76, B06, S03, 1
B06, Trade, 805786.384, 76, B06, S05, 1
B06, Trade, 806067.884, 76, B06, S00, 1
B06, Trade, 806330.367, 76, B06, S03, 1
B06, Trade, 806345.734, 76, B06, S04, 1
B06, Trade, 807896.134, 76, B06, S03, 1
B06, Trade, 808128.467, 76, B06, S04, 1
B06, Trade, 808236.434, 76, B06, S02, 1
B06, Trade, 808402.017, 76, B06, S00, 1
B06, Trade, 809204.367, 76, B06, S02, 1
B06, Trade, 810845.718, 76, B06, S04, 1
B06, Trade, 817718.218, 68, B06, S00, 1
B06, Trade, 822144.818, 76, B06, S02, 1
B06, Trade, 835498.451, 76, B06, S05, 1
B06, Trade, 837506.351, 74, B06, S01, 1
B06, Trade, 839438.868, 76, B06, S00, 1
B06, Trade, 841579.401, 76, B06, S02, 1
B06, Trade, 842860.784, 76, B06, S04, 1
B06, Trade, 860951.618, 76, B06, S04, 1
B07, 100
B07, Trade, 625816.700, 79, B07, S00, 1
B07, Trade, 625880.634, 78, B07, S03, 1
B07, Trade, 625965.384, 79, B07, S05, 1
B07, Trade, 626010.150, 79, B07, S00, 1
B07, Trade, 626071.567, 79, B07, S05, 1
B07, Trade, 632191.350, 77, B07, S05, 1
B07, Trade, 633864.400, 79, B07, S01, 1
B07, Trade, 635627.117, 79, B07, S01, 1
B07, Trade, 655683.717, 78, B07, S00, 1
B07, Trade, 655729.817, 79, B07, S06, 1
B07, Trade, 656521.367, 79, B07, S00, 1
B07, Trade, 656951.934, 78, B07, S02, 1
B07, Trade, 657034.784, 79, B07, S00, 1
B07, Trade, 658042.250, 79, B07, S00, 1
B07, Trade, 658330.584, 78, B07, S03, 1
B07, Trade, 659587.800, 79, B07, S05, 1
B07, Trade, 660972.334, 79, B07, S05, 1
B07, Trade, 661184.084, 79, B07, S03, 1
B07, Trade, 661358.467, 79, B07, S00, 1
B07, Trade, 661891.434, 79, B07, S03, 1
B07, Trade, 662238.917, 79, B07, S03, 1
B07, Trade, 671244.150, 77, B07, S02, 1
B07, Trade, 674638.584, 79, B07, S06, 1
B07, Trade, 675104.500, 79, B07, S04, 1
B07, Trade, 676957.300, 78, B07, S04, 1
B07, Trade, 677111.067, 79, B07, S02, 1
B07, Trade, 677743.617, 79, B07, S04, 1
B07, Trade, 677874.667, 79, B07, S04, 1
B07, Trade, 677965.417, 79, B07, S01, 1
B07, Trade, 678191.050, 79, B07, S00, 1
B07, Trade, 679093.100, 79, B07, S04, 1
B07, Trade, 679192.700, 79, B07, S00, 1
B07, Trade, 679253.067, 79, B07, S01, 1
B07, Trade, 679495.217, 78, B07, S06, 1
B07, Trade, 679886.317, 79, B07, S04, 1
B07, Trade, 680063.950, 79, B07, S01, 1
B07, Trade, 680135.700, 79, B07, S02, 1
B07, Trade, 680668.950, 78, B07, S04, 1
B07, Trade, 680676.800, 78, B07, S04, 1
B07, Trade, 680842.917, 79, B07, S00, 1
B07, Trade, 681572.567, 79, B07, S00, 1
B07, Trade, 681738.600, 79, B07, S02, 1
B07, Trade, 682033.934, 78, B07, S04, 1
B07, Trade, 682148.717, 79, B07, S01, 1
B07, Trade, 682680.717, 79, B07, S02, 1
B07, Trade, 682783.300, 79, B07, S01, 1
B07, Trade, 682821.517, 79, B07, S02, 1
B07, Trade, 683263.667, 79, B07, S00, 1
B07, Trade, 683390.200, 78, B07, S00, 1
B07, Trade, 683535.700, 78, B07, S01, 1
B07, Trade, 683662.650, 79, B07, S04, 1
B07, Trade, 683818.100, 79, B07, S06, 1
B07, Trade, 684178.767, 78, B07, S00, 1
B07, Trade, 686216.467, 79, B07, S02, 1
B07, Trade, 687803.667, 79, B07, S03, 1
B07, Trade, 689219.334, 79, B07, S03, 1
B07, Trade, 732180.834, 73, B07, S01, 1
B07, Trade, 740760.017, 78, B07, S02, 1
B07, Trade, 764679.067, 78, B07, S00, 1
B07, Trade, 764822.984, 79, B07, S05, 1
B07, Trade, 765638.834, 78, B07, S03, 1
B07, Trade, 766779.334, 79, B07, S03, 1
B07, Trade, 768063.517, 79, B07, S03, 1
B07, Trade, 799998.367, 77, B07, S03, 1
B07, Trade, 800432.401, 79, B07, S02, 1
B07, Trade, 800621.867, 79, S04, B07, 1
B07, Trade, 801278.767, 79, B07, S01, 1
B07, Trade, 801283.251, 76, B07, S04, 1
B07, Trade, 805424.301, 74, B07, S05, 1
B07, Trade, 806411.501, 79, B07, S03, 1
B07, Trade, 807535.634, 78, B07, S04, 1
B07, Trade, 807593.717, 79, B07, S02, 1
B07, Trade, 807894.151, 76, B07, S04, 1
B07, Trade, 808117.167, 79, B07, S04, 1
B07, Trade, 808236.101, 79, B07, S01, 1
B07, Trade, 808401.751, 79, B07, S03, 1
B07, Trade, 809204.317, 78, B07, S06, 1
B07, Trade, 809305.851, 78, B07, S04, 1
B07, Trade, 809315.784, 79, B07, S03, 1
B07, Trade, 809515.067, 79, B07, S02, 1
B07, Trade, 809728.234, 79, B07, S07, 1
B07, Trade, 810039.717, 79, B07, S01, 1
B07, Trade, 810894.568, 79, B07, S04, 1
B07, Trade, 813106.184, 79, B07, S03, 1
B07, Trade, 813244.384, 79, B07, S02, 1
B07, Trade, 813337.234, 78, B07, S02, 1
B07, Trade, 821561.701, 79, B07, S06, 1
B07, Trade, 822325.451, 79, B07, S04, 1
B07, Trade, 823088.618, 79, B07, S02, 1
B07, Trade, 826114.784, 78, B07, S00, 1
B07, Trade, 835497.868, 79, B07, S00, 1
B07, Trade, 837505.951, 79, B07, S00, 1
B07, Trade, 839972.884, 79, B07, S05, 1
B07, Trade, 841246.118, 78, B07, S00, 1
B07, Trade, 841734.401, 79, B07, S00, 1
B07, Trade, 852641.518, 78, B07, S04, 1
B07, Trade, 853363.234, 79, B07, S06, 1
B07, Trade, 853658.518, 79, B07, S02, 1
B07, Trade, 855206.851, 78, B07, S00, 1
B07, Trade, 856669.084, 76, B07, S02, 1
B08, 100
B08, Trade, 775066.851, 82, B08, S02, 1
B08, Trade, 775162.484, 82, B08, S02, 1
B08, Trade, 776209.751, 76, B08, S06, 1
B08, Trade, 777651.001, 81, B08, S05, 1
B08, Trade, 783757.767, 82, B08, S07, 1
B08, Trade, 787540.934, 82, B08, S02, 1
B08, Trade, 789004.201, 82, B08, S02, 1
B08, Trade, 789806.217, 82, B08, S00, 1
B08, Trade, 789862.517, 82, B08, S00, 1
B08, Trade, 794089.184, 82, B08, S08, 1
B08, Trade, 794188.001, 82, B08, S02, 1
B08, Trade, 794743.284, 82, B08, S02, 1
B08, Trade, 796667.917, 82, B08, S04, 1
B08, Trade, 797214.634, 82, B08, S00, 1
B08, Trade, 798693.884, 82, B08, S04, 1
B08, Trade, 801106.134, 77, B08, S00, 1
B08, Trade, 814997.068, 82, B08, S06, 1
B08, Trade, 820071.134, 78, S04, B08, 1
B08, Trade, 822325.601, 77, S05, B08, 1
B08, Trade, 822465.968, 82, B08, S05, 1
B08, Trade, 822514.051, 82, B08, S00, 1
B08, Trade, 823089.701, 80, B08, S04, 1
B08, Trade, 823155.301, 82, B08, S05, 1
B08, Trade, 823321.534, 80, B08, S04, 1
B08, Trade, 824196.851, 82, B08, S00, 1
B08, Trade, 824725.351, 82, B08, S02, 1
B08, Trade, 825359.051, 82, B08, S00, 1
B08, Trade, 825514.401, 82, B08, S05, 1
B08, Trade, 825754.584, 82, B08, S00, 1
B08, Trade, 825771.518, 82, B08, S05, 1
B08, Trade, 825835.268, 82, B08, S05, 1
B08, Trade, 826114.601, 82, B08, S02, 1
B08, Trade, 826428.218, 82, B08, S00, 1
B08, Trade, 827705.684, 81, B08, S05, 1
B08, Trade, 827768.968, 82, B08, S05, 1
B08, Trade, 828233.484, 81, B08, S03, 1
B08, Trade, 828490.251, 82, B08, S08, 1
B08, Trade, 829864.968, 81, B08, S03, 1
B08, Trade, 830254.384, 82, B08, S03, 1
B08, Trade, 832263.768, 82, B08, S05, 1
B08, Trade, 832814.984, 82, B08, S07, 1
B08, Trade, 835227.418, 82, B08, S00, 1
B08, Trade, 835263.418, 82, B08, S08, 1
B08, Trade, 835552.251, 82, B08, S05, 1
B08, Trade, 835613.334, 82, B08, S07, 1
B08, Trade, 835637.518, 82, B08, S00, 1
B08, Trade, 835679.101, 82, B08, S02, 1
B08, Trade, 835736.568, 82, B08, S01, 1
B08, Trade, 836467.718, 82, B08, S07, 1
B08, Trade, 836553.551, 82, B08, S05, 1
B08, Trade, 837276.084, 72, B08, S02, 1
B08, Trade, 838198.134, 82, B08, S07, 1
B08, Trade, 839150.134, 82, B08, S07, 1
B08, Trade, 839210.251, 82, B08, S01, 1
B08, Trade, 839238.868, 82, B08, S01, 1
B08, Trade, 839514.384, 82, B08, S01, 1
B08, Trade, 839720.534, 78, B08, S02, 1
B08, Trade, 839972.784, 82, B08, S01, 1
B08, Trade, 840025.134, 82, B08, S00, 1
B08, Trade, 840161.501, 82, B08, S05, 1
B08, Trade, 840308.951, 82, B08, S01, 1
B08, Trade, 840636.684, 82, B08, S07, 1
B08, Trade, 840690.034, 82, B08, S05, 1
B08, Trade, 840828.518, 82, B08, S08, 1
B08, Trade, 841245.634, 82, B08, S02, 1
B08, Trade, 841319.334, 82, B08, S08, 1
B08, Trade, 841988.851, 82, B08, S01, 1
B08, Trade, 842183.234, 82, B08, S02, 1
B08, Trade, 842592.751, 82, B08, S01, 1
B08, Trade, 843659.801, 82, B08, S05, 1
B08, Trade, 844353.168, 82, B08, S04, 1
B08, Trade, 845558.801, 82, B08, S02, 1
B08, Trade, 846980.251, 82, B08, S04, 1
B08, Trade, 847311.668, 82, B08, S01, 1
B08, Trade, 848139.684, 81, S07, B08, 1
B08, Trade, 848912.334, 82, S08, B08, 1
B08, Trade, 849902.868, 82, B08, S04, 1
B08, Trade, 850245.968, 82, B08, S04, 1
B08, Trade, 850775.668, 82, B08, S00, 1
B08, Trade, 850825.818, 82, B08, S04, 1
B08, Trade, 850829.534, 82, B08, S08, 1
B08, Trade, 851335.468, 82, B08, S04, 1
B08, Trade, 852304.401, 82, B08, S01, 1
B08, Trade, 852509.568, 82, B08, S02, 1
B08, Trade, 852640.868, 82, B08, S01, 1
B08, Trade, 853362.784, 82, B08, S04, 1
B08, Trade, 853381.368, 82, B08, S06, 1
B08, Trade, 853678.984, 82, B08, S01, 1
B08, Trade, 854190.701, 82, B08, S06, 1
B08, Trade, 854402.534, 82, B08, S06, 1
B08, Trade, 854646.018, 82, B08, S00, 1
B08, Trade, 854697.218, 82, B08, S00, 1
