B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 207768.833, 71, B04, S02, 1
B05, 0
B06, 20
B06, Trade, 49509.567, 74, B06, S02, 1
B06, Trade, 79328.933, 76, B06, S00, 1
B06, Trade, 81126.017, 70, B06, S00, 1
B06, Trade, 81321.700, 76, B06, S02, 1
B06, Trade, 82742.083, 76, B06, S05, 1
B06, Trade, 84778.150, 75, B06, S00, 1
B06, Trade, 85148.317, 76, B06, S02, 1
B06, Trade, 109194.183, 76, B06, S03, 1
B06, Trade, 110454.517, 75, B06, S00, 1
B06, Trade, 112749.183, 76, B06, S00, 1
B06, Trade, 119418.633, 75, B06, S04, 1
B06, Trade, 126910.150, 76, B06, S00, 1
B06, Trade, 147822.767, 71, B06, S00, 1
B06, Trade, 161698.733, 75, B06, S02, 1
B06, Trade, 171568.333, 76, B06, S02, 1
B06, Trade, 190765.183, 76, B06, S05, 1
B06, Trade, 216965.700, 76, B06, S00, 1
B06, Trade, 217702.667, 75, B06, S02, 1
B06, Trade, 222856.350, 74, B06, S02, 1
B06, Trade, 239830.283, 75, B06, S00, 1
B07, 100
B07, Trade, 93183.650, 78, B07, S01, 1
B07, Trade, 93389.967, 79, B07, S05, 1
B07, Trade, 94562.017, 79, B07, S00, 1
B07, Trade, 94841.300, 79, B07, S05, 1
B07, Trade, 97089.117, 79, B07, S05, 1
B07, Trade, 98198.267, 79, B07, S05, 1
B07, Trade, 98538.083, 79, B07, S05, 1
B07, Trade, 98913.117, 79, B07, S00, 1
B07, Trade, 99922.900, 79, B07, S05, 1
B07, Trade, 100849.650, 79, B07, S00, 1
B07, Trade, 102127.317, 78, B07, S00, 1
B07, Trade, 102188.600, 78, B07, S05, 1
B07, Trade, 102594.833, 79, B07, S00, 1
B07, Trade, 102617.217, 79, B07, S00, 1
B07, Trade, 102708.683, 79, B07, S00, 1
B07, Trade, 102878.217, 78, B07, S05, 1
B07, Trade, 103000.967, 79, B07, S00, 1
B07, Trade, 103868.967, 79, B07, S00, 1
B07, Trade, 104374.900, 69, S00, B07, 1
B07, Trade, 104800.117, 79, B07, S00, 1
B07, Trade, 105029.650, 77, B07, S02, 1
B07, Trade, 105551.617, 79, B07, S05, 1
B07, Trade, 105575.183, 79, B07, S02, 1
B07, Trade, 106131.283, 79, B07, S05, 1
B07, Trade, 106286.283, 78, B07, S03, 1
B07, Trade, 107449.567, 79, B07, S00, 1
B07, Trade, 107844.283, 79, B07, S02, 1
B07, Trade, 131090.667, 78, B07, S02, 1
B07, Trade, 136326.067, 78, B07, S00, 1
B07, Trade, 137047.900, 77, B07, S00, 1
B07, Trade, 140222.500, 76, B07, S02, 1
B07, Trade, 144172.450, 79, B07, S05, 1
B07, Trade, 144189.033, 79, B07, S05, 1
B07, Trade, 144435.667, 79, B07, S00, 1
B07, Trade, 145079.483, 79, B07, S00, 1
B07, Trade, 145384.900, 79, B07, S01, 1
B07, Trade, 145931.017, 79, B07, S01, 1
B07, Trade, 146342.083, 79, B07, S05, 1
B07, Trade, 146687.883, 79, B07, S02, 1
B07, Trade, 146770.233, 79, B07, S02, 1
B07, Trade, 146935.433, 79, B07, S02, 1
B07, Trade, 147081.000, 79, B07, S02, 1
B07, Trade, 147136.267, 79, B07, S02, 1
B07, Trade, 147231.700, 79, B07, S02, 1
B07, Trade, 147247.700, 79, B07, S00, 1
B07, Trade, 147571.783, 79, B07, S02, 1
B07, Trade, 147821.383, 79, B07, S02, 1
B07, Trade, 148023.783, 79, B07, S02, 1
B07, Trade, 148484.350, 79, B07, S01, 1
B07, Trade, 148790.450, 79, B07, S00, 1
B07, Trade, 148916.700, 79, B07, S02, 1
B07, Trade, 149333.033, 79, B07, S02, 1
B07, Trade, 149728.167, 79, B07, S02, 1
B07, Trade, 150113.000, 79, B07, S02, 1
B07, Trade, 150158.317, 79, B07, S05, 1
B07, Trade, 150215.950, 79, B07, S02, 1
B07, Trade, 150823.567, 79, B07, S05, 1
B07, Trade, 151044.133, 79, B07, S03, 1
B07, Trade, 151101.833, 79, B07, S02, 1
B07, Trade, 152693.783, 79, B07, S04, 1
B07, Trade, 153215.533, 79, B07, S00, 1
B07, Trade, 153511.783, 79, B07, S04, 1
B07, Trade, 154248.383, 78, B07, S00, 1
B07, Trade, 157748.417, 77, B07, S00, 1
B07, Trade, 158067.900, 78, B07, S03, 1
B07, Trade, 174153.000, 78, B07, S02, 1
B07, Trade, 175903.250, 79, B07, S05, 1
B07, Trade, 176234.700, 77, B07, S00, 1
B07, Trade, 176336.150, 79, B07, S00, 1
B07, Trade, 180539.950, 79, B07, S02, 1
B07, Trade, 181097.167, 77, B07, S05, 1
B07, Trade, 181351.383, 79, B07, S00, 1
B07, Trade, 181496.067, 79, B07, S05, 1
B07, Trade, 182364.933, 79, S05, B07, 1
B07, Trade, 182609.933, 79, B07, S05, 1
B07, Trade, 182709.667, 79, B07, S02, 1
B07, Trade, 182722.350, 77, B07, S06, 1
B07, Trade, 183219.417, 79, B07, S02, 1
B07, Trade, 184117.950, 79, B07, S02, 1
B07, Trade, 184690.150, 79, B07, S05, 1
B07, Trade, 184931.833, 79, B07, S05, 1
B07, Trade, 186511.267, 79, B07, S02, 1
B07, Trade, 186563.950, 79, B07, S02, 1
B07, Trade, 189329.067, 79, B07, S00, 1
B07, Trade, 192281.283, 78, B07, S03, 1
B07, Trade, 197081.050, 78, B07, S00, 1
B07, Trade, 205279.167, 79, B07, S02, 1
B07, Trade, 207259.400, 75, S04, B07, 1
B07, Trade, 221053.917, 73, B07, S02, 1
B07, Trade, 228535.800, 79, B07, S05, 1
