B00, 0
B01, 0
B02, 0
B03, 5
B03, Trade, 159269.167, 68, B03, S00, 1
B03, Trade, 161021.450, 68, B03, S00, 1
B03, Trade, 161356.850, 68, B03, S00, 1
B03, Trade, 161839.017, 68, B03, S01, 1
B03, Trade, 164194.233, 68, B03, S02, 1
B04, 1
B04, Trade, 103181.067, 71, B04, S02, 1
B05, 25
B05, Trade, 66508.100, 73, B05, S00, 1
B05, Trade, 70345.083, 73, B05, S00, 1
B05, Trade, 80668.417, 70, B05, S01, 1
B05, Trade, 84795.167, 70, B05, S01, 1
B05, Trade, 93095.750, 70, B05, S01, 1
B05, Trade, 94028.133, 73, B05, S02, 1
B05, Trade, 137234.883, 73, B05, S00, 1
B05, Trade, 138473.667, 73, B05, S01, 1
B05, Trade, 140529.183, 73, B05, S02, 1
B05, Trade, 141015.267, 73, B05, S02, 1
B05, Trade, 141064.017, 73, B05, S01, 1
B05, Trade, 197362.483, 69, B05, S02, 1
B05, Trade, 206532.900, 73, B05, S02, 1
B05, Trade, 206951.200, 73, B05, S05, 1
B05, Trade, 208160.450, 73, B05, S02, 1
B05, Trade, 211717.350, 73, B05, S01, 1
B05, Trade, 227325.917, 73, B05, S01, 1
B05, Trade, 227610.250, 73, B05, S01, 1
B05, Trade, 231425.683, 73, B05, S01, 1
B05, Trade, 232073.867, 72, B05, S01, 1
B05, Trade, 235903.867, 73, B05, S02, 1
B05, Trade, 236464.383, 73, B05, S01, 1
B05, Trade, 236512.650, 73, B05, S01, 1
B05, Trade, 236970.667, 73, B05, S01, 1
B05, Trade, 237470.633, 73, B05, S01, 1
B06, 100
B06, Trade, 45889.833, 75, B06, S03, 1
B06, Trade, 45912.333, 75, B06, S03, 1
B06, Trade, 46068.533, 76, B06, S01, 1
B06, Trade, 46179.067, 75, B06, S05, 1
B06, Trade, 46488.533, 76, B06, S06, 1
B06, Trade, 46526.033, 75, B06, S03, 1
B06, Trade, 46557.717, 76, B06, S05, 1
B06, Trade, 46934.033, 76, B06, S00, 1
B06, Trade, 47051.317, 76, B06, S00, 1
B06, Trade, 47100.217, 74, B06, S05, 1
B06, Trade, 47310.600, 75, B06, S05, 1
B06, Trade, 47459.867, 75, B06, S03, 1
B06, Trade, 47483.050, 75, B06, S03, 1
B06, Trade, 47502.550, 76, B06, S01, 1
B06, Trade, 47735.750, 76, B06, S00, 1
B06, Trade, 48120.567, 76, B06, S00, 1
B06, Trade, 48656.333, 76, B06, S01, 1
B06, Trade, 48726.517, 76, B06, S01, 1
B06, Trade, 48940.250, 75, B06, S01, 1
B06, Trade, 49081.483, 76, B06, S03, 1
B06, Trade, 49378.417, 76, B06, S02, 1
B06, Trade, 49945.550, 76, B06, S00, 1
B06, Trade, 50154.267, 76, B06, S00, 1
B06, Trade, 50386.333, 76, B06, S03, 1
B06, Trade, 52472.133, 76, B06, S03, 1
B06, Trade, 65592.300, 76, B06, S00, 1
B06, Trade, 66212.400, 76, B06, S00, 1
B06, Trade, 66507.383, 76, B06, S01, 1
B06, Trade, 67888.417, 76, B06, S01, 1
B06, Trade, 71091.050, 75, B06, S00, 1
B06, Trade, 71771.967, 76, B06, S00, 1
B06, Trade, 71901.783, 74, B06, S00, 1
B06, Trade, 82728.917, 74, B06, S01, 1
B06, Trade, 83563.067, 76, B06, S01, 1
B06, Trade, 93896.383, 76, B06, S01, 1
B06, Trade, 95284.817, 76, B06, S02, 1
B06, Trade, 96935.067, 76, B06, S06, 1
B06, Trade, 99754.183, 76, B06, S02, 1
B06, Trade, 101045.483, 74, B06, S02, 1
B06, Trade, 101215.000, 75, B06, S02, 1
B06, Trade, 101516.867, 76, B06, S01, 1
B06, Trade, 101732.067, 76, B06, S02, 1
B06, Trade, 101813.883, 76, B06, S01, 1
B06, Trade, 101967.900, 76, B06, S02, 1
B06, Trade, 102082.250, 76, B06, S02, 1
B06, Trade, 102275.817, 76, B06, S01, 1
B06, Trade, 102816.400, 76, B06, S01, 1
B06, Trade, 103181.017, 75, B06, S01, 1
B06, Trade, 103221.017, 76, B06, S01, 1
B06, Trade, 103295.783, 76, B06, S01, 1
B06, Trade, 103360.900, 75, B06, S01, 1
B06, Trade, 103488.883, 76, B06, S01, 1
B06, Trade, 103733.533, 76, B06, S01, 1
B06, Trade, 103906.167, 76, B06, S01, 1
B06, Trade, 104213.033, 76, B06, S02, 1
B06, Trade, 104513.250, 75, B06, S01, 1
B06, Trade, 104524.883, 74, B06, S02, 1
B06, Trade, 104646.183, 76, B06, S02, 1
B06, Trade, 104731.150, 76, B06, S01, 1
B06, Trade, 105009.150, 76, B06, S01, 1
B06, Trade, 105020.550, 76, B06, S01, 1
B06, Trade, 105040.867, 75, B06, S02, 1
B06, Trade, 105416.667, 76, B06, S01, 1
B06, Trade, 105538.733, 76, B06, S02, 1
B06, Trade, 105601.400, 76, B06, S01, 1
B06, Trade, 105619.733, 76, B06, S01, 1
B06, Trade, 105698.050, 76, B06, S01, 1
B06, Trade, 105798.400, 76, B06, S02, 1
B06, Trade, 106122.517, 76, B06, S01, 1
B06, Trade, 106507.300, 76, B06, S01, 1
B06, Trade, 107037.083, 76, B06, S02, 1
B06, Trade, 107276.683, 76, B06, S01, 1
B06, Trade, 115619.467, 76, B06, S00, 1
B06, Trade, 116212.500, 76, B06, S00, 1
B06, Trade, 116424.350, 76, B06, S02, 1
B06, Trade, 117428.533, 75, B06, S00, 1
B06, Trade, 118041.450, 76, B06, S00, 1
B06, Trade, 118155.550, 76, B06, S00, 1
B06, Trade, 118302.500, 76, B06, S02, 1
B06, Trade, 118738.900, 76, B06, S00, 1
B06, Trade, 119256.000, 76, B06, S06, 1
B06, Trade, 119377.300, 75, B06, S00, 1
B06, Trade, 119503.783, 76, B06, S00, 1
B06, Trade, 119519.750, 76, B06, S02, 1
B06, Trade, 119638.583, 75, B06, S00, 1
B06, Trade, 119741.617, 76, B06, S02, 1
B06, Trade, 120285.167, 76, B06, S00, 1
B06, Trade, 120460.567, 76, B06, S00, 1
B06, Trade, 121506.550, 76, B06, S00, 1
B06, Trade, 122014.583, 76, B06, S00, 1
B06, Trade, 122317.100, 75, B06, S00, 1
B06, Trade, 133522.900, 76, B06, S00, 1
B06, Trade, 135013.400, 76, B06, S01, 1
B06, Trade, 165204.517, 69, B06, S00, 1
B06, Trade, 184030.917, 75, B06, S01, 1
B06, Trade, 202597.467, 76, B06, S01, 1
B06, Trade, 243200.483, 76, B06, S00, 1
B06, Trade, 245700.700, 76, B06, S06, 1
B06, Trade, 247145.750, 76, B06, S02, 1
B06, Trade, 248162.683, 76, B06, S01, 1
B07, 100
B07, Trade, 84331.133, 72, B07, S01, 1
B07, Trade, 85163.217, 77, B07, S04, 1
B07, Trade, 86375.050, 69, B07, S01, 1
B07, Trade, 86925.367, 78, S00, B07, 1
B07, Trade, 90681.067, 78, B07, S01, 1
B07, Trade, 96778.700, 79, S01, B07, 1
B07, Trade, 97790.133, 78, B07, S02, 1
B07, Trade, 97923.233, 79, B07, S01, 1
B07, Trade, 99775.050, 77, B07, S02, 1
B07, Trade, 106492.017, 77, B07, S01, 1
B07, Trade, 109100.017, 79, B07, S06, 1
B07, Trade, 109291.067, 78, B07, S00, 1
B07, Trade, 110016.633, 79, B07, S00, 1
B07, Trade, 110278.267, 78, B07, S00, 1
B07, Trade, 110542.633, 78, B07, S00, 1
B07, Trade, 110565.200, 79, B07, S02, 1
B07, Trade, 111258.883, 77, B07, S00, 1
B07, Trade, 111469.600, 77, B07, S01, 1
B07, Trade, 114224.567, 79, B07, S05, 1
B07, Trade, 117869.500, 79, B07, S05, 1
B07, Trade, 118616.583, 79, B07, S05, 1
B07, Trade, 119007.233, 78, B07, S05, 1
B07, Trade, 119853.550, 79, B07, S00, 1
B07, Trade, 121280.667, 79, B07, S00, 1
B07, Trade, 122096.767, 77, B07, S00, 1
B07, Trade, 122942.050, 76, B07, S01, 1
B07, Trade, 136476.033, 79, B07, S00, 1
B07, Trade, 140036.383, 78, B07, S05, 1
B07, Trade, 142898.450, 79, B07, S01, 1
B07, Trade, 151495.200, 79, B07, S01, 1
B07, Trade, 152870.750, 79, B07, S03, 1
B07, Trade, 152880.983, 79, B07, S00, 1
B07, Trade, 153491.883, 79, B07, S00, 1
B07, Trade, 153821.883, 79, B07, S02, 1
B07, Trade, 156433.717, 79, B07, S00, 1
B07, Trade, 157633.283, 78, B07, S06, 1
B07, Trade, 158594.733, 69, B07, S00, 1
B07, Trade, 158839.383, 79, B07, S00, 1
B07, Trade, 160005.600, 75, B07, S00, 1
B07, Trade, 160550.467, 74, B07, S00, 1
B07, Trade, 161155.083, 76, B07, S05, 1
B07, Trade, 161420.633, 79, B07, S04, 1
B07, Trade, 161738.783, 79, B07, S00, 1
B07, Trade, 162716.167, 79, B07, S00, 1
B07, Trade, 163244.650, 77, B07, S04, 1
B07, Trade, 163325.900, 77, B07, S02, 1
B07, Trade, 163344.417, 75, B07, S02, 1
B07, Trade, 163553.933, 76, B07, S01, 1
B07, Trade, 163734.183, 77, B07, S01, 1
B07, Trade, 164062.367, 75, B07, S02, 1
B07, Trade, 164133.000, 75, B07, S00, 1
B07, Trade, 164701.167, 77, B07, S00, 1
B07, Trade, 166715.083, 78, S06, B07, 1
B07, Trade, 166822.783, 79, B07, S01, 1
B07, Trade, 166998.133, 79, B07, S05, 1
B07, Trade, 167334.033, 78, B07, S01, 1
B07, Trade, 167817.600, 78, B07, S01, 1
B07, Trade, 168970.267, 79, B07, S04, 1
B07, Trade, 169764.700, 78, B07, S00, 1
B07, Trade, 170007.033, 79, B07, S01, 1
B07, Trade, 171188.367, 79, B07, S01, 1
B07, Trade, 171482.350, 79, B07, S01, 1
B07, Trade, 174787.033, 78, B07, S00, 1
B07, Trade, 175549.533, 79, B07, S00, 1
B07, Trade, 175762.767, 79, B07, S02, 1
B07, Trade, 175998.400, 79, B07, S00, 1
B07, Trade, 177236.533, 78, B07, S00, 1
B07, Trade, 177554.467, 79, B07, S04, 1
B07, Trade, 177848.750, 77, B07, S01, 1
B07, Trade, 178064.267, 79, B07, S04, 1
B07, Trade, 178974.767, 79, B07, S01, 1
B07, Trade, 179534.700, 79, B07, S06, 1
B07, Trade, 179670.700, 79, B07, S05, 1
B07, Trade, 180558.050, 79, B07, S02, 1
B07, Trade, 184205.817, 77, B07, S05, 1
B07, Trade, 185362.650, 79, B07, S01, 1
B07, Trade, 193523.383, 79, B07, S06, 1
B07, Trade, 197169.733, 78, B07, S02, 1
B07, Trade, 197715.400, 73, B07, S02, 1
B07, Trade, 197918.567, 73, B07, S00, 1
B07, Trade, 198507.067, 77, B07, S02, 1
B07, Trade, 199294.967, 72, S00, B07, 1
B07, Trade, 200114.250, 75, B07, S05, 1
B07, Trade, 200309.517, 73, B07, S00, 1
B07, Trade, 200437.267, 78, B07, S05, 1
B07, Trade, 223655.483, 79, B07, S00, 1
B07, Trade, 224958.050, 78, B07, S05, 1
B07, Trade, 225139.100, 79, B07, S02, 1
B07, Trade, 226150.767, 79, B07, S02, 1
B07, Trade, 227611.400, 77, B07, S01, 1
B07, Trade, 227620.900, 79, B07, S05, 1
B07, Trade, 227983.000, 79, B07, S02, 1
B07, Trade, 231343.333, 79, B07, S01, 1
B07, Trade, 231450.817, 74, B07, S01, 1
B07, Trade, 231487.867, 77, B07, S02, 1
B07, Trade, 231564.250, 73, B07, S01, 1
B07, Trade, 231766.017, 78, B07, S04, 1
B07, Trade, 235724.200, 77, B07, S01, 1
B07, Trade, 236966.100, 78, B07, S00, 1
B07, Trade, 239261.800, 78, B07, S06, 1
B08, 100
B08, Trade, 227323.750, 80, B08, S03, 1
B08, Trade, 227408.583, 74, S01, B08, 1
B08, Trade, 228068.650, 74, B08, S02, 1
B08, Trade, 228145.717, 82, B08, S07, 1
B08, Trade, 228319.467, 81, B08, S07, 1
B08, Trade, 228383.433, 80, B08, S00, 1
B08, Trade, 228881.983, 81, B08, S07, 1
B08, Trade, 229165.850, 82, B08, S02, 1
B08, Trade, 229410.850, 76, B08, S00, 1
B08, Trade, 229638.150, 74, B08, S02, 1
B08, Trade, 230219.167, 80, B08, S06, 1
B08, Trade, 230253.650, 82, B08, S07, 1
B08, Trade, 230431.950, 82, B08, S01, 1
B08, Trade, 231486.783, 80, B08, S00, 1
B08, Trade, 231913.767, 82, B08, S02, 1
B08, Trade, 232074.667, 82, B08, S02, 1
B08, Trade, 232457.267, 76, B08, S01, 1
B08, Trade, 232468.767, 82, B08, S03, 1
B08, Trade, 233453.283, 82, B08, S05, 1
B08, Trade, 233720.267, 80, B08, S06, 1
B08, Trade, 234027.100, 82, B08, S01, 1
B08, Trade, 234238.167, 78, S06, B08, 1
B08, Trade, 234368.483, 77, B08, S01, 1
B08, Trade, 234598.400, 77, B08, S02, 1
B08, Trade, 234677.217, 78, B08, S01, 1
B08, Trade, 235141.050, 77, B08, S01, 1
B08, Trade, 235360.850, 81, B08, S01, 1
B08, Trade, 235545.483, 82, B08, S01, 1
