B00, 0
B01, 0
B02, 1
B02, Trade, 173739.883, 63, S00, B02, 1
B03, 0
B04, 7
B04, Trade, 114009.267, 71, B04, S04, 1
B04, Trade, 121515.333, 71, B04, S02, 1
B04, Trade, 182715.200, 71, B04, S00, 1
B04, Trade, 192137.450, 71, B04, S01, 1
B04, Trade, 194380.617, 71, B04, S01, 1
B04, Trade, 233676.533, 71, B04, S01, 1
B04, Trade, 256546.700, 71, B04, S04, 1
B05, 19
B05, Trade, 83945.567, 72, B05, S01, 1
B05, Trade, 86425.933, 72, B05, S02, 1
B05, Trade, 86799.767, 72, B05, S03, 1
B05, Trade, 87431.850, 72, B05, S03, 1
B05, Trade, 89562.133, 72, B05, S01, 1
B05, Trade, 90991.900, 72, B05, S01, 1
B05, Trade, 91564.100, 72, B05, S02, 1
B05, Trade, 93114.350, 72, B05, S02, 1
B05, Trade, 126103.167, 65, B05, S01, 1
B05, Trade, 131341.050, 73, B05, S05, 1
B05, Trade, 131863.600, 73, B05, S00, 1
B05, Trade, 132609.500, 73, B05, S02, 1
B05, Trade, 132982.883, 73, B05, S01, 1
B05, Trade, 135392.100, 73, B05, S03, 1
B05, Trade, 136496.067, 73, B05, S05, 1
B05, Trade, 156278.617, 72, B05, S02, 1
B05, Trade, 242332.600, 73, B05, S03, 1
B05, Trade, 248760.167, 73, B05, S03, 1
B05, Trade, 248849.750, 73, B05, S00, 1
B06, 100
B06, Trade, 132982.867, 75, B06, S04, 1
B06, Trade, 133052.267, 75, B06, S01, 1
B06, Trade, 133155.967, 75, B06, S02, 1
B06, Trade, 133272.000, 75, B06, S00, 1
B06, Trade, 133276.400, 75, B06, S04, 1
B06, Trade, 133304.683, 75, B06, S05, 1
B06, Trade, 133395.517, 75, B06, S02, 1
B06, Trade, 133755.933, 75, B06, S01, 1
B06, Trade, 133913.733, 75, B06, S05, 1
B06, Trade, 134029.267, 75, B06, S01, 1
B06, Trade, 134312.033, 75, B06, S01, 1
B06, Trade, 134619.533, 75, B06, S05, 1
B06, Trade, 134724.367, 75, B06, S01, 1
B06, Trade, 134819.383, 75, B06, S01, 1
B06, Trade, 134945.983, 75, B06, S05, 1
B06, Trade, 135182.600, 75, B06, S01, 1
B06, Trade, 135266.800, 75, B06, S05, 1
B06, Trade, 135580.233, 75, B06, S01, 1
B06, Trade, 135676.933, 75, B06, S04, 1
B06, Trade, 135923.133, 75, B06, S00, 1
B06, Trade, 135996.800, 75, B06, S01, 1
B06, Trade, 136008.550, 75, B06, S03, 1
B06, Trade, 136046.550, 75, B06, S01, 1
B06, Trade, 136265.833, 75, B06, S05, 1
B06, Trade, 136638.050, 75, B06, S05, 1
B06, Trade, 136700.117, 75, B06, S05, 1
B06, Trade, 156456.267, 76, B06, S02, 1
B06, Trade, 188341.267, 76, B06, S03, 1
B06, Trade, 188355.583, 76, B06, S03, 1
B06, Trade, 188459.300, 76, B06, S01, 1
B06, Trade, 189277.783, 76, B06, S03, 1
B06, Trade, 189674.217, 76, B06, S01, 1
B06, Trade, 190220.283, 76, B06, S01, 1
B06, Trade, 190330.150, 76, B06, S06, 1
B06, Trade, 190510.500, 76, B06, S01, 1
B06, Trade, 190720.100, 76, B06, S06, 1
B06, Trade, 191135.750, 76, B06, S01, 1
B06, Trade, 191445.067, 76, B06, S01, 1
B06, Trade, 192350.733, 76, B06, S06, 1
B06, Trade, 193670.000, 76, B06, S03, 1
B06, Trade, 194380.567, 76, B06, S00, 1
B06, Trade, 194900.283, 76, B06, S01, 1
B06, Trade, 195157.117, 76, B06, S02, 1
B06, Trade, 195265.650, 76, B06, S01, 1
B06, Trade, 195588.100, 76, B06, S03, 1
B06, Trade, 196443.983, 76, B06, S03, 1
B06, Trade, 196645.600, 76, B06, S02, 1
B06, Trade, 196776.950, 76, B06, S05, 1
B06, Trade, 197094.400, 76, B06, S05, 1
B06, Trade, 197241.533, 69, B06, S02, 1
B06, Trade, 198056.967, 76, B06, S05, 1
B06, Trade, 198240.933, 76, B06, S05, 1
B06, Trade, 198258.250, 76, B06, S01, 1
B06, Trade, 201243.017, 76, B06, S03, 1
B06, Trade, 212020.900, 76, B06, S00, 1
B06, Trade, 217317.483, 75, B06, S03, 1
B06, Trade, 217601.750, 75, B06, S03, 1
B06, Trade, 217649.550, 75, B06, S03, 1
B06, Trade, 217861.317, 75, B06, S02, 1
B06, Trade, 217982.350, 75, B06, S03, 1
B06, Trade, 218383.133, 75, B06, S03, 1
B06, Trade, 218972.083, 75, B06, S03, 1
B06, Trade, 219400.717, 75, B06, S04, 1
B06, Trade, 219677.983, 75, B06, S02, 1
B06, Trade, 219833.100, 75, B06, S03, 1
B06, Trade, 221106.283, 75, B06, S04, 1
B06, Trade, 221198.600, 75, B06, S00, 1
B06, Trade, 221225.200, 75, B06, S02, 1
B06, Trade, 221243.100, 75, B06, S04, 1
B06, Trade, 221377.100, 75, B06, S03, 1
B06, Trade, 221407.167, 75, B06, S04, 1
B06, Trade, 221953.800, 75, B06, S04, 1
B06, Trade, 222132.250, 75, B06, S03, 1
B06, Trade, 223537.417, 76, B06, S02, 1
B06, Trade, 226249.200, 76, B06, S01, 1
B06, Trade, 226470.817, 76, B06, S02, 1
B06, Trade, 226622.017, 76, B06, S01, 1
B06, Trade, 227212.183, 76, B06, S04, 1
B06, Trade, 227666.633, 76, B06, S01, 1
B06, Trade, 227957.233, 76, B06, S03, 1
B06, Trade, 228437.750, 76, B06, S04, 1
B06, Trade, 228904.267, 76, B06, S04, 1
B06, Trade, 229213.683, 76, B06, S04, 1
B06, Trade, 229507.967, 76, B06, S03, 1
B06, Trade, 229849.800, 72, B06, S01, 1
B06, Trade, 230368.517, 76, B06, S03, 1
B06, Trade, 232565.300, 75, B06, S05, 1
B06, Trade, 233931.950, 75, B06, S05, 1
B06, Trade, 238132.517, 76, B06, S06, 1
B06, Trade, 238375.100, 76, B06, S04, 1
B06, Trade, 239328.167, 76, B06, S02, 1
B06, Trade, 239809.983, 76, B06, S02, 1
B06, Trade, 240249.750, 76, B06, S02, 1
B06, Trade, 243738.233, 76, B06, S02, 1
B06, Trade, 246210.467, 75, B06, S03, 1
B06, Trade, 246655.967, 75, B06, S03, 1
B06, Trade, 246670.833, 75, B06, S02, 1
B06, Trade, 248671.450, 75, B06, S03, 1
B06, Trade, 248849.717, 75, B06, S03, 1
B06, Trade, 250691.300, 75, B06, S02, 1
B07, 100
B07, Trade, 199698.700, 79, B07, S01, 1
B07, Trade, 199745.433, 79, B07, S05, 1
B07, Trade, 199790.983, 79, B07, S03, 1
B07, Trade, 199872.700, 79, B07, S03, 1
B07, Trade, 200426.367, 79, B07, S05, 1
B07, Trade, 200433.850, 79, B07, S01, 1
B07, Trade, 200645.033, 79, B07, S02, 1
B07, Trade, 200766.617, 79, B07, S01, 1
B07, Trade, 200865.283, 79, B07, S01, 1
B07, Trade, 200912.383, 77, B07, S05, 1
B07, Trade, 200992.267, 79, B07, S02, 1
B07, Trade, 201232.250, 79, B07, S03, 1
B07, Trade, 201242.950, 79, B07, S05, 1
B07, Trade, 201305.017, 79, B07, S02, 1
B07, Trade, 201314.933, 79, B07, S05, 1
B07, Trade, 201493.800, 79, B07, S02, 1
B07, Trade, 202128.600, 79, B07, S04, 1
B07, Trade, 208920.233, 79, B07, S06, 1
B07, Trade, 209671.650, 79, B07, S02, 1
B07, Trade, 209781.317, 79, B07, S05, 1
B07, Trade, 210381.400, 78, B07, S01, 1
B07, Trade, 210959.767, 79, B07, S04, 1
B07, Trade, 212338.233, 79, B07, S01, 1
B07, Trade, 214595.550, 79, B07, S03, 1
B07, Trade, 214689.050, 79, B07, S01, 1
B07, Trade, 215345.783, 79, B07, S01, 1
B07, Trade, 215744.450, 79, B07, S06, 1
B07, Trade, 230597.417, 78, B07, S01, 1
B07, Trade, 230620.583, 79, B07, S05, 1
B07, Trade, 230745.883, 79, B07, S05, 1
B07, Trade, 231307.367, 79, B07, S01, 1
B07, Trade, 231476.867, 79, B07, S05, 1
B07, Trade, 231603.200, 79, B07, S01, 1
B07, Trade, 231796.117, 79, B07, S07, 1
B07, Trade, 232633.583, 79, B07, S05, 1
B07, Trade, 232881.067, 78, B07, S02, 1
B07, Trade, 232914.150, 79, B07, S01, 1
B07, Trade, 233028.200, 79, B07, S04, 1
B07, Trade, 233117.433, 79, B07, S07, 1
B07, Trade, 233368.567, 77, B07, S01, 1
B07, Trade, 233584.117, 79, B07, S01, 1
B07, Trade, 233675.850, 79, B07, S05, 1
B07, Trade, 234112.750, 79, B07, S02, 1
B07, Trade, 234267.967, 78, B07, S02, 1
B07, Trade, 234358.683, 79, B07, S01, 1
B07, Trade, 235007.700, 79, B07, S05, 1
B07, Trade, 235138.517, 79, B07, S01, 1
B07, Trade, 235251.233, 79, B07, S04, 1
B07, Trade, 236421.517, 79, B07, S00, 1
B07, Trade, 236605.300, 77, B07, S05, 1
B07, Trade, 236804.083, 79, B07, S05, 1
B07, Trade, 237052.750, 79, B07, S01, 1
B07, Trade, 237360.600, 78, B07, S05, 1
B07, Trade, 237556.417, 79, B07, S02, 1
B07, Trade, 237874.350, 79, B07, S02, 1
B07, Trade, 237908.200, 79, B07, S04, 1
B07, Trade, 238069.750, 79, B07, S02, 1
B07, Trade, 238232.983, 79, B07, S02, 1
B07, Trade, 238374.717, 79, B07, S03, 1
B07, Trade, 238597.983, 79, B07, S04, 1
