B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 10
B05, Trade, 39898.433, 73, B05, S03, 1
B05, Trade, 132491.367, 73, B05, S02, 1
B05, Trade, 135288.183, 73, B05, S02, 1
B05, Trade, 173440.350, 72, S01, B05, 1
B05, Trade, 175894.200, 73, B05, S02, 1
B05, Trade, 176091.817, 72, B05, S02, 1
B05, Trade, 176593.000, 73, B05, S02, 1
B05, Trade, 177159.333, 73, B05, S02, 1
B05, Trade, 177472.800, 73, B05, S02, 1
B05, Trade, 178694.883, 72, B05, S02, 1
B06, 4
B06, Trade, 40963.300, 76, B06, S01, 1
B06, Trade, 62209.233, 76, B06, S02, 1
B06, Trade, 146638.733, 76, B06, S01, 1
B06, Trade, 178295.367, 76, B06, S02, 1
B07, 23
B07, Trade, 6700.883, 79, B07, S00, 1
B07, Trade, 29934.300, 76, B07, S04, 1
B07, Trade, 36172.917, 79, B07, S02, 1
B07, Trade, 38368.417, 76, B07, S01, 1
B07, Trade, 40308.567, 79, B07, S00, 1
B07, Trade, 40963.250, 79, B07, S01, 1
B07, Trade, 41816.383, 79, B07, S01, 1
B07, Trade, 41925.283, 79, B07, S02, 1
B07, Trade, 130432.850, 77, B07, S01, 1
B07, Trade, 135151.850, 75, S03, B07, 1
B07, Trade, 136431.183, 79, B07, S02, 1
B07, Trade, 188755.300, 79, B07, S01, 1
B07, Trade, 189168.317, 78, B07, S01, 1
B07, Trade, 189622.117, 74, B07, S02, 1
B07, Trade, 196045.800, 79, B07, S00, 1
B07, Trade, 207777.000, 78, B07, S02, 1
B07, Trade, 208036.383, 78, B07, S01, 1
B07, Trade, 208371.000, 79, B07, S01, 1
B07, Trade, 209621.517, 79, B07, S06, 1
B07, Trade, 209777.450, 79, B07, S00, 1
B07, Trade, 215010.533, 79, B07, S01, 1
B07, Trade, 234943.483, 77, B07, S01, 1
B07, Trade, 236358.483, 77, B07, S00, 1
B08, 100
B08, Trade, 58357.000, 82, B08, S04, 1
B08, Trade, 58685.250, 82, B08, S06, 1
B08, Trade, 59021.100, 82, B08, S03, 1
B08, Trade, 59145.667, 82, B08, S04, 1
B08, Trade, 59570.617, 82, B08, S00, 1
B08, Trade, 59969.717, 80, B08, S04, 1
B08, Trade, 61411.883, 82, B08, S06, 1
B08, Trade, 61825.383, 82, B08, S05, 1
B08, Trade, 63403.533, 82, B08, S01, 1
B08, Trade, 63666.933, 82, B08, S06, 1
B08, Trade, 64335.700, 82, B08, S01, 1
B08, Trade, 64431.167, 81, B08, S02, 1
B08, Trade, 82570.417, 82, B08, S05, 1
B08, Trade, 85862.500, 82, B08, S07, 1
B08, Trade, 100922.783, 82, B08, S06, 1
B08, Trade, 101107.050, 81, B08, S01, 1
B08, Trade, 102020.967, 82, B08, S02, 1
B08, Trade, 103380.017, 82, B08, S00, 1
B08, Trade, 104042.183, 82, B08, S01, 1
B08, Trade, 104176.850, 82, B08, S04, 1
B08, Trade, 104465.667, 82, B08, S02, 1
B08, Trade, 104555.533, 82, B08, S00, 1
B08, Trade, 105137.667, 82, B08, S04, 1
B08, Trade, 105971.650, 82, B08, S02, 1
B08, Trade, 106130.217, 82, B08, S02, 1
B08, Trade, 107286.217, 80, B08, S02, 1
B08, Trade, 115430.883, 82, B08, S06, 1
B08, Trade, 115568.233, 82, B08, S04, 1
B08, Trade, 116623.250, 82, B08, S06, 1
B08, Trade, 116862.033, 82, B08, S02, 1
B08, Trade, 117162.233, 82, B08, S02, 1
B08, Trade, 117334.500, 82, B08, S02, 1
B08, Trade, 119411.833, 82, B08, S02, 1
B08, Trade, 119500.567, 82, B08, S02, 1
B08, Trade, 120475.883, 82, B08, S04, 1
B08, Trade, 121472.783, 82, B08, S02, 1
B08, Trade, 130375.000, 78, S02, B08, 1
B08, Trade, 131474.300, 77, B08, S01, 1
B08, Trade, 132319.900, 81, B08, S00, 1
B08, Trade, 133430.400, 80, B08, S02, 1
B08, Trade, 134033.133, 81, B08, S02, 1
B08, Trade, 134141.400, 82, B08, S03, 1
B08, Trade, 135075.667, 78, B08, S02, 1
B08, Trade, 136088.567, 81, S07, B08, 1
B08, Trade, 162095.067, 81, B08, S05, 1
B08, Trade, 169989.167, 82, B08, S00, 1
B08, Trade, 171827.600, 82, B08, S00, 1
B08, Trade, 172336.950, 82, B08, S00, 1
B08, Trade, 172347.700, 81, B08, S05, 1
B08, Trade, 173101.900, 80, B08, S07, 1
B08, Trade, 174455.950, 79, B08, S02, 1
B08, Trade, 176681.417, 81, S07, B08, 1
B08, Trade, 177553.583, 80, B08, S02, 1
B08, Trade, 177557.767, 75, B08, S02, 1
B08, Trade, 189987.333, 82, B08, S03, 1
B08, Trade, 193317.900, 82, B08, S03, 1
B08, Trade, 194112.717, 76, B08, S01, 1
B08, Trade, 201756.567, 82, B08, S02, 1
B08, Trade, 201824.533, 79, B08, S03, 1
B08, Trade, 202392.200, 82, B08, S01, 1
B08, Trade, 202410.950, 82, B08, S02, 1
B08, Trade, 202652.417, 82, B08, S02, 1
B08, Trade, 202795.517, 82, B08, S01, 1
B08, Trade, 202811.967, 82, B08, S02, 1
B08, Trade, 203098.550, 81, B08, S07, 1
B08, Trade, 203509.567, 82, B08, S02, 1
B08, Trade, 203611.900, 82, B08, S01, 1
B08, Trade, 203688.533, 82, B08, S03, 1
B08, Trade, 203732.533, 82, B08, S01, 1
B08, Trade, 203905.433, 82, B08, S01, 1
B08, Trade, 203979.200, 81, B08, S03, 1
B08, Trade, 204361.067, 81, B08, S03, 1
B08, Trade, 204435.600, 82, B08, S01, 1
B08, Trade, 204727.817, 82, B08, S01, 1
B08, Trade, 204734.733, 82, B08, S02, 1
B08, Trade, 204761.333, 82, B08, S02, 1
B08, Trade, 205005.533, 82, B08, S03, 1
B08, Trade, 205669.850, 82, B08, S02, 1
B08, Trade, 206477.683, 81, B08, S02, 1
B08, Trade, 206596.783, 82, B08, S07, 1
B08, Trade, 206753.100, 82, B08, S01, 1
B08, Trade, 206973.967, 82, B08, S02, 1
B08, Trade, 207260.200, 82, B08, S02, 1
B08, Trade, 207647.067, 82, B08, S01, 1
B08, Trade, 208369.350, 81, B08, S02, 1
B08, Trade, 208443.100, 82, B08, S03, 1
B08, Trade, 211338.367, 82, B08, S06, 1
B08, Trade, 213364.417, 82, B08, S03, 1
B08, Trade, 215010.383, 82, B08, S06, 1
B08, Trade, 215950.350, 79, B08, S06, 1
B08, Trade, 220828.750, 82, B08, S00, 1
B08, Trade, 221583.200, 82, B08, S00, 1
B08, Trade, 222083.167, 80, B08, S02, 1
B08, Trade, 222854.333, 82, B08, S01, 1
B08, Trade, 230761.583, 82, B08, S01, 1
B08, Trade, 232827.900, 73, B08, S02, 1
B08, Trade, 233916.650, 78, B08, S02, 1
B08, Trade, 237462.383, 75, B08, S00, 1
B08, Trade, 252820.333, 81, B08, S06, 1
B08, Trade, 255632.133, 81, B08, S06, 1
B09, 100
B09, Trade, 213416.267, 84, B09, S08, 1
B09, Trade, 213701.500, 84, B09, S06, 1
B09, Trade, 213743.783, 84, B09, S07, 1
B09, Trade, 213828.750, 84, B09, S01, 1
B09, Trade, 214159.433, 84, B09, S06, 1
B09, Trade, 214244.717, 84, B09, S03, 1
B09, Trade, 214395.600, 84, B09, S00, 1
B09, Trade, 214575.867, 84, B09, S01, 1
B09, Trade, 215158.717, 84, B09, S02, 1
B09, Trade, 215277.833, 84, B09, S06, 1
B09, Trade, 215288.333, 84, B09, S01, 1
B09, Trade, 215431.050, 84, B09, S00, 1
B09, Trade, 215501.233, 84, B09, S06, 1
B09, Trade, 215579.100, 84, B09, S00, 1
B09, Trade, 215894.667, 84, B09, S00, 1
B09, Trade, 223885.783, 84, B09, S07, 1
B09, Trade, 224400.800, 84, B09, S02, 1
B09, Trade, 225496.717, 84, B09, S02, 1
B09, Trade, 226971.967, 84, B09, S01, 1
B09, Trade, 229874.967, 84, B09, S01, 1
B09, Trade, 230319.900, 84, B09, S01, 1
B09, Trade, 230478.117, 82, B09, S00, 1
B09, Trade, 231268.300, 82, B09, S00, 1
B09, Trade, 231447.600, 82, B09, S03, 1
B09, Trade, 231807.067, 77, B09, S01, 1
B09, Trade, 232598.500, 82, B09, S01, 1
B09, Trade, 232804.217, 82, B09, S01, 1
B09, Trade, 232934.433, 82, B09, S06, 1
B09, Trade, 233086.367, 82, B09, S06, 1
B09, Trade, 233267.500, 82, B09, S00, 1
B09, Trade, 233398.117, 82, B09, S00, 1
B09, Trade, 233852.150, 81, B09, S00, 1
B09, Trade, 234172.533, 82, B09, S02, 1
B09, Trade, 234288.067, 82, B09, S01, 1
B09, Trade, 234450.133, 81, B09, S01, 1
B09, Trade, 234649.667, 81, B09, S06, 1
B09, Trade, 234721.850, 82, B09, S00, 1
B09, Trade, 234754.667, 82, B09, S06, 1
B09, Trade, 234965.433, 82, B09, S00, 1
B09, Trade, 235840.383, 82, B09, S01, 1
B09, Trade, 235966.650, 82, B09, S02, 1
B09, Trade, 236444.467, 82, B09, S00, 1
B09, Trade, 241767.483, 84, B09, S02, 1
B09, Trade, 246342.967, 84, B09, S00, 1
B09, Trade, 248701.183, 83, B09, S02, 1
B09, Trade, 249466.617, 84, B09, S09, 1
B09, Trade, 252118.267, 84, B09, S06, 1
B09, Trade, 252202.250, 84, B09, S06, 1
B09, Trade, 252252.017, 84, B09, S03, 1
B09, Trade, 252311.417, 84, B09, S07, 1
B09, Trade, 252645.433, 84, B09, S02, 1
B09, Trade, 252820.250, 84, B09, S02, 1
B09, Trade, 252832.883, 84, B09, S02, 1
B09, Trade, 252898.417, 83, B09, S02, 1
B09, Trade, 253163.517, 84, B09, S02, 1
B09, Trade, 253286.600, 84, B09, S02, 1
B09, Trade, 253368.833, 84, B09, S03, 1
B09, Trade, 253514.467, 83, B09, S03, 1
B09, Trade, 253531.033, 84, B09, S00, 1
B09, Trade, 253606.650, 84, B09, S02, 1
B09, Trade, 253669.600, 84, B09, S03, 1
B09, Trade, 253999.200, 84, B09, S02, 1
B09, Trade, 254092.433, 84, B09, S02, 1
B09, Trade, 254354.467, 84, B09, S06, 1
B09, Trade, 254475.267, 84, B09, S06, 1
B09, Trade, 254514.400, 84, B09, S06, 1
B09, Trade, 254575.433, 84, S03, B09, 1
B09, Trade, 254602.567, 84, B09, S02, 1
B09, Trade, 254824.550, 84, B09, S00, 1
B09, Trade, 255010.200, 84, B09, S00, 1
B09, Trade, 255118.650, 84, B09, S06, 1
B09, Trade, 255734.450, 82, B09, S03, 1
B09, Trade, 255799.733, 84, B09, S06, 1
B09, Trade, 255835.300, 84, B09, S06, 1
B09, Trade, 255996.317, 84, B09, S06, 1
B09, Trade, 256042.683, 84, B09, S02, 1
B09, Trade, 256496.767, 84, B09, S05, 1
B09, Trade, 256868.900, 84, B09, S03, 1
B09, Trade, 257212.033, 84, B09, S06, 1
B09, Trade, 257459.367, 83, B09, S00, 1
B09, Trade, 257744.567, 84, B09, S06, 1
B09, Trade, 257978.783, 84, B09, S03, 1
B09, Trade, 258043.500, 84, B09, S00, 1
B09, Trade, 258112.067, 84, B09, S02, 1
B09, Trade, 258117.833, 84, B09, S06, 1
B09, Trade, 258132.283, 84, B09, S06, 1
B09, Trade, 258150.450, 84, B09, S00, 1
B09, Trade, 258208.383, 82, B09, S06, 1
B09, Trade, 258236.033, 84, B09, S02, 1
B09, Trade, 258300.567, 84, B09, S00, 1
B09, Trade, 258489.150, 84, B09, S00, 1
B09, Trade, 258627.083, 84, B09, S03, 1
B09, Trade, 258655.033, 84, B09, S02, 1
B09, Trade, 258720.767, 84, B09, S02, 1
B09, Trade, 258765.833, 84, B09, S06, 1
B09, Trade, 258816.450, 84, B09, S02, 1
B09, Trade, 258917.167, 84, B09, S03, 1
B09, Trade, 258931.050, 84, B09, S02, 1
B09, Trade, 258973.650, 84, B09, S03, 1
B09, Trade, 259101.833, 84, B09, S02, 1
B10, 100
B10, Trade, 256218.767, 87, B10, S06, 1
B10, Trade, 256230.950, 87, B10, S02, 1
B10, Trade, 256334.133, 87, B10, S06, 1
B10, Trade, 256346.183, 86, B10, S02, 1
B10, Trade, 256429.600, 87, B10, S06, 1
B10, Trade, 256493.283, 87, B10, S02, 1
B10, Trade, 256522.983, 87, B10, S02, 1
B10, Trade, 256527.700, 87, B10, S02, 1
B10, Trade, 256629.283, 87, B10, S06, 1
B10, Trade, 256691.200, 87, B10, S03, 1
B10, Trade, 256828.633, 87, B10, S03, 1
B10, Trade, 256842.033, 87, B10, S02, 1
B10, Trade, 256843.933, 86, B10, S00, 1
B10, Trade, 256853.667, 87, B10, S00, 1
B10, Trade, 256866.850, 86, B10, S03, 1
B10, Trade, 256898.483, 87, B10, S06, 1
B10, Trade, 256907.017, 87, B10, S06, 1
B10, Trade, 256991.700, 86, B10, S06, 1
B10, Trade, 257030.167, 87, B10, S03, 1
B10, Trade, 257053.467, 87, B10, S07, 1
B10, Trade, 257071.433, 86, B10, S02, 1
B10, Trade, 257073.867, 86, B10, S03, 1
B10, Trade, 257113.083, 87, B10, S00, 1
B10, Trade, 257164.683, 87, B10, S03, 1
B10, Trade, 257189.517, 86, B10, S06, 1
B10, Trade, 257211.400, 87, B10, S03, 1
B10, Trade, 257227.317, 86, B10, S00, 1
B10, Trade, 257233.750, 87, B10, S09, 1
B10, Trade, 257263.300, 85, B10, S03, 1
B10, Trade, 257330.400, 87, B10, S05, 1
B10, Trade, 257331.450, 76, S02, B10, 1
B10, Trade, 257362.483, 87, B10, S02, 1
B10, Trade, 257401.067, 87, B10, S02, 1
B10, Trade, 257445.900, 86, B10, S02, 1
B10, Trade, 257605.967, 86, B10, S02, 1
B10, Trade, 257625.767, 87, B10, S06, 1
B10, Trade, 257641.417, 86, B10, S00, 1
B10, Trade, 257676.950, 87, B10, S02, 1
B10, Trade, 257697.517, 85, B10, S03, 1
B10, Trade, 257730.033, 87, B10, S00, 1
B10, Trade, 257739.367, 87, B10, S02, 1
B10, Trade, 257759.983, 84, B10, S02, 1
B10, Trade, 257788.100, 87, B10, S02, 1
B10, Trade, 257792.617, 87, B10, S02, 1
B10, Trade, 257799.600, 87, B10, S00, 1
B10, Trade, 257839.383, 86, B10, S00, 1
B10, Trade, 257855.450, 86, B10, S02, 1
B10, Trade, 257874.933, 87, B10, S06, 1
B10, Trade, 257909.617, 86, B10, S00, 1
B10, Trade, 257963.433, 87, B10, S03, 1
B10, Trade, 258019.700, 87, B10, S06, 1
B10, Trade, 258041.483, 87, B10, S02, 1
B10, Trade, 258099.867, 86, B10, S03, 1
B10, Trade, 258109.483, 87, B10, S03, 1
B10, Trade, 258117.767, 87, B10, S02, 1
B10, Trade, 258128.400, 87, B10, S06, 1
B10, Trade, 258137.567, 87, S09, B10, 1
B10, Trade, 258148.667, 87, B10, S06, 1
B10, Trade, 258193.333, 87, B10, S03, 1
B10, Trade, 258238.000, 87, B10, S08, 1
B10, Trade, 258300.150, 87, B10, S07, 1
B10, Trade, 258320.933, 87, B10, S05, 1
B10, Trade, 258323.450, 86, B10, S00, 1
B10, Trade, 258337.250, 87, B10, S06, 1
B10, Trade, 258364.000, 87, B10, S00, 1
B10, Trade, 258371.067, 87, B10, S05, 1
B10, Trade, 258416.800, 87, B10, S02, 1
B10, Trade, 258443.533, 87, B10, S06, 1
B10, Trade, 258472.200, 87, B10, S06, 1
B10, Trade, 258489.100, 87, B10, S06, 1
B10, Trade, 258549.750, 87, B10, S00, 1
B10, Trade, 258558.717, 87, B10, S06, 1
B10, Trade, 258577.983, 87, B10, S06, 1
B10, Trade, 258626.883, 87, B10, S02, 1
B10, Trade, 258646.367, 87, B10, S02, 1
B10, Trade, 258654.350, 87, B10, S06, 1
B10, Trade, 258679.233, 87, B10, S00, 1
B10, Trade, 258692.283, 87, B10, S03, 1
B10, Trade, 258695.133, 87, B10, S06, 1
B10, Trade, 258715.067, 87, B10, S00, 1
B10, Trade, 258727.567, 87, B10, S00, 1
B10, Trade, 258781.633, 86, B10, S06, 1
B10, Trade, 258818.600, 87, B10, S06, 1
B10, Trade, 258819.550, 87, B10, S06, 1
B10, Trade, 258835.733, 86, B10, S00, 1
B10, Trade, 258847.417, 87, B10, S02, 1
B10, Trade, 258864.450, 87, B10, S06, 1
B10, Trade, 258871.150, 87, B10, S06, 1
B10, Trade, 258910.583, 86, B10, S06, 1
B10, Trade, 258917.050, 86, B10, S02, 1
B10, Trade, 258930.900, 86, B10, S06, 1
