B00, 0
B01, 0
B02, 1
B02, Trade, 259046.917, 65, B02, S00, 1
B03, 15
B03, Trade, 122458.900, 68, B03, S00, 1
B03, Trade, 153289.167, 68, B03, S00, 1
B03, Trade, 157149.867, 68, B03, S01, 1
B03, Trade, 173035.867, 68, B03, S01, 1
B03, Trade, 173168.200, 68, B03, S01, 1
B03, Trade, 173790.150, 68, B03, S01, 1
B03, Trade, 174700.567, 68, B03, S03, 1
B03, Trade, 176085.317, 68, B03, S01, 1
B03, Trade, 176401.683, 68, B03, S01, 1
B03, Trade, 177176.383, 62, B03, S01, 1
B03, Trade, 177441.200, 68, B03, S01, 1
B03, Trade, 178262.483, 68, B03, S01, 1
B03, Trade, 219551.467, 68, B03, S01, 1
B03, Trade, 220442.833, 68, B03, S01, 1
B03, Trade, 230532.383, 67, B03, S00, 1
B04, 2
B04, Trade, 220599.133, 71, B04, S00, 1
B04, Trade, 252932.100, 70, B04, S01, 1
B05, 46
B05, Trade, 65799.200, 72, B05, S02, 1
B05, Trade, 85598.967, 73, B05, S03, 1
B05, Trade, 91121.933, 67, B05, S02, 1
B05, Trade, 125777.667, 73, B05, S02, 1
B05, Trade, 129953.817, 71, B05, S00, 1
B05, Trade, 130648.733, 73, B05, S01, 1
B05, Trade, 131322.000, 73, B05, S01, 1
B05, Trade, 133746.717, 71, B05, S02, 1
B05, Trade, 134171.267, 73, B05, S01, 1
B05, Trade, 134861.550, 73, B05, S02, 1
B05, Trade, 134919.783, 73, B05, S01, 1
B05, Trade, 136470.133, 73, B05, S02, 1
B05, Trade, 136798.800, 73, B05, S02, 1
B05, Trade, 147206.700, 73, B05, S02, 1
B05, Trade, 148254.683, 72, B05, S02, 1
B05, Trade, 150723.233, 72, B05, S00, 1
B05, Trade, 151519.967, 72, B05, S00, 1
B05, Trade, 151746.017, 73, B05, S01, 1
B05, Trade, 151892.467, 73, B05, S00, 1
B05, Trade, 153240.583, 73, B05, S00, 1
B05, Trade, 153467.367, 72, B05, S00, 1
B05, Trade, 153925.650, 73, B05, S00, 1
B05, Trade, 154698.633, 73, B05, S03, 1
B05, Trade, 154953.000, 73, B05, S01, 1
B05, Trade, 155019.617, 73, B05, S01, 1
B05, Trade, 155067.500, 72, B05, S00, 1
B05, Trade, 155124.517, 73, B05, S00, 1
B05, Trade, 155851.433, 73, B05, S00, 1
B05, Trade, 155852.733, 73, B05, S01, 1
B05, Trade, 156528.317, 73, B05, S00, 1
B05, Trade, 158057.100, 72, B05, S02, 1
B05, Trade, 219846.633, 70, B05, S03, 1
B05, Trade, 221449.100, 69, B05, S00, 1
B05, Trade, 223758.767, 72, B05, S00, 1
B05, Trade, 224320.200, 73, B05, S01, 1
B05, Trade, 225407.250, 73, B05, S03, 1
B05, Trade, 226704.217, 73, B05, S00, 1
B05, Trade, 227027.283, 73, B05, S01, 1
B05, Trade, 227725.650, 73, B05, S00, 1
B05, Trade, 227751.667, 73, B05, S03, 1
B05, Trade, 229666.467, 73, B05, S01, 1
B05, Trade, 232118.383, 73, B05, S04, 1
B05, Trade, 233929.650, 73, B05, S04, 1
B05, Trade, 234677.333, 73, B05, S00, 1
B05, Trade, 235634.817, 73, B05, S00, 1
B05, Trade, 255029.467, 64, B05, S01, 1
B06, 100
B06, Trade, 135409.350, 76, B06, S01, 1
B06, Trade, 135957.250, 75, B06, S01, 1
B06, Trade, 136044.733, 75, B06, S01, 1
B06, Trade, 136327.617, 76, B06, S06, 1
B06, Trade, 136449.550, 76, B06, S02, 1
B06, Trade, 136514.750, 76, B06, S01, 1
B06, Trade, 136664.150, 76, B06, S00, 1
B06, Trade, 136798.783, 76, B06, S00, 1
B06, Trade, 151227.617, 73, B06, S02, 1
B06, Trade, 153677.000, 75, B06, S00, 1
B06, Trade, 153689.200, 74, B06, S00, 1
B06, Trade, 154904.200, 75, B06, S00, 1
B06, Trade, 155650.583, 75, B06, S01, 1
B06, Trade, 155774.067, 71, B06, S03, 1
B06, Trade, 156271.050, 71, B06, S01, 1
B06, Trade, 169268.683, 76, B06, S01, 1
B06, Trade, 176873.017, 76, B06, S01, 1
B06, Trade, 209271.700, 76, B06, S01, 1
B06, Trade, 210955.700, 76, B06, S01, 1
B06, Trade, 212484.217, 76, B06, S00, 1
B06, Trade, 212909.400, 76, B06, S01, 1
B06, Trade, 214071.183, 76, B06, S00, 1
B06, Trade, 223353.900, 76, B06, S01, 1
B06, Trade, 223471.233, 76, B06, S06, 1
B06, Trade, 223602.250, 75, B06, S01, 1
B06, Trade, 223685.083, 76, S03, B06, 1
B06, Trade, 223716.567, 76, B06, S00, 1
B06, Trade, 223758.400, 75, B06, S01, 1
B06, Trade, 223777.683, 76, B06, S03, 1
B06, Trade, 223855.450, 75, B06, S00, 1
B06, Trade, 223961.583, 76, B06, S00, 1
B06, Trade, 224108.367, 76, B06, S00, 1
B06, Trade, 224317.150, 76, B06, S01, 1
B06, Trade, 224755.217, 76, B06, S06, 1
B06, Trade, 224789.700, 76, B06, S03, 1
B06, Trade, 224907.433, 76, B06, S00, 1
B06, Trade, 225007.550, 76, B06, S01, 1
B06, Trade, 225066.050, 76, B06, S06, 1
B06, Trade, 225091.283, 76, B06, S03, 1
B06, Trade, 225299.133, 76, B06, S01, 1
B06, Trade, 225387.867, 76, B06, S00, 1
B06, Trade, 225688.950, 76, B06, S00, 1
B06, Trade, 225756.950, 75, B06, S03, 1
B06, Trade, 225898.850, 76, B06, S01, 1
B06, Trade, 225901.833, 76, B06, S00, 1
B06, Trade, 226070.700, 75, B06, S01, 1
B06, Trade, 226102.400, 76, B06, S06, 1
B06, Trade, 226143.450, 73, B06, S00, 1
B06, Trade, 226411.550, 75, B06, S01, 1
B06, Trade, 226559.750, 75, B06, S01, 1
B06, Trade, 226627.133, 76, B06, S00, 1
B06, Trade, 226653.717, 76, B06, S03, 1
B06, Trade, 226809.033, 75, B06, S01, 1
B06, Trade, 226880.267, 74, B06, S00, 1
B06, Trade, 227007.783, 76, S06, B06, 1
B06, Trade, 227027.150, 76, B06, S03, 1
B06, Trade, 227074.900, 74, B06, S00, 1
B06, Trade, 227092.850, 75, B06, S03, 1
B06, Trade, 227126.700, 76, B06, S03, 1
B06, Trade, 227253.017, 76, B06, S00, 1
B06, Trade, 227300.700, 74, B06, S03, 1
B06, Trade, 227345.900, 76, B06, S03, 1
B06, Trade, 227386.683, 76, B06, S00, 1
B06, Trade, 227640.283, 76, B06, S03, 1
B06, Trade, 227825.417, 76, B06, S06, 1
B06, Trade, 227841.467, 75, B06, S00, 1
B06, Trade, 227856.183, 76, B06, S06, 1
B06, Trade, 228074.067, 76, B06, S00, 1
B06, Trade, 228110.383, 76, B06, S00, 1
B06, Trade, 228395.950, 76, B06, S01, 1
B06, Trade, 228467.967, 76, B06, S01, 1
B06, Trade, 228582.183, 76, B06, S03, 1
B06, Trade, 228673.767, 76, B06, S06, 1
B06, Trade, 228688.683, 76, B06, S00, 1
B06, Trade, 228694.000, 76, B06, S01, 1
B06, Trade, 228842.817, 76, B06, S01, 1
B06, Trade, 229115.283, 76, B06, S01, 1
B06, Trade, 229172.667, 75, B06, S00, 1
B06, Trade, 229535.267, 76, B06, S03, 1
B06, Trade, 229567.600, 76, B06, S00, 1
B06, Trade, 229665.800, 73, B06, S01, 1
B06, Trade, 229681.900, 75, B06, S00, 1
B06, Trade, 229712.650, 76, B06, S06, 1
B06, Trade, 229744.250, 76, B06, S01, 1
B06, Trade, 229764.300, 76, B06, S01, 1
B06, Trade, 229847.717, 76, B06, S00, 1
B06, Trade, 229910.267, 76, B06, S00, 1
B06, Trade, 229947.667, 76, B06, S00, 1
B06, Trade, 230027.733, 76, B06, S03, 1
B06, Trade, 230143.967, 76, B06, S00, 1
B06, Trade, 230364.617, 76, B06, S00, 1
B06, Trade, 252247.583, 74, B06, S01, 1
B06, Trade, 253737.267, 76, B06, S02, 1
B06, Trade, 254072.967, 76, B06, S02, 1
B06, Trade, 255532.683, 71, B06, S01, 1
B06, Trade, 256340.117, 75, B06, S01, 1
B06, Trade, 256897.817, 76, B06, S01, 1
B06, Trade, 256984.083, 75, B06, S01, 1
B06, Trade, 258905.483, 75, B06, S01, 1
B06, Trade, 259021.117, 69, S02, B06, 1
B07, 100
B07, Trade, 218734.083, 79, B07, S03, 1
B07, Trade, 218736.633, 79, B07, S03, 1
B07, Trade, 218770.167, 79, B07, S00, 1
B07, Trade, 218852.650, 79, B07, S03, 1
B07, Trade, 218865.767, 79, B07, S00, 1
B07, Trade, 218900.783, 79, B07, S03, 1
B07, Trade, 218938.033, 79, B07, S01, 1
B07, Trade, 219034.683, 79, B07, S01, 1
B07, Trade, 219070.750, 79, B07, S03, 1
B07, Trade, 219108.100, 79, B07, S00, 1
B07, Trade, 219202.350, 79, B07, S00, 1
B07, Trade, 219249.350, 79, B07, S03, 1
B07, Trade, 219292.100, 79, B07, S03, 1
B07, Trade, 219325.517, 79, B07, S00, 1
B07, Trade, 219408.183, 79, B07, S03, 1
B07, Trade, 219520.333, 79, B07, S00, 1
B07, Trade, 219528.250, 79, B07, S01, 1
B07, Trade, 219537.117, 79, B07, S03, 1
B07, Trade, 219542.017, 79, B07, S03, 1
B07, Trade, 219550.050, 79, B07, S03, 1
B07, Trade, 219562.850, 79, B07, S01, 1
B07, Trade, 219590.933, 79, B07, S01, 1
B07, Trade, 219617.017, 79, B07, S01, 1
B07, Trade, 219773.950, 79, B07, S01, 1
B07, Trade, 219832.283, 79, B07, S00, 1
B07, Trade, 220007.017, 79, B07, S01, 1
B07, Trade, 220020.350, 79, B07, S03, 1
B07, Trade, 220090.400, 79, B07, S01, 1
B07, Trade, 220103.333, 79, B07, S07, 1
B07, Trade, 220139.017, 79, B07, S00, 1
B07, Trade, 220153.783, 79, B07, S01, 1
B07, Trade, 220204.867, 79, B07, S01, 1
B07, Trade, 220294.733, 79, B07, S03, 1
B07, Trade, 220316.817, 79, B07, S00, 1
B07, Trade, 220422.700, 79, B07, S01, 1
B07, Trade, 220440.800, 79, B07, S03, 1
B07, Trade, 220442.483, 79, B07, S00, 1
B07, Trade, 220555.900, 79, B07, S03, 1
B07, Trade, 220569.100, 79, B07, S00, 1
B07, Trade, 220704.267, 79, B07, S00, 1
B07, Trade, 220712.800, 79, B07, S01, 1
B07, Trade, 220743.150, 79, B07, S03, 1
B07, Trade, 220831.100, 79, B07, S00, 1
B07, Trade, 220890.617, 79, B07, S03, 1
B07, Trade, 220901.517, 79, B07, S03, 1
B07, Trade, 220925.717, 79, B07, S03, 1
B07, Trade, 220931.183, 79, B07, S01, 1
B07, Trade, 220944.300, 79, B07, S00, 1
B07, Trade, 221093.633, 79, B07, S01, 1
B07, Trade, 221115.050, 79, B07, S01, 1
B07, Trade, 221139.783, 79, B07, S01, 1
B07, Trade, 221200.717, 71, B07, S00, 1
B07, Trade, 221262.450, 79, B07, S01, 1
B07, Trade, 221306.433, 79, B07, S02, 1
B07, Trade, 221341.450, 79, B07, S01, 1
B07, Trade, 221351.933, 79, B07, S00, 1
B07, Trade, 221447.633, 79, B07, S01, 1
B07, Trade, 221477.767, 76, B07, S03, 1
B07, Trade, 221514.567, 79, B07, S01, 1
B07, Trade, 221545.917, 79, B07, S01, 1
B07, Trade, 221582.083, 79, B07, S03, 1
B07, Trade, 221619.883, 79, B07, S03, 1
B07, Trade, 221640.600, 79, B07, S03, 1
B07, Trade, 221683.233, 79, B07, S03, 1
B07, Trade, 221773.333, 70, B07, S01, 1
B07, Trade, 221812.900, 79, B07, S00, 1
B07, Trade, 221831.017, 79, B07, S03, 1
B07, Trade, 221881.283, 79, B07, S02, 1
B07, Trade, 221956.067, 79, B07, S02, 1
B07, Trade, 221999.483, 79, B07, S03, 1
B07, Trade, 222016.983, 79, B07, S01, 1
B07, Trade, 222062.833, 79, B07, S03, 1
B07, Trade, 222101.183, 79, B07, S03, 1
B07, Trade, 222127.683, 79, B07, S01, 1
B07, Trade, 222247.733, 79, B07, S03, 1
B07, Trade, 222325.650, 79, B07, S00, 1
B07, Trade, 222544.050, 79, B07, S03, 1
B07, Trade, 222610.450, 79, B07, S00, 1
B07, Trade, 222746.867, 79, B07, S01, 1
B07, Trade, 222772.267, 79, B07, S00, 1
B07, Trade, 222857.050, 79, B07, S00, 1
B07, Trade, 222878.050, 79, B07, S03, 1
B07, Trade, 222968.983, 79, B07, S00, 1
B07, Trade, 222972.867, 79, B07, S03, 1
B07, Trade, 222993.167, 79, B07, S01, 1
B07, Trade, 223110.917, 79, B07, S03, 1
B07, Trade, 223200.450, 79, B07, S00, 1
B07, Trade, 227201.183, 75, B07, S03, 1
B07, Trade, 227607.550, 77, B07, S00, 1
B07, Trade, 228320.633, 74, B07, S00, 1
B07, Trade, 229876.800, 76, B07, S03, 1
B07, Trade, 230702.783, 78, B07, S04, 1
B07, Trade, 230947.833, 79, B07, S07, 1
B07, Trade, 235749.000, 74, B07, S02, 1
B07, Trade, 236489.733, 68, S01, B07, 1
B07, Trade, 253243.183, 66, B07, S01, 1
B07, Trade, 253347.467, 65, B07, S01, 1
B07, Trade, 256838.883, 68, B07, S01, 1
B07, Trade, 257578.117, 66, B07, S01, 1
B07, Trade, 259021.617, 71, S04, B07, 1
B08, 100
B08, Trade, 233116.417, 82, B08, S04, 1
B08, Trade, 233139.183, 82, B08, S04, 1
B08, Trade, 233145.967, 82, B08, S00, 1
B08, Trade, 233199.233, 82, B08, S01, 1
B08, Trade, 233346.650, 82, B08, S01, 1
B08, Trade, 233464.617, 82, B08, S00, 1
B08, Trade, 233517.650, 82, B08, S00, 1
B08, Trade, 233557.383, 82, B08, S01, 1
B08, Trade, 233567.200, 82, B08, S04, 1
B08, Trade, 233664.750, 82, B08, S00, 1
B08, Trade, 233678.083, 82, B08, S02, 1
B08, Trade, 233770.050, 82, B08, S07, 1
B08, Trade, 233789.967, 82, B08, S00, 1
B08, Trade, 233899.550, 82, B08, S04, 1
B08, Trade, 233915.933, 82, B08, S01, 1
B08, Trade, 234012.533, 82, B08, S04, 1
B08, Trade, 234051.650, 82, B08, S01, 1
B08, Trade, 234078.133, 82, B08, S00, 1
B08, Trade, 234097.667, 82, B08, S01, 1
B08, Trade, 234115.100, 82, B08, S04, 1
B08, Trade, 234171.450, 82, B08, S07, 1
B08, Trade, 234200.383, 82, B08, S01, 1
B08, Trade, 234296.717, 82, B08, S04, 1
B08, Trade, 234355.067, 82, B08, S01, 1
B08, Trade, 234412.017, 82, B08, S04, 1
B08, Trade, 234651.583, 82, B08, S00, 1
B08, Trade, 234676.967, 82, B08, S07, 1
B08, Trade, 234689.183, 82, B08, S07, 1
B08, Trade, 234690.883, 74, S04, B08, 1
B08, Trade, 234830.733, 82, B08, S01, 1
B08, Trade, 235148.567, 78, B08, S01, 1
B08, Trade, 235219.500, 82, B08, S07, 1
B08, Trade, 235413.250, 76, B08, S01, 1
B08, Trade, 235501.933, 82, B08, S01, 1
B08, Trade, 235559.633, 82, B08, S07, 1
B08, Trade, 235623.350, 82, B08, S04, 1
B08, Trade, 235677.667, 82, B08, S02, 1
B08, Trade, 235818.217, 82, B08, S04, 1
B08, Trade, 235896.867, 82, B08, S07, 1
B08, Trade, 236110.683, 82, B08, S01, 1
B08, Trade, 236237.583, 82, B08, S00, 1
B08, Trade, 236353.367, 82, B08, S04, 1
B08, Trade, 236373.600, 82, B08, S01, 1
B08, Trade, 236407.800, 82, B08, S04, 1
B08, Trade, 236417.300, 82, B08, S04, 1
B08, Trade, 236440.000, 75, B08, S01, 1
B08, Trade, 236563.367, 82, B08, S01, 1
B08, Trade, 236731.067, 82, B08, S04, 1
B08, Trade, 236773.850, 82, B08, S01, 1
B08, Trade, 236878.400, 82, B08, S01, 1
B08, Trade, 236903.183, 82, B08, S01, 1
B08, Trade, 236911.283, 82, B08, S00, 1
B08, Trade, 237187.300, 82, B08, S02, 1
B08, Trade, 237203.217, 82, B08, S01, 1
B08, Trade, 237296.233, 82, B08, S07, 1
B08, Trade, 237358.483, 82, B08, S01, 1
B08, Trade, 237482.567, 82, B08, S02, 1
B08, Trade, 237488.550, 82, B08, S07, 1
B08, Trade, 237546.483, 82, B08, S07, 1
B08, Trade, 238601.000, 81, B08, S01, 1
B08, Trade, 242361.833, 81, B08, S00, 1
B08, Trade, 242555.367, 82, B08, S05, 1
B08, Trade, 243859.850, 82, B08, S02, 1
B08, Trade, 244347.750, 82, B08, S01, 1
B08, Trade, 247824.683, 82, B08, S00, 1
B08, Trade, 252247.783, 74, B08, S01, 1
B08, Trade, 252530.033, 82, B08, S02, 1
B08, Trade, 252579.967, 79, B08, S02, 1
B08, Trade, 252966.967, 72, B08, S01, 1
B08, Trade, 253029.017, 82, B08, S07, 1
B08, Trade, 253141.450, 68, B08, S01, 1
B08, Trade, 253235.867, 77, B08, S02, 1
B08, Trade, 253652.300, 81, B08, S02, 1
B08, Trade, 253696.733, 82, B08, S07, 1
B08, Trade, 253976.200, 71, B08, S01, 1
B08, Trade, 253993.450, 82, B08, S02, 1
B08, Trade, 254096.383, 82, B08, S07, 1
B08, Trade, 254347.717, 81, B08, S01, 1
B08, Trade, 254432.050, 79, B08, S02, 1
B08, Trade, 255016.200, 76, B08, S01, 1
B08, Trade, 255028.850, 79, B08, S01, 1
B08, Trade, 255113.767, 79, B08, S02, 1
B08, Trade, 255300.800, 81, B08, S07, 1
B08, Trade, 255313.733, 78, B08, S02, 1
B08, Trade, 255861.533, 76, B08, S02, 1
B08, Trade, 256559.933, 79, B08, S07, 1
B08, Trade, 256727.983, 82, B08, S01, 1
B08, Trade, 256825.867, 78, B08, S02, 1
B08, Trade, 256907.983, 82, B08, S02, 1
B08, Trade, 257241.583, 81, B08, S02, 1
B08, Trade, 257577.500, 78, B08, S02, 1
B08, Trade, 257605.950, 81, B08, S01, 1
B08, Trade, 257619.400, 82, S07, B08, 1
B08, Trade, 257760.533, 81, B08, S02, 1
B08, Trade, 257824.850, 80, B08, S01, 1
B08, Trade, 258102.850, 74, B08, S02, 1
B08, Trade, 258222.817, 79, B08, S02, 1
B08, Trade, 258293.800, 81, B08, S07, 1
B08, Trade, 258489.333, 82, B08, S01, 1
B08, Trade, 259019.117, 81, B08, S07, 1
B09, 100
B09, Trade, 229666.100, 79, B09, S06, 1
B09, Trade, 229680.950, 84, B09, S01, 1
B09, Trade, 229732.567, 81, B09, S00, 1
B09, Trade, 229782.300, 84, B09, S03, 1
B09, Trade, 229812.917, 77, B09, S01, 1
B09, Trade, 229874.133, 84, B09, S01, 1
B09, Trade, 229910.017, 84, B09, S03, 1
B09, Trade, 229946.450, 81, B09, S01, 1
B09, Trade, 230005.867, 84, B09, S01, 1
B09, Trade, 230130.117, 83, B09, S00, 1
B09, Trade, 230144.267, 80, B09, S03, 1
B09, Trade, 230145.883, 76, S06, B09, 1
B09, Trade, 230166.817, 77, B09, S03, 1
B09, Trade, 230173.400, 79, S06, B09, 1
B09, Trade, 230223.767, 83, B09, S01, 1
B09, Trade, 230376.717, 84, B09, S03, 1
B09, Trade, 230384.050, 83, B09, S01, 1
B09, Trade, 230397.883, 84, B09, S03, 1
B09, Trade, 230401.367, 84, B09, S08, 1
B09, Trade, 231633.533, 84, B09, S02, 1
B09, Trade, 232653.317, 77, B09, S04, 1
B09, Trade, 232865.633, 83, B09, S07, 1
B09, Trade, 234677.983, 77, S01, B09, 1
B09, Trade, 237258.550, 83, B09, S07, 1
B09, Trade, 238810.367, 83, B09, S00, 1
B09, Trade, 240278.917, 82, B09, S00, 1
B09, Trade, 240841.933, 83, B09, S00, 1
B09, Trade, 240876.917, 84, B09, S00, 1
B09, Trade, 241421.717, 84, B09, S08, 1
B09, Trade, 241514.133, 84, B09, S05, 1
B09, Trade, 242361.617, 83, B09, S01, 1
B09, Trade, 242434.317, 84, B09, S08, 1
B09, Trade, 242705.783, 83, B09, S01, 1
B09, Trade, 243204.117, 84, B09, S08, 1
B09, Trade, 243726.533, 84, B09, S01, 1
B09, Trade, 244006.950, 84, S09, B09, 1
B09, Trade, 244784.983, 84, S07, B09, 1
B09, Trade, 245162.550, 84, B09, S07, 1
B09, Trade, 245353.683, 84, B09, S00, 1
B09, Trade, 246640.483, 84, B09, S02, 1
B09, Trade, 246817.383, 84, B09, S02, 1
B09, Trade, 246821.900, 84, B09, S00, 1
B09, Trade, 247179.550, 84, B09, S07, 1
B09, Trade, 247190.400, 84, B09, S00, 1
B09, Trade, 247554.467, 84, B09, S07, 1
B09, Trade, 248477.533, 84, B09, S07, 1
B09, Trade, 248648.783, 84, B09, S07, 1
B09, Trade, 249311.633, 84, B09, S00, 1
B09, Trade, 249708.817, 84, B09, S00, 1
B09, Trade, 250220.050, 84, B09, S00, 1
B09, Trade, 250301.717, 84, B09, S00, 1
B09, Trade, 250540.350, 84, B09, S05, 1
B09, Trade, 250841.500, 84, B09, S08, 1
B09, Trade, 251693.317, 84, B09, S00, 1
B09, Trade, 251865.400, 84, B09, S07, 1
B09, Trade, 252078.933, 81, B09, S01, 1
B09, Trade, 252184.900, 84, S08, B09, 1
B09, Trade, 252318.033, 83, B09, S02, 1
B09, Trade, 252393.667, 78, B09, S01, 1
B09, Trade, 252408.850, 80, B09, S01, 1
B09, Trade, 252424.033, 75, B09, S02, 1
B09, Trade, 252691.150, 84, B09, S08, 1
B09, Trade, 252859.500, 81, B09, S01, 1
B09, Trade, 253189.717, 81, S07, B09, 1
B09, Trade, 253415.667, 81, B09, S01, 1
B09, Trade, 253496.817, 79, S07, B09, 1
B09, Trade, 253558.550, 81, B09, S02, 1
B09, Trade, 253807.233, 80, B09, S01, 1
B09, Trade, 253988.550, 82, B09, S07, 1
B09, Trade, 254192.417, 78, S06, B09, 1
B09, Trade, 254536.133, 81, B09, S02, 1
B09, Trade, 254748.233, 84, B09, S07, 1
B09, Trade, 254971.250, 80, B09, S07, 1
B09, Trade, 255137.533, 81, S07, B09, 1
B09, Trade, 255182.133, 83, B09, S07, 1
B09, Trade, 255216.433, 80, B09, S07, 1
B09, Trade, 255313.550, 80, B09, S01, 1
B09, Trade, 255456.200, 84, B09, S02, 1
B09, Trade, 255887.883, 84, S00, B09, 1
B09, Trade, 255960.600, 69, B09, S01, 1
B09, Trade, 256440.333, 80, B09, S02, 1
B09, Trade, 256706.233, 80, S07, B09, 1
B09, Trade, 256841.433, 84, B09, S01, 1
B09, Trade, 257001.217, 82, B09, S07, 1
B09, Trade, 257226.417, 84, B09, S01, 1
B09, Trade, 257374.300, 66, B09, S01, 1
B09, Trade, 257384.750, 80, B09, S02, 1
B09, Trade, 257411.267, 81, B09, S02, 1
B09, Trade, 257763.550, 83, B09, S02, 1
B09, Trade, 257770.600, 77, B09, S01, 1
B09, Trade, 257923.167, 80, B09, S01, 1
B09, Trade, 257928.400, 66, S01, B09, 1
B09, Trade, 258044.983, 84, B09, S02, 1
B09, Trade, 258101.967, 80, B09, S01, 1
B09, Trade, 258188.467, 68, S02, B09, 1
B09, Trade, 258314.450, 83, B09, S02, 1
B09, Trade, 258357.417, 78, B09, S01, 1
B09, Trade, 258775.683, 80, B09, S02, 1
B09, Trade, 258929.800, 81, B09, S01, 1
B09, Trade, 259060.567, 83, B09, S01, 1
B10, 100
B10, Trade, 227644.517, 87, B10, S00, 1
