B00, 0
B01, 0
B02, 0
B03, 0
B04, 17
B04, Trade, 28397.717, 71, B04, S01, 1
B04, Trade, 274386.717, 69, B04, S02, 1
B04, Trade, 325402.017, 71, B04, S02, 1
B04, Trade, 328946.467, 64, S01, B04, 1
B04, Trade, 366929.767, 68, S03, B04, 1
B04, Trade, 378372.317, 71, B04, S04, 1
B04, Trade, 392285.000, 70, B04, S02, 1
B04, Trade, 395068.717, 71, B04, S04, 1
B04, Trade, 480083.083, 71, B04, S02, 1
B04, Trade, 500249.767, 70, B04, S03, 1
B04, Trade, 504917.700, 71, B04, S03, 1
B04, Trade, 590897.533, 71, B04, S02, 1
B04, Trade, 593305.717, 68, S03, B04, 1
B04, Trade, 621079.200, 71, B04, S02, 1
B04, Trade, 624773.434, 70, B04, S02, 1
B04, Trade, 631252.334, 71, B04, S02, 1
B04, Trade, 652032.950, 70, B04, S00, 1
B05, 32
B05, Trade, 23652.350, 73, B05, S04, 1
B05, Trade, 28397.517, 73, B05, S02, 1
B05, Trade, 94848.650, 73, B05, S02, 1
B05, Trade, 97516.967, 73, B05, S02, 1
B05, Trade, 99772.117, 73, B05, S02, 1
B05, Trade, 111304.217, 73, B05, S03, 1
B05, Trade, 124026.367, 73, B05, S02, 1
B05, Trade, 138637.633, 73, B05, S01, 1
B05, Trade, 145401.350, 73, B05, S02, 1
B05, Trade, 163745.883, 73, B05, S02, 1
B05, Trade, 179951.767, 73, B05, S02, 1
B05, Trade, 291682.017, 73, B05, S01, 1
B05, Trade, 349366.850, 72, B05, S01, 1
B05, Trade, 351662.483, 72, B05, S02, 1
B05, Trade, 364029.617, 73, B05, S01, 1
B05, Trade, 365833.200, 73, B05, S02, 1
B05, Trade, 374601.800, 73, B05, S02, 1
B05, Trade, 375235.917, 73, B05, S04, 1
B05, Trade, 377275.933, 73, B05, S02, 1
B05, Trade, 377703.500, 73, B05, S02, 1
B05, Trade, 379769.250, 71, B05, S01, 1
B05, Trade, 380972.017, 72, B05, S01, 1
B05, Trade, 381508.933, 72, B05, S02, 1
B05, Trade, 404344.733, 73, B05, S04, 1
B05, Trade, 456365.300, 72, B05, S04, 1
B05, Trade, 456625.867, 71, S04, B05, 1
B05, Trade, 459348.100, 71, B05, S02, 1
B05, Trade, 461331.267, 73, B05, S02, 1
B05, Trade, 465872.600, 73, B05, S04, 1
B05, Trade, 650732.300, 72, B05, S01, 1
B05, Trade, 797391.684, 72, B05, S01, 1
B05, Trade, 858164.051, 73, B05, S02, 1
B06, 100
B06, Trade, 635012.134, 76, B06, S00, 1
B06, Trade, 635344.367, 76, B06, S04, 1
B06, Trade, 635600.650, 76, B06, S00, 1
B06, Trade, 635860.684, 76, B06, S00, 1
B06, Trade, 637981.950, 76, B06, S00, 1
B06, Trade, 638599.767, 76, B06, S05, 1
B06, Trade, 638759.317, 76, B06, S04, 1
B06, Trade, 638770.534, 75, B06, S01, 1
B06, Trade, 638816.767, 75, B06, S04, 1
B06, Trade, 639390.950, 76, B06, S00, 1
B06, Trade, 643283.784, 76, B06, S02, 1
B06, Trade, 645669.450, 76, B06, S03, 1
B06, Trade, 652033.184, 76, B06, S03, 1
