B00, 0
B01, 0
B02, 2
B02, Trade, 223129.750, 65, B02, S00, 1
B02, Trade, 436925.567, 65, B02, S02, 1
B03, 17
B03, Trade, 53504.933, 68, B03, S01, 1
B03, Trade, 56343.383, 68, B03, S01, 1
B03, Trade, 57892.317, 68, B03, S00, 1
B03, Trade, 86321.833, 68, B03, S01, 1
B03, Trade, 87001.800, 68, B03, S02, 1
B03, Trade, 88290.783, 68, B03, S02, 1
B03, Trade, 151160.900, 68, B03, S01, 1
B03, Trade, 152869.650, 68, B03, S01, 1
B03, Trade, 187216.650, 68, B03, S02, 1
B03, Trade, 377260.333, 66, B03, S01, 1
B03, Trade, 533415.433, 68, B03, S03, 1
B03, Trade, 538661.867, 66, B03, S00, 1
B03, Trade, 667835.050, 68, B03, S00, 1
B03, Trade, 717746.001, 66, S00, B03, 1
B03, Trade, 807078.101, 68, B03, S00, 1
B03, Trade, 810389.601, 66, B03, S01, 1
B03, Trade, 811284.518, 67, B03, S00, 1
B04, 55
B04, Trade, 129882.883, 70, B04, S00, 1
B04, Trade, 131615.333, 70, B04, S02, 1
B04, Trade, 134578.500, 70, B04, S02, 1
B04, Trade, 161466.700, 70, B04, S02, 1
B04, Trade, 163380.683, 70, B04, S03, 1
B04, Trade, 199489.533, 69, B04, S00, 1
B04, Trade, 239337.967, 68, B04, S01, 1
B04, Trade, 242340.883, 71, B04, S04, 1
B04, Trade, 243025.517, 71, B04, S01, 1
B04, Trade, 248106.267, 71, B04, S01, 1
B04, Trade, 248544.917, 71, B04, S01, 1
B04, Trade, 249007.167, 71, B04, S01, 1
B04, Trade, 260372.517, 71, B04, S03, 1
B04, Trade, 295674.033, 71, B04, S01, 1
B04, Trade, 297050.883, 71, B04, S01, 1
B04, Trade, 322021.450, 70, B04, S02, 1
B04, Trade, 329278.717, 71, B04, S00, 1
B04, Trade, 329677.583, 71, B04, S03, 1
B04, Trade, 331032.450, 71, B04, S03, 1
B04, Trade, 346474.350, 70, B04, S00, 1
B04, Trade, 380110.433, 63, B04, S01, 1
B04, Trade, 432092.350, 71, B04, S02, 1
B04, Trade, 432535.017, 71, B04, S03, 1
B04, Trade, 432668.533, 71, B04, S03, 1
B04, Trade, 433058.900, 70, B04, S03, 1
B04, Trade, 433239.817, 71, B04, S03, 1
B04, Trade, 433521.733, 71, B04, S04, 1
B04, Trade, 433958.917, 71, B04, S00, 1
B04, Trade, 434020.817, 70, B04, S03, 1
B04, Trade, 434292.100, 71, B04, S02, 1
B04, Trade, 434296.417, 70, B04, S03, 1
B04, Trade, 434509.633, 71, B04, S02, 1
B04, Trade, 434591.300, 71, B04, S03, 1
B04, Trade, 434781.783, 71, B04, S04, 1
B04, Trade, 435050.367, 71, B04, S01, 1
B04, Trade, 435086.417, 71, S04, B04, 1
B04, Trade, 435805.700, 71, B04, S02, 1
B04, Trade, 436703.283, 71, B04, S02, 1
B04, Trade, 436842.267, 71, B04, S00, 1
B04, Trade, 436942.050, 70, B04, S03, 1
B04, Trade, 437284.150, 71, S04, B04, 1
B04, Trade, 437622.550, 71, B04, S03, 1
B04, Trade, 437956.667, 71, B04, S00, 1
B04, Trade, 438044.917, 71, B04, S03, 1
B04, Trade, 438297.333, 71, B04, S02, 1
B04, Trade, 438490.317, 70, B04, S03, 1
B04, Trade, 438499.517, 71, B04, S03, 1
B04, Trade, 438903.400, 71, B04, S03, 1
B04, Trade, 522974.417, 71, B04, S00, 1
B04, Trade, 552707.617, 71, B04, S01, 1
B04, Trade, 554173.567, 71, B04, S01, 1
B04, Trade, 567509.700, 71, B04, S01, 1
B04, Trade, 629261.734, 67, B04, S02, 1
B04, Trade, 633545.017, 69, B04, S02, 1
B04, Trade, 634925.700, 71, B04, S00, 1
B05, 100
B05, Trade, 533791.167, 73, B05, S00, 1
B05, Trade, 533829.067, 73, B05, S02, 1
B05, Trade, 533856.400, 73, B05, S03, 1
B05, Trade, 533987.583, 73, B05, S04, 1
B05, Trade, 534052.900, 73, B05, S04, 1
B05, Trade, 534280.783, 73, B05, S03, 1
B05, Trade, 534346.817, 73, B05, S02, 1
B05, Trade, 534375.267, 73, B05, S00, 1
B05, Trade, 534500.400, 73, B05, S04, 1
B05, Trade, 534544.467, 65, B05, S00, 1
B05, Trade, 535259.700, 73, B05, S02, 1
B05, Trade, 535488.550, 73, B05, S00, 1
B05, Trade, 535572.867, 73, B05, S03, 1
B05, Trade, 536209.017, 73, B05, S03, 1
B05, Trade, 536629.833, 73, B05, S04, 1
B05, Trade, 536701.150, 73, B05, S00, 1
B05, Trade, 537036.467, 73, B05, S02, 1
B05, Trade, 537067.817, 73, B05, S02, 1
B05, Trade, 537362.167, 73, B05, S02, 1
B05, Trade, 537406.483, 73, B05, S03, 1
B05, Trade, 537639.000, 73, B05, S02, 1
B05, Trade, 537650.383, 73, B05, S03, 1
B05, Trade, 537777.117, 73, B05, S02, 1
B05, Trade, 537893.333, 73, B05, S00, 1
B05, Trade, 537963.217, 73, B05, S00, 1
B05, Trade, 538505.333, 73, B05, S00, 1
B05, Trade, 538595.200, 73, B05, S00, 1
B05, Trade, 538637.067, 73, B05, S04, 1
B05, Trade, 538661.433, 73, B05, S04, 1
B05, Trade, 538954.050, 73, B05, S04, 1
B05, Trade, 538962.017, 73, B05, S03, 1
B05, Trade, 539088.517, 73, B05, S02, 1
B05, Trade, 539209.500, 73, B05, S00, 1
B05, Trade, 539379.833, 73, B05, S02, 1
B05, Trade, 539610.183, 73, B05, S00, 1
B05, Trade, 539648.100, 73, B05, S04, 1
B05, Trade, 539672.817, 73, B05, S00, 1
B05, Trade, 539727.633, 73, B05, S00, 1
B05, Trade, 539790.517, 73, B05, S04, 1
B05, Trade, 539835.867, 73, B05, S02, 1
B05, Trade, 541036.250, 73, B05, S00, 1
B05, Trade, 544797.933, 73, B05, S04, 1
B05, Trade, 610970.317, 70, B05, S00, 1
B05, Trade, 627091.750, 73, B05, S02, 1
B05, Trade, 673342.550, 73, B05, S01, 1
B05, Trade, 674628.050, 73, B05, S00, 1
B05, Trade, 674718.400, 73, B05, S00, 1
B05, Trade, 676460.234, 73, B05, S01, 1
B05, Trade, 676569.300, 73, B05, S00, 1
B05, Trade, 676575.534, 73, B05, S04, 1
B05, Trade, 699578.267, 73, B05, S01, 1
B05, Trade, 715017.334, 72, B05, S03, 1
B05, Trade, 715058.434, 73, B05, S00, 1
B05, Trade, 715158.551, 73, B05, S00, 1
B05, Trade, 715606.167, 73, B05, S03, 1
B05, Trade, 716313.351, 73, B05, S04, 1
B05, Trade, 716415.617, 73, B05, S00, 1
B05, Trade, 717745.601, 72, B05, S01, 1
B05, Trade, 717871.351, 63, S01, B05, 1
B05, Trade, 718352.634, 73, B05, S05, 1
B05, Trade, 718580.584, 73, B05, S02, 1
B05, Trade, 719673.117, 73, B05, S01, 1
B05, Trade, 737679.117, 69, B05, S00, 1
B05, Trade, 738294.651, 73, B05, S00, 1
B05, Trade, 738686.834, 73, B05, S04, 1
B05, Trade, 742366.134, 73, B05, S01, 1
B05, Trade, 745450.084, 73, B05, S04, 1
B05, Trade, 745802.134, 73, B05, S03, 1
B05, Trade, 771199.334, 73, B05, S00, 1
B05, Trade, 771490.451, 73, B05, S00, 1
B05, Trade, 774497.151, 65, B05, S00, 1
B05, Trade, 775099.101, 72, B05, S04, 1
B05, Trade, 785553.484, 73, B05, S00, 1
B05, Trade, 786931.917, 73, B05, S01, 1
B05, Trade, 790843.984, 73, B05, S01, 1
B05, Trade, 801529.234, 73, B05, S01, 1
B05, Trade, 802581.317, 73, B05, S01, 1
B05, Trade, 812078.918, 68, B05, S01, 1
B05, Trade, 821467.451, 73, B05, S05, 1
B05, Trade, 821636.968, 73, B05, S04, 1
B05, Trade, 822424.434, 69, B05, S00, 1
B05, Trade, 825284.301, 73, B05, S01, 1
B05, Trade, 825429.318, 73, B05, S01, 1
B05, Trade, 827365.984, 73, B05, S01, 1
B05, Trade, 836398.718, 73, B05, S00, 1
B05, Trade, 836428.168, 73, B05, S00, 1
B05, Trade, 836755.034, 70, B05, S02, 1
B05, Trade, 837410.284, 73, B05, S03, 1
B05, Trade, 838186.034, 73, B05, S04, 1
B05, Trade, 839070.484, 73, B05, S03, 1
B05, Trade, 839141.268, 73, S03, B05, 1
B05, Trade, 839323.968, 73, B05, S03, 1
B05, Trade, 841268.818, 73, B05, S04, 1
B05, Trade, 841667.851, 73, B05, S03, 1
B05, Trade, 851054.018, 73, B05, S05, 1
B05, Trade, 852209.418, 73, B05, S05, 1
B05, Trade, 853380.251, 73, B05, S02, 1
B05, Trade, 853840.568, 73, B05, S00, 1
B05, Trade, 855836.951, 73, B05, S01, 1
B05, Trade, 857123.968, 66, S01, B05, 1
B06, 100
B06, Trade, 773696.534, 75, B06, S01, 1
B06, Trade, 773795.351, 76, B06, S05, 1
B06, Trade, 773865.167, 76, B06, S04, 1
B06, Trade, 773909.651, 76, B06, S01, 1
B06, Trade, 773934.351, 75, B06, S05, 1
B06, Trade, 774100.251, 76, B06, S05, 1
B06, Trade, 774148.917, 75, B06, S00, 1
B06, Trade, 774343.534, 76, B06, S00, 1
B06, Trade, 774418.101, 76, B06, S04, 1
B06, Trade, 774733.967, 76, B06, S00, 1
B06, Trade, 774798.167, 76, B06, S04, 1
B06, Trade, 774976.401, 76, B06, S02, 1
B06, Trade, 775046.134, 76, B06, S06, 1
B06, Trade, 775292.267, 76, B06, S05, 1
B06, Trade, 775973.784, 76, B06, S00, 1
B06, Trade, 776333.567, 76, B06, S01, 1
B06, Trade, 776359.601, 76, B06, S04, 1
B06, Trade, 776664.001, 76, B06, S01, 1
B06, Trade, 776960.267, 76, B06, S01, 1
B06, Trade, 776982.701, 75, B06, S01, 1
B06, Trade, 777077.484, 75, B06, S00, 1
B06, Trade, 777200.384, 76, B06, S01, 1
B06, Trade, 777314.217, 76, B06, S04, 1
B06, Trade, 800545.651, 76, B06, S02, 1
B06, Trade, 801223.734, 76, B06, S00, 1
B06, Trade, 801288.417, 76, B06, S02, 1
B06, Trade, 801724.984, 73, B06, S01, 1
B06, Trade, 802386.934, 76, B06, S01, 1
B06, Trade, 802521.834, 76, B06, S05, 1
B06, Trade, 802840.917, 76, B06, S02, 1
B06, Trade, 803276.734, 76, B06, S01, 1
B06, Trade, 804283.734, 75, B06, S00, 1
B06, Trade, 805435.301, 76, B06, S02, 1
B06, Trade, 805746.334, 76, B06, S00, 1
B06, Trade, 806340.401, 76, B06, S00, 1
B06, Trade, 806499.534, 76, B06, S00, 1
B06, Trade, 806965.217, 64, S00, B06, 1
B06, Trade, 806970.317, 75, S05, B06, 1
B06, Trade, 807789.551, 75, B06, S00, 1
B06, Trade, 808414.351, 74, B06, S01, 1
B06, Trade, 808680.001, 71, S02, B06, 1
B06, Trade, 809912.351, 74, B06, S01, 1
B06, Trade, 810253.351, 75, B06, S05, 1
B06, Trade, 810297.684, 76, B06, S04, 1
B06, Trade, 810800.484, 76, B06, S05, 1
B06, Trade, 811147.518, 70, B06, S03, 1
B06, Trade, 811286.084, 76, B06, S04, 1
B06, Trade, 811703.951, 75, B06, S02, 1
B06, Trade, 812223.234, 74, B06, S00, 1
B06, Trade, 812426.651, 74, B06, S01, 1
B06, Trade, 813399.318, 76, B06, S01, 1
B06, Trade, 813438.951, 75, S04, B06, 1
B06, Trade, 814566.484, 76, B06, S01, 1
B06, Trade, 817958.684, 76, B06, S00, 1
B06, Trade, 821379.518, 76, B06, S04, 1
B06, Trade, 821635.101, 76, B06, S02, 1
B06, Trade, 821707.801, 76, B06, S02, 1
B06, Trade, 822044.068, 75, B06, S01, 1
B06, Trade, 822212.801, 76, B06, S02, 1
B06, Trade, 822268.201, 76, B06, S00, 1
B06, Trade, 822423.301, 76, B06, S05, 1
B06, Trade, 822599.118, 76, B06, S05, 1
B06, Trade, 822963.118, 75, B06, S04, 1
B06, Trade, 822996.118, 76, B06, S00, 1
B06, Trade, 823055.184, 76, B06, S01, 1
B06, Trade, 823729.418, 76, B06, S02, 1
B06, Trade, 823808.468, 76, B06, S04, 1
B06, Trade, 823915.601, 76, B06, S04, 1
B06, Trade, 823938.801, 75, S03, B06, 1
B06, Trade, 824145.418, 76, B06, S01, 1
B06, Trade, 824245.401, 76, B06, S00, 1
B06, Trade, 824521.018, 76, B06, S01, 1
B06, Trade, 824611.684, 76, B06, S04, 1
B06, Trade, 825068.568, 76, B06, S04, 1
B06, Trade, 825268.868, 73, B06, S02, 1
B06, Trade, 825708.251, 76, B06, S01, 1
B06, Trade, 826048.684, 75, B06, S00, 1
B06, Trade, 826105.084, 76, B06, S04, 1
B06, Trade, 826142.301, 76, B06, S05, 1
B06, Trade, 826243.284, 76, B06, S05, 1
B06, Trade, 826312.268, 76, B06, S01, 1
B06, Trade, 826804.234, 76, B06, S02, 1
B06, Trade, 826813.251, 73, B06, S02, 1
B06, Trade, 826959.168, 75, B06, S00, 1
B06, Trade, 827111.101, 76, B06, S01, 1
B06, Trade, 827166.868, 75, B06, S01, 1
B06, Trade, 827726.151, 76, B06, S04, 1
B06, Trade, 836027.951, 74, B06, S00, 1
B06, Trade, 836214.201, 75, B06, S04, 1
B06, Trade, 836975.334, 75, B06, S04, 1
B06, Trade, 837063.734, 74, B06, S01, 1
B06, Trade, 837562.784, 76, B06, S06, 1
B06, Trade, 837759.468, 74, B06, S03, 1
B06, Trade, 837874.684, 74, S05, B06, 1
B06, Trade, 839140.734, 75, S05, B06, 1
B06, Trade, 839693.834, 74, B06, S03, 1
B06, Trade, 857098.468, 73, B06, S02, 1
B06, Trade, 858801.334, 71, B06, S01, 1
B06, Trade, 861121.484, 72, B06, S01, 1
B06, Trade, 861706.801, 71, B06, S01, 1
B07, 100
B07, Trade, 764275.884, 79, B07, S00, 1
B07, Trade, 764572.517, 79, B07, S01, 1
B07, Trade, 764587.734, 79, B07, S04, 1
B07, Trade, 764671.967, 79, B07, S00, 1
B07, Trade, 764718.617, 79, B07, S04, 1
B07, Trade, 765062.317, 79, B07, S01, 1
B07, Trade, 765085.567, 78, B07, S04, 1
B07, Trade, 765243.601, 78, B07, S06, 1
B07, Trade, 765661.751, 79, B07, S06, 1
B07, Trade, 765741.117, 79, B07, S04, 1
B07, Trade, 766908.051, 79, B07, S04, 1
B07, Trade, 767310.034, 79, B07, S04, 1
B07, Trade, 767328.651, 79, B07, S06, 1
B07, Trade, 767818.384, 78, B07, S06, 1
B07, Trade, 768867.101, 79, B07, S00, 1
B07, Trade, 769566.467, 79, B07, S00, 1
B07, Trade, 769879.667, 78, B07, S06, 1
B07, Trade, 769914.117, 79, B07, S06, 1
B07, Trade, 770154.517, 79, B07, S06, 1
B07, Trade, 770267.151, 79, B07, S01, 1
B07, Trade, 770329.734, 79, B07, S06, 1
B07, Trade, 777856.134, 79, B07, S04, 1
B07, Trade, 777935.284, 79, B07, S02, 1
B07, Trade, 778353.217, 79, B07, S02, 1
B07, Trade, 778774.984, 79, B07, S00, 1
B07, Trade, 779186.934, 79, B07, S04, 1
B07, Trade, 784959.117, 79, B07, S01, 1
B07, Trade, 784985.234, 77, B07, S01, 1
B07, Trade, 785612.434, 79, B07, S01, 1
B07, Trade, 785717.684, 78, B07, S04, 1
B07, Trade, 785768.651, 79, B07, S06, 1
B07, Trade, 785824.484, 78, B07, S02, 1
B07, Trade, 785835.817, 79, B07, S06, 1
B07, Trade, 785923.467, 78, B07, S06, 1
B07, Trade, 785932.451, 79, B07, S00, 1
B07, Trade, 786041.167, 79, B07, S01, 1
B07, Trade, 786316.434, 79, B07, S06, 1
B07, Trade, 786478.684, 79, B07, S00, 1
B07, Trade, 786482.851, 79, B07, S02, 1
B07, Trade, 786519.917, 79, B07, S01, 1
B07, Trade, 786705.251, 79, B07, S02, 1
B07, Trade, 787589.217, 79, B07, S02, 1
B07, Trade, 787902.367, 79, B07, S04, 1
B07, Trade, 788036.701, 79, B07, S02, 1
B07, Trade, 788150.434, 79, B07, S04, 1
B07, Trade, 788280.751, 79, B07, S01, 1
B07, Trade, 788526.434, 76, B07, S01, 1
B07, Trade, 788581.551, 78, B07, S06, 1
B07, Trade, 788693.584, 79, B07, S04, 1
B07, Trade, 788746.384, 79, B07, S00, 1
B07, Trade, 788983.517, 79, B07, S06, 1
B07, Trade, 789314.267, 79, B07, S04, 1
B07, Trade, 789504.917, 79, B07, S06, 1
B07, Trade, 789724.217, 78, B07, S02, 1
B07, Trade, 789746.384, 79, B07, S04, 1
B07, Trade, 789792.334, 79, B07, S06, 1
B07, Trade, 790359.317, 77, B07, S00, 1
B07, Trade, 790894.267, 77, B07, S06, 1
B07, Trade, 790930.201, 77, B07, S01, 1
B07, Trade, 790964.934, 79, B07, S04, 1
B07, Trade, 791100.617, 79, B07, S02, 1
B07, Trade, 791117.167, 78, B07, S04, 1
B07, Trade, 791314.167, 79, B07, S00, 1
B07, Trade, 791320.717, 79, B07, S01, 1
B07, Trade, 791350.117, 79, B07, S01, 1
B07, Trade, 791389.134, 79, B07, S06, 1
B07, Trade, 791391.984, 76, S04, B07, 1
B07, Trade, 791552.284, 78, B07, S02, 1
B07, Trade, 791567.684, 79, B07, S01, 1
B07, Trade, 791844.884, 79, B07, S01, 1
B07, Trade, 792344.984, 79, B07, S01, 1
B07, Trade, 792775.867, 79, B07, S06, 1
B07, Trade, 793290.151, 79, B07, S02, 1
B07, Trade, 795016.951, 79, B07, S04, 1
B07, Trade, 795792.334, 79, B07, S02, 1
B07, Trade, 797471.001, 79, B07, S04, 1
B07, Trade, 798231.751, 79, B07, S06, 1
B07, Trade, 799161.517, 79, B07, S02, 1
B07, Trade, 806450.484, 77, B07, S00, 1
B07, Trade, 807518.367, 78, B07, S00, 1
B07, Trade, 807782.001, 79, B07, S06, 1
B07, Trade, 807802.167, 74, B07, S05, 1
B07, Trade, 808121.034, 77, B07, S01, 1
B07, Trade, 808221.134, 76, B07, S01, 1
B07, Trade, 808641.034, 79, B07, S00, 1
B07, Trade, 808666.751, 79, B07, S02, 1
B07, Trade, 808788.917, 74, B07, S04, 1
B07, Trade, 809149.801, 78, B07, S04, 1
B07, Trade, 809318.367, 77, B07, S05, 1
B07, Trade, 809550.467, 77, B07, S00, 1
B07, Trade, 810722.117, 77, B07, S01, 1
B07, Trade, 812656.634, 77, B07, S02, 1
B07, Trade, 815227.518, 74, B07, S02, 1
B07, Trade, 821636.901, 77, S06, B07, 1
B07, Trade, 822405.451, 79, B07, S02, 1
B07, Trade, 824005.251, 79, B07, S01, 1
B07, Trade, 825216.784, 77, S06, B07, 1
B07, Trade, 825284.918, 78, B07, S00, 1
B07, Trade, 827742.801, 76, B07, S00, 1
B07, Trade, 842163.018, 76, B07, S02, 1
B08, 100
B08, Trade, 850614.701, 82, B08, S06, 1
B08, Trade, 850773.201, 82, B08, S01, 1
B08, Trade, 850778.851, 82, B08, S00, 1
B08, Trade, 850880.551, 81, B08, S05, 1
B08, Trade, 850900.584, 82, B08, S05, 1
B08, Trade, 850962.901, 82, B08, S00, 1
B08, Trade, 851017.284, 81, B08, S02, 1
B08, Trade, 851048.601, 82, B08, S01, 1
B08, Trade, 851145.218, 82, B08, S06, 1
B08, Trade, 851181.768, 82, B08, S00, 1
B08, Trade, 851326.018, 82, B08, S06, 1
B08, Trade, 851473.851, 82, B08, S02, 1
B08, Trade, 851498.268, 82, B08, S06, 1
B08, Trade, 851566.368, 82, B08, S05, 1
B08, Trade, 851654.551, 82, B08, S00, 1
B08, Trade, 851676.401, 82, B08, S02, 1
B08, Trade, 851683.151, 82, B08, S06, 1
B08, Trade, 851694.001, 82, B08, S00, 1
B08, Trade, 851727.034, 82, B08, S00, 1
B08, Trade, 851766.918, 82, B08, S01, 1
B08, Trade, 851771.168, 82, B08, S04, 1
B08, Trade, 851776.768, 80, B08, S02, 1
B08, Trade, 851800.701, 82, B08, S01, 1
B08, Trade, 851898.718, 82, B08, S04, 1
B08, Trade, 851964.318, 82, B08, S01, 1
B08, Trade, 851976.401, 82, B08, S07, 1
B08, Trade, 852029.068, 82, B08, S06, 1
B08, Trade, 852079.834, 82, B08, S04, 1
B08, Trade, 852158.418, 82, B08, S01, 1
B08, Trade, 852207.634, 80, B08, S04, 1
B08, Trade, 852223.934, 82, B08, S04, 1
B08, Trade, 852367.851, 80, B08, S05, 1
B08, Trade, 852415.034, 81, B08, S06, 1
B08, Trade, 852425.218, 80, B08, S04, 1
B08, Trade, 852478.301, 82, B08, S04, 1
B08, Trade, 852723.884, 82, B08, S04, 1
B08, Trade, 852745.501, 82, B08, S04, 1
B08, Trade, 852799.184, 82, B08, S06, 1
B08, Trade, 852860.468, 81, B08, S01, 1
B08, Trade, 852873.034, 81, B08, S04, 1
B08, Trade, 852944.068, 81, B08, S06, 1
B08, Trade, 852981.151, 82, B08, S05, 1
B08, Trade, 853030.268, 82, B08, S04, 1
B08, Trade, 853235.501, 82, B08, S01, 1
B08, Trade, 853301.718, 82, B08, S05, 1
B08, Trade, 853312.351, 82, B08, S05, 1
B08, Trade, 853432.668, 81, B08, S06, 1
B08, Trade, 853515.434, 82, B08, S05, 1
B08, Trade, 853712.368, 82, B08, S00, 1
B08, Trade, 853901.734, 82, B08, S04, 1
B08, Trade, 853925.118, 82, B08, S06, 1
B08, Trade, 853947.501, 82, B08, S06, 1
B08, Trade, 853990.251, 81, B08, S01, 1
B08, Trade, 854038.018, 82, B08, S02, 1
B08, Trade, 854087.418, 81, B08, S04, 1
B08, Trade, 854128.168, 82, B08, S04, 1
B08, Trade, 854295.351, 82, B08, S05, 1
B08, Trade, 854313.184, 82, B08, S02, 1
B08, Trade, 854354.401, 82, B08, S07, 1
B08, Trade, 854414.818, 81, B08, S04, 1
B08, Trade, 854454.968, 82, B08, S06, 1
B08, Trade, 854469.051, 82, B08, S07, 1
B08, Trade, 854504.751, 82, B08, S05, 1
B08, Trade, 854570.501, 82, B08, S05, 1
B08, Trade, 854587.034, 82, B08, S00, 1
B08, Trade, 854623.034, 82, B08, S08, 1
B08, Trade, 854650.551, 81, B08, S06, 1
B08, Trade, 854697.051, 81, B08, S05, 1
B08, Trade, 854797.051, 82, B08, S04, 1
B08, Trade, 854818.751, 82, B08, S04, 1
B08, Trade, 854916.184, 82, B08, S00, 1
B08, Trade, 854927.034, 82, B08, S07, 1
B08, Trade, 854964.368, 81, B08, S00, 1
B08, Trade, 854983.751, 81, B08, S05, 1
B08, Trade, 855007.501, 82, B08, S05, 1
B08, Trade, 855037.634, 81, B08, S02, 1
B08, Trade, 855241.218, 82, B08, S06, 1
B08, Trade, 855255.768, 78, B08, S04, 1
B08, Trade, 855310.918, 82, B08, S01, 1
B08, Trade, 855338.734, 82, B08, S02, 1
B08, Trade, 855403.551, 82, B08, S04, 1
B08, Trade, 855481.818, 81, B08, S01, 1
B08, Trade, 855682.034, 82, B08, S05, 1
B08, Trade, 855719.234, 80, B08, S00, 1
B08, Trade, 855784.718, 81, B08, S06, 1
B08, Trade, 855821.551, 82, B08, S01, 1
B08, Trade, 855844.051, 82, B08, S04, 1
B08, Trade, 856148.401, 82, B08, S06, 1
B08, Trade, 856156.218, 82, B08, S02, 1
B08, Trade, 856201.284, 82, B08, S01, 1
B08, Trade, 856243.334, 82, B08, S04, 1
B08, Trade, 856374.251, 81, B08, S04, 1
B08, Trade, 856461.518, 82, B08, S00, 1
B08, Trade, 856595.168, 82, B08, S02, 1
B08, Trade, 856655.784, 82, B08, S01, 1
B08, Trade, 856698.551, 82, B08, S02, 1
B08, Trade, 856767.618, 82, B08, S06, 1
B08, Trade, 857858.084, 81, B08, S02, 1
B08, Trade, 859564.201, 81, B08, S02, 1
B08, Trade, 862147.968, 79, B08, S01, 1
B09, 100
B09, Trade, 858763.318, 83, B09, S04, 1
B09, Trade, 858818.668, 84, B09, S01, 1
B09, Trade, 858839.351, 72, S04, B09, 1
B09, Trade, 858850.201, 83, B09, S04, 1
B09, Trade, 858873.601, 84, B09, S04, 1
B09, Trade, 859040.818, 83, B09, S02, 1
B09, Trade, 859085.901, 84, B09, S07, 1
B09, Trade, 859228.218, 83, B09, S07, 1
B09, Trade, 859366.118, 83, B09, S01, 1
B09, Trade, 859390.351, 84, B09, S01, 1
B09, Trade, 859438.084, 83, B09, S01, 1
B09, Trade, 859563.018, 84, B09, S04, 1
B09, Trade, 859589.801, 84, B09, S07, 1
