B00, 0
B01, 1
B01, Trade, 442836.133, 62, B01, S01, 1
B02, 3
B02, Trade, 371676.217, 65, B02, S02, 1
B02, Trade, 773751.051, 65, B02, S01, 1
B02, Trade, 782115.551, 65, B02, S00, 1
B03, 28
B03, Trade, 153565.167, 68, B03, S02, 1
B03, Trade, 234752.667, 68, B03, S03, 1
B03, Trade, 384510.417, 68, B03, S03, 1
B03, Trade, 427926.017, 68, B03, S02, 1
B03, Trade, 428928.917, 67, B03, S02, 1
B03, Trade, 454165.417, 68, B03, S01, 1
B03, Trade, 454180.183, 68, B03, S02, 1
B03, Trade, 454192.833, 68, B03, S00, 1
B03, Trade, 454468.817, 67, B03, S02, 1
B03, Trade, 454769.483, 68, B03, S01, 1
B03, Trade, 455210.950, 68, B03, S01, 1
B03, Trade, 455339.450, 68, B03, S00, 1
B03, Trade, 455527.717, 68, B03, S02, 1
B03, Trade, 456773.650, 67, B03, S00, 1
B03, Trade, 456902.350, 67, B03, S00, 1
B03, Trade, 457759.517, 68, B03, S01, 1
B03, Trade, 457975.667, 68, B03, S01, 1
B03, Trade, 458291.550, 68, B03, S00, 1
B03, Trade, 458509.417, 68, B03, S02, 1
B03, Trade, 458519.700, 68, B03, S01, 1
B03, Trade, 458557.467, 68, B03, S00, 1
B03, Trade, 458607.450, 68, B03, S01, 1
B03, Trade, 458673.967, 68, B03, S02, 1
B03, Trade, 459323.500, 68, B03, S02, 1
B03, Trade, 459971.783, 68, B03, S00, 1
B03, Trade, 460733.800, 66, B03, S02, 1
B03, Trade, 808787.201, 68, B03, S03, 1
B03, Trade, 811826.801, 68, B03, S01, 1
B04, 45
B04, Trade, 217165.850, 71, B04, S04, 1
B04, Trade, 218834.767, 71, B04, S02, 1
B04, Trade, 225400.117, 71, B04, S03, 1
B04, Trade, 325063.967, 71, B04, S03, 1
B04, Trade, 327695.733, 71, B04, S02, 1
B04, Trade, 329468.517, 71, B04, S02, 1
B04, Trade, 338237.400, 71, B04, S02, 1
B04, Trade, 349484.833, 71, B04, S02, 1
B04, Trade, 351567.267, 71, B04, S02, 1
B04, Trade, 352028.333, 71, B04, S00, 1
B04, Trade, 454369.333, 71, B04, S02, 1
B04, Trade, 455249.067, 67, B04, S01, 1
B04, Trade, 456601.400, 71, B04, S00, 1
B04, Trade, 457645.833, 71, B04, S03, 1
B04, Trade, 459045.800, 66, B04, S00, 1
B04, Trade, 460073.217, 71, B04, S01, 1
B04, Trade, 489877.950, 69, B04, S02, 1
B04, Trade, 531108.683, 69, B04, S01, 1
B04, Trade, 542319.617, 71, B04, S02, 1
B04, Trade, 542793.717, 71, B04, S02, 1
B04, Trade, 543436.533, 71, B04, S00, 1
B04, Trade, 547101.617, 71, B04, S00, 1
B04, Trade, 571301.850, 71, B04, S02, 1
B04, Trade, 574050.350, 71, B04, S03, 1
B04, Trade, 596853.317, 71, B04, S01, 1
B04, Trade, 598609.750, 71, B04, S00, 1
B04, Trade, 599156.400, 71, B04, S00, 1
B04, Trade, 599305.700, 71, B04, S00, 1
B04, Trade, 600448.633, 71, B04, S00, 1
B04, Trade, 600561.833, 71, B04, S00, 1
B04, Trade, 602784.800, 71, B04, S00, 1
B04, Trade, 603612.300, 71, B04, S00, 1
B04, Trade, 604065.400, 71, B04, S01, 1
B04, Trade, 608620.384, 71, B04, S03, 1
B04, Trade, 643631.200, 70, B04, S03, 1
B04, Trade, 645691.834, 71, B04, S02, 1
B04, Trade, 646841.567, 65, S02, B04, 1
B04, Trade, 646943.717, 71, B04, S03, 1
B04, Trade, 661812.484, 71, B04, S00, 1
B04, Trade, 666596.100, 70, B04, S03, 1
B04, Trade, 667177.367, 71, B04, S03, 1
B04, Trade, 715719.801, 71, B04, S02, 1
B04, Trade, 718965.684, 71, B04, S00, 1
B04, Trade, 807696.117, 70, B04, S03, 1
B04, Trade, 845616.668, 71, B04, S00, 1
B05, 100
B05, Trade, 632243.084, 73, B05, S02, 1
B05, Trade, 632480.850, 73, B05, S02, 1
B05, Trade, 633310.967, 73, B05, S02, 1
B05, Trade, 633348.200, 73, B05, S04, 1
B05, Trade, 633878.384, 73, B05, S00, 1
B05, Trade, 636838.600, 73, B05, S04, 1
B05, Trade, 638670.450, 73, B05, S04, 1
B05, Trade, 639630.817, 73, B05, S04, 1
B05, Trade, 639672.500, 73, B05, S00, 1
B05, Trade, 640475.350, 73, B05, S00, 1
B05, Trade, 649209.317, 70, B05, S03, 1
B05, Trade, 650814.450, 73, B05, S00, 1
B05, Trade, 652655.517, 73, B05, S03, 1
