B00, 1
B00, Trade, 172806.467, 159, S09, B00, 1
B01, 0
B02, 9
B02, Trade, 22600.550, 65, B02, S00, 1
B02, Trade, 26973.050, 64, B02, S01, 1
B02, Trade, 28771.617, 65, B02, S01, 1
B02, Trade, 117520.133, 104, B02, S00, 1
B02, Trade, 119267.967, 104, B02, S01, 1
B02, Trade, 119311.167, 105, B02, S01, 1
B02, Trade, 121391.650, 103, B02, S01, 1
B02, Trade, 126899.283, 103, B02, S00, 1
B02, Trade, 180156.400, 204, B02, S00, 1
B03, 11
B03, Trade, 142049.983, 105, B03, S01, 1
B03, Trade, 181289.817, 208, B03, S00, 1
B03, Trade, 181934.900, 208, B03, S00, 1
B03, Trade, 183110.200, 208, B03, S00, 1
B03, Trade, 183739.117, 208, B03, S00, 1
B03, Trade, 185106.683, 208, B03, S00, 1
B03, Trade, 185889.733, 208, B03, S00, 1
B03, Trade, 186172.567, 208, B03, S00, 1
B03, Trade, 186353.467, 208, B03, S00, 1
B03, Trade, 187014.717, 208, B03, S00, 1
B03, Trade, 192625.583, 203, B03, S01, 1
B04, 64
B04, Trade, 30761.717, 71, B04, S00, 1
B04, Trade, 30901.217, 71, B04, S01, 1
B04, Trade, 33491.783, 70, B04, S00, 1
B04, Trade, 35717.800, 71, B04, S01, 1
B04, Trade, 48991.900, 71, B04, S01, 1
B04, Trade, 82657.383, 70, B04, S00, 1
B04, Trade, 87164.733, 111, B04, S02, 1
B04, Trade, 88200.483, 111, B04, S02, 1
B04, Trade, 90195.183, 111, B04, S02, 1
B04, Trade, 90798.333, 111, B04, S00, 1
B04, Trade, 91701.050, 111, B04, S02, 1
B04, Trade, 92158.683, 111, B04, S02, 1
B04, Trade, 92783.033, 111, B04, S01, 1
B04, Trade, 93076.317, 111, B04, S03, 1
B04, Trade, 101000.183, 111, B04, S01, 1
B04, Trade, 101209.017, 111, B04, S01, 1
B04, Trade, 101604.200, 111, B04, S00, 1
B04, Trade, 101751.933, 108, B04, S00, 1
B04, Trade, 101769.450, 111, B04, S02, 1
B04, Trade, 101941.133, 111, B04, S02, 1
B04, Trade, 102198.767, 111, B04, S04, 1
B04, Trade, 102243.667, 111, B04, S01, 1
B04, Trade, 102310.783, 111, B04, S00, 1
B04, Trade, 102424.267, 111, B04, S02, 1
B04, Trade, 102547.300, 111, B04, S02, 1
B04, Trade, 102592.883, 111, B04, S04, 1
B04, Trade, 102768.200, 111, B04, S00, 1
B04, Trade, 102886.633, 111, B04, S02, 1
B04, Trade, 103063.517, 111, B04, S01, 1
B04, Trade, 103260.750, 111, B04, S02, 1
B04, Trade, 103497.750, 111, B04, S02, 1
B04, Trade, 103535.383, 111, B04, S00, 1
B04, Trade, 103559.983, 111, B04, S00, 1
B04, Trade, 103625.233, 111, B04, S00, 1
B04, Trade, 103743.350, 111, B04, S00, 1
B04, Trade, 103998.417, 111, B04, S00, 1
B04, Trade, 104281.500, 111, B04, S00, 1
B04, Trade, 104338.833, 111, B04, S00, 1
B04, Trade, 104843.800, 111, B04, S02, 1
B04, Trade, 105366.017, 111, B04, S02, 1
B04, Trade, 105747.217, 111, B04, S00, 1
B04, Trade, 106027.217, 111, B04, S00, 1
B04, Trade, 106193.650, 111, B04, S04, 1
B04, Trade, 106252.150, 111, B04, S00, 1
B04, Trade, 106264.683, 111, B04, S00, 1
B04, Trade, 106483.083, 111, B04, S01, 1
B04, Trade, 106532.433, 111, B04, S01, 1
B04, Trade, 106567.000, 103, B04, S00, 1
B04, Trade, 106649.200, 111, B04, S04, 1
B04, Trade, 106723.817, 111, B04, S00, 1
B04, Trade, 106919.633, 111, B04, S00, 1
B04, Trade, 107088.850, 111, B04, S02, 1
B04, Trade, 107111.217, 111, B04, S02, 1
B04, Trade, 107295.467, 111, B04, S00, 1
B04, Trade, 107622.667, 111, B04, S02, 1
B04, Trade, 107852.950, 111, B04, S02, 1
B04, Trade, 143802.967, 102, B04, S01, 1
B04, Trade, 173606.500, 209, B04, S01, 1
B04, Trade, 174395.400, 202, S01, B04, 1
B04, Trade, 174787.233, 210, B04, S01, 1
B04, Trade, 175534.917, 211, B04, S01, 1
B04, Trade, 182357.183, 208, B04, S00, 1
B04, Trade, 186975.533, 211, B04, S01, 1
B04, Trade, 189417.533, 202, S01, B04, 1
B05, 13
B05, Trade, 21800.783, 73, B05, S02, 1
B05, Trade, 25404.150, 72, B05, S02, 1
B05, Trade, 27660.150, 69, B05, S00, 1
B05, Trade, 34817.417, 73, B05, S00, 1
B05, Trade, 61600.033, 73, B05, S00, 1
B05, Trade, 104076.833, 111, B05, S02, 1
B05, Trade, 105575.667, 110, B05, S00, 1
