B00, 2
B00, Trade, 191949.183, 200, B00, S00, 1
B00, Trade, 192340.367, 200, B00, S00, 1
B01, 3
B01, Trade, 94763.933, 101, B01, S00, 1
B01, Trade, 247471.100, 202, B01, S01, 1
B01, Trade, 249760.700, 202, B01, S01, 1
B02, 4
B02, Trade, 190263.650, 205, B02, S00, 1
B02, Trade, 225442.167, 205, B02, S00, 1
B02, Trade, 229865.183, 205, B02, S01, 1
B02, Trade, 230393.633, 205, B02, S01, 1
B03, 20
B03, Trade, 177658.983, 208, B03, S01, 1
B03, Trade, 188157.983, 202, B03, S00, 1
B03, Trade, 189345.633, 205, B03, S00, 1
B03, Trade, 194390.517, 208, B03, S00, 1
B03, Trade, 223264.133, 206, B03, S00, 1
B03, Trade, 223798.050, 206, B03, S00, 1
B03, Trade, 223936.367, 208, B03, S03, 1
B03, Trade, 223964.817, 207, B03, S00, 1
B03, Trade, 224811.633, 208, B03, S00, 1
B03, Trade, 224886.983, 205, B03, S00, 1
B03, Trade, 226197.050, 208, S03, B03, 1
B03, Trade, 226334.583, 207, B03, S00, 1
B03, Trade, 226903.267, 208, B03, S00, 1
B03, Trade, 226962.900, 206, B03, S02, 1
B03, Trade, 227934.550, 208, B03, S00, 1
B03, Trade, 228339.783, 207, B03, S00, 1
B03, Trade, 228780.500, 208, S03, B03, 1
B03, Trade, 229932.350, 204, B03, S00, 1
B03, Trade, 230267.450, 207, B03, S01, 1
B03, Trade, 252457.900, 208, B03, S03, 1
B04, 100
B04, Trade, 224735.333, 211, B04, S00, 1
B04, Trade, 224768.200, 211, B04, S01, 1
B04, Trade, 224791.050, 211, B04, S00, 1
B04, Trade, 224954.150, 211, B04, S01, 1
B04, Trade, 224965.350, 211, B04, S00, 1
B04, Trade, 224992.950, 211, B04, S00, 1
B04, Trade, 225062.733, 211, B04, S01, 1
B04, Trade, 225083.733, 211, B04, S04, 1
B04, Trade, 225155.767, 211, B04, S00, 1
B04, Trade, 225201.350, 211, B04, S04, 1
B04, Trade, 225252.267, 211, B04, S03, 1
B04, Trade, 225295.217, 211, B04, S03, 1
B04, Trade, 225334.817, 211, B04, S03, 1
B04, Trade, 225490.433, 211, B04, S00, 1
B04, Trade, 225500.117, 211, B04, S00, 1
B04, Trade, 225555.833, 211, B04, S02, 1
B04, Trade, 225561.067, 211, B04, S00, 1
B04, Trade, 225596.517, 211, B04, S03, 1
B04, Trade, 225615.350, 211, B04, S00, 1
B04, Trade, 225631.483, 211, B04, S03, 1
B04, Trade, 225725.483, 211, B04, S03, 1
B04, Trade, 225810.000, 211, B04, S00, 1
B04, Trade, 225818.933, 209, B04, S00, 1
B04, Trade, 226014.250, 211, B04, S02, 1
B04, Trade, 226063.400, 211, B04, S01, 1
B04, Trade, 226188.250, 211, B04, S00, 1
B04, Trade, 226259.683, 211, B04, S03, 1
B04, Trade, 226445.767, 211, B04, S00, 1
B04, Trade, 226562.850, 211, B04, S03, 1
B04, Trade, 226731.533, 211, B04, S03, 1
B04, Trade, 226871.833, 211, B04, S03, 1
B04, Trade, 226925.933, 211, B04, S00, 1
B04, Trade, 227078.417, 211, B04, S03, 1
B04, Trade, 227185.217, 211, B04, S02, 1
B04, Trade, 227212.783, 211, B04, S00, 1
B04, Trade, 227237.267, 211, B04, S04, 1
B04, Trade, 227271.367, 211, B04, S00, 1
B04, Trade, 227288.033, 211, B04, S00, 1
B04, Trade, 227310.050, 211, B04, S03, 1
B04, Trade, 227349.117, 211, B04, S00, 1
B04, Trade, 227371.783, 211, B04, S01, 1
B04, Trade, 227417.117, 211, B04, S04, 1
B04, Trade, 227437.800, 211, B04, S00, 1
B04, Trade, 227447.267, 211, B04, S00, 1
B04, Trade, 227508.617, 211, B04, S02, 1
B04, Trade, 227511.383, 211, B04, S01, 1
B04, Trade, 227582.500, 211, B04, S03, 1
B04, Trade, 227603.650, 211, B04, S00, 1
B04, Trade, 227633.950, 211, B04, S00, 1
B04, Trade, 227721.733, 211, B04, S02, 1
B04, Trade, 227784.083, 211, B04, S00, 1
B04, Trade, 227856.533, 209, B04, S00, 1
B04, Trade, 227880.650, 211, B04, S00, 1
B04, Trade, 227934.517, 211, B04, S01, 1
B04, Trade, 228028.383, 211, B04, S01, 1
B04, Trade, 228062.950, 211, B04, S01, 1
B04, Trade, 228069.917, 211, B04, S03, 1
B04, Trade, 228117.633, 211, B04, S00, 1
B04, Trade, 228125.667, 210, B04, S00, 1
B04, Trade, 228173.683, 211, B04, S01, 1
B04, Trade, 228279.250, 211, B04, S00, 1
B04, Trade, 228314.533, 211, B04, S00, 1
B04, Trade, 228374.383, 211, B04, S00, 1
B04, Trade, 228399.483, 211, B04, S01, 1
B04, Trade, 228407.533, 211, B04, S03, 1
B04, Trade, 228449.333, 211, B04, S00, 1
B04, Trade, 228501.500, 211, B04, S00, 1
B04, Trade, 228516.467, 211, B04, S03, 1
B04, Trade, 228630.133, 211, B04, S00, 1
B04, Trade, 228657.533, 211, B04, S00, 1
B04, Trade, 228682.117, 211, B04, S00, 1
B04, Trade, 228710.450, 211, B04, S02, 1
B04, Trade, 228727.950, 211, B04, S03, 1
B04, Trade, 228736.433, 211, B04, S01, 1
B04, Trade, 228806.383, 211, B04, S03, 1
B04, Trade, 228896.267, 211, B04, S03, 1
B04, Trade, 228982.400, 211, B04, S00, 1
B04, Trade, 228991.050, 211, B04, S04, 1
B04, Trade, 229010.017, 211, B04, S01, 1
B04, Trade, 229040.050, 211, B04, S03, 1
B04, Trade, 229338.483, 211, B04, S04, 1
B04, Trade, 229774.883, 211, B04, S01, 1
B04, Trade, 229865.067, 211, B04, S02, 1
B04, Trade, 229969.050, 211, B04, S04, 1
B04, Trade, 229999.933, 211, B04, S01, 1
B04, Trade, 230078.550, 211, B04, S01, 1
B04, Trade, 230160.933, 211, B04, S00, 1
B04, Trade, 230203.817, 211, B04, S00, 1
B04, Trade, 230235.917, 211, B04, S00, 1
B04, Trade, 230266.950, 211, B04, S03, 1
B04, Trade, 230310.750, 211, B04, S00, 1
B04, Trade, 230355.300, 211, B04, S00, 1
B04, Trade, 230388.717, 211, B04, S04, 1
B04, Trade, 238264.950, 210, B04, S02, 1
B04, Trade, 238880.133, 211, B04, S03, 1
B04, Trade, 243710.333, 211, B04, S03, 1
B04, Trade, 244227.083, 210, B04, S03, 1
B04, Trade, 253155.267, 211, B04, S00, 1
B04, Trade, 258196.983, 211, B04, S03, 1
B04, Trade, 258598.950, 211, B04, S03, 1
B05, 79
B05, Trade, 130505.117, 113, B05, S03, 1
B05, Trade, 136093.400, 113, B05, S03, 1
B05, Trade, 151685.383, 113, B05, S02, 1
B05, Trade, 154736.600, 112, B05, S03, 1
B05, Trade, 156614.867, 113, B05, S03, 1
B05, Trade, 164210.267, 111, B05, S04, 1
B05, Trade, 172805.750, 162, S22, B05, 1
B05, Trade, 173730.283, 210, B05, S03, 1
B05, Trade, 174499.333, 212, B05, S01, 1
B05, Trade, 176348.983, 213, B05, S01, 1
B05, Trade, 177369.917, 212, B05, S02, 1
B05, Trade, 187519.950, 213, B05, S01, 1
B05, Trade, 189394.100, 213, B05, S00, 1
B05, Trade, 189982.850, 205, B05, S00, 1
B05, Trade, 192241.667, 206, B05, S00, 1
B05, Trade, 192447.150, 213, B05, S01, 1
B05, Trade, 192902.900, 212, B05, S04, 1
B05, Trade, 193267.200, 212, B05, S03, 1
B05, Trade, 206478.000, 213, B05, S00, 1
B05, Trade, 207127.383, 210, B05, S00, 1
B05, Trade, 207234.800, 213, B05, S00, 1
B05, Trade, 237628.183, 213, B05, S02, 1
B05, Trade, 237785.717, 213, B05, S05, 1
B05, Trade, 237815.933, 213, B05, S03, 1
B05, Trade, 237895.300, 213, B05, S03, 1
B05, Trade, 237937.667, 213, B05, S03, 1
B05, Trade, 237981.817, 213, B05, S02, 1
B05, Trade, 238033.517, 213, B05, S02, 1
B05, Trade, 238135.333, 213, B05, S03, 1
B05, Trade, 238264.750, 213, B05, S03, 1
B05, Trade, 238635.083, 211, B05, S02, 1
B05, Trade, 238815.300, 213, B05, S03, 1
B05, Trade, 238819.617, 213, B05, S02, 1
B05, Trade, 239238.383, 209, B05, S02, 1
B05, Trade, 239262.217, 213, B05, S03, 1
B05, Trade, 239392.667, 213, B05, S03, 1
B05, Trade, 239549.750, 213, B05, S03, 1
B05, Trade, 239946.450, 213, B05, S05, 1
B05, Trade, 240551.700, 213, B05, S03, 1
B05, Trade, 240969.317, 213, B05, S03, 1
B05, Trade, 241067.250, 213, B05, S03, 1
B05, Trade, 241238.967, 213, B05, S02, 1
B05, Trade, 241529.517, 212, B05, S03, 1
B05, Trade, 241753.650, 212, B05, S03, 1
B05, Trade, 241874.850, 213, B05, S03, 1
B05, Trade, 241924.783, 213, B05, S03, 1
B05, Trade, 242083.983, 213, B05, S03, 1
B05, Trade, 242166.867, 213, B05, S04, 1
B05, Trade, 242262.567, 213, B05, S02, 1
B05, Trade, 242321.650, 213, B05, S03, 1
B05, Trade, 242475.867, 213, B05, S03, 1
B05, Trade, 242670.667, 213, S05, B05, 1
B05, Trade, 242924.417, 213, B05, S05, 1
B05, Trade, 243087.283, 213, B05, S03, 1
B05, Trade, 243102.433, 213, B05, S01, 1
B05, Trade, 243463.450, 213, B05, S05, 1
B05, Trade, 243675.717, 213, B05, S02, 1
B05, Trade, 243821.817, 213, B05, S03, 1
B05, Trade, 243918.583, 213, B05, S02, 1
B05, Trade, 243996.833, 213, B05, S03, 1
B05, Trade, 244360.183, 213, B05, S03, 1
B05, Trade, 244576.750, 213, B05, S05, 1
B05, Trade, 244662.767, 213, B05, S03, 1
B05, Trade, 252187.483, 213, B05, S03, 1
B05, Trade, 253155.033, 213, B05, S03, 1
B05, Trade, 253385.383, 213, B05, S03, 1
B05, Trade, 254134.133, 213, B05, S03, 1
B05, Trade, 255131.050, 213, B05, S00, 1
B05, Trade, 255595.533, 213, B05, S03, 1
B05, Trade, 255800.367, 213, B05, S03, 1
B05, Trade, 256175.933, 213, B05, S03, 1
B05, Trade, 256443.400, 213, B05, S02, 1
B05, Trade, 256482.533, 213, B05, S03, 1
B05, Trade, 257013.517, 212, B05, S03, 1
B05, Trade, 257593.633, 213, B05, S03, 1
B05, Trade, 258074.083, 213, B05, S00, 1
B05, Trade, 258280.033, 213, B05, S03, 1
B05, Trade, 259053.667, 213, B05, S03, 1
B05, Trade, 259061.883, 213, B05, S03, 1
B06, 100
B06, Trade, 193959.300, 216, B06, S00, 1
B06, Trade, 194086.700, 216, B06, S01, 1
B06, Trade, 194186.983, 212, B06, S01, 1
B06, Trade, 194253.817, 211, B06, S01, 1
B06, Trade, 197617.633, 212, B06, S03, 1
B06, Trade, 197780.817, 211, B06, S04, 1
B06, Trade, 200469.700, 215, B06, S00, 1
B06, Trade, 200781.333, 213, B06, S03, 1
B06, Trade, 201810.850, 213, B06, S00, 1
B06, Trade, 201892.217, 212, B06, S03, 1
B06, Trade, 202152.500, 207, B06, S01, 1
B06, Trade, 202874.483, 212, B06, S03, 1
B06, Trade, 202945.850, 215, B06, S00, 1
B06, Trade, 203428.650, 213, B06, S00, 1
B06, Trade, 203512.033, 215, B06, S03, 1
B06, Trade, 203781.333, 216, B06, S01, 1
B06, Trade, 204728.833, 214, B06, S01, 1
B06, Trade, 204859.233, 210, B06, S00, 1
B06, Trade, 205230.217, 214, B06, S03, 1
B06, Trade, 205372.083, 215, B06, S03, 1
B06, Trade, 205566.750, 216, B06, S04, 1
B06, Trade, 205576.817, 212, B06, S01, 1
B06, Trade, 205678.817, 211, S00, B06, 1
B06, Trade, 206134.567, 216, B06, S00, 1
B06, Trade, 206199.250, 209, B06, S00, 1
B06, Trade, 206613.033, 215, B06, S03, 1
B06, Trade, 206744.000, 212, B06, S03, 1
B06, Trade, 206750.600, 215, B06, S00, 1
B06, Trade, 207674.450, 212, B06, S03, 1
B06, Trade, 207676.850, 213, B06, S01, 1
B06, Trade, 207940.317, 214, B06, S03, 1
B06, Trade, 207984.133, 212, B06, S00, 1
B06, Trade, 208169.983, 215, B06, S00, 1
B06, Trade, 208256.417, 216, B06, S05, 1
B06, Trade, 208583.683, 214, B06, S03, 1
B06, Trade, 208712.950, 216, B06, S03, 1
B06, Trade, 223285.917, 211, B06, S00, 1
B06, Trade, 223449.233, 214, S04, B06, 1
B06, Trade, 223501.767, 215, S04, B06, 1
B06, Trade, 223620.867, 215, B06, S01, 1
B06, Trade, 223706.850, 212, B06, S01, 1
B06, Trade, 223782.383, 215, B06, S03, 1
B06, Trade, 224189.500, 216, B06, S01, 1
B06, Trade, 224294.017, 215, B06, S03, 1
B06, Trade, 224363.367, 212, B06, S04, 1
B06, Trade, 224383.467, 213, B06, S05, 1
B06, Trade, 224588.783, 216, B06, S03, 1
B06, Trade, 224602.817, 215, B06, S01, 1
B06, Trade, 224719.817, 215, B06, S02, 1
B06, Trade, 224923.250, 210, B06, S01, 1
B06, Trade, 224958.967, 216, B06, S03, 1
B06, Trade, 224967.900, 214, B06, S01, 1
B06, Trade, 225164.300, 216, B06, S04, 1
B06, Trade, 225522.050, 206, B06, S00, 1
B06, Trade, 225646.800, 212, B06, S02, 1
B06, Trade, 225690.900, 215, B06, S03, 1
B06, Trade, 226153.850, 215, B06, S00, 1
B06, Trade, 226188.500, 212, B06, S00, 1
B06, Trade, 226248.000, 214, B06, S00, 1
B06, Trade, 226401.250, 215, B06, S00, 1
B06, Trade, 226512.883, 215, B06, S03, 1
B06, Trade, 226698.733, 214, S04, B06, 1
B06, Trade, 227005.933, 216, B06, S05, 1
B06, Trade, 227083.883, 214, B06, S05, 1
B06, Trade, 227287.983, 213, B06, S03, 1
B06, Trade, 227356.467, 215, B06, S03, 1
B06, Trade, 227395.100, 212, B06, S01, 1
B06, Trade, 227536.050, 212, B06, S01, 1
