B00, 0
B01, 0
B02, 75
B02, Trade, 180051.517, 185, B02, S00, 1
B02, Trade, 180650.267, 185, B02, S02, 1
B02, Trade, 181000.067, 185, B02, S01, 1
B02, Trade, 181020.117, 184, B02, S01, 1
B02, Trade, 181352.600, 185, B02, S00, 1
B02, Trade, 181391.867, 185, B02, S00, 1
B02, Trade, 181547.133, 185, B02, S01, 1
B02, Trade, 181986.917, 185, B02, S00, 1
B02, Trade, 182760.783, 185, B02, S01, 1
B02, Trade, 183265.617, 185, B02, S00, 1
B02, Trade, 183347.967, 185, B02, S00, 1
B02, Trade, 183409.733, 185, B02, S00, 1
B02, Trade, 183423.133, 185, B02, S00, 1
B02, Trade, 184656.300, 185, B02, S01, 1
B02, Trade, 184775.050, 185, B02, S01, 1
B02, Trade, 185721.750, 185, B02, S00, 1
B02, Trade, 185858.683, 185, B02, S01, 1
B02, Trade, 185960.667, 185, B02, S01, 1
B02, Trade, 186426.250, 185, B02, S01, 1
B02, Trade, 186769.167, 185, B02, S00, 1
B02, Trade, 187155.550, 185, B02, S01, 1
B02, Trade, 187173.133, 185, B02, S01, 1
B02, Trade, 187181.000, 185, B02, S00, 1
B02, Trade, 187200.333, 185, B02, S00, 1
B02, Trade, 187607.950, 185, B02, S01, 1
B02, Trade, 188039.417, 185, B02, S01, 1
B02, Trade, 189376.350, 185, B02, S01, 1
B02, Trade, 193378.633, 185, B02, S01, 1
B02, Trade, 193559.883, 185, B02, S01, 1
B02, Trade, 194091.867, 185, B02, S01, 1
B02, Trade, 195684.667, 185, B02, S00, 1
B02, Trade, 196335.567, 183, B02, S00, 1
B02, Trade, 197628.467, 181, B02, S00, 1
B02, Trade, 197993.867, 185, B02, S00, 1
B02, Trade, 198593.517, 183, B02, S00, 1
B02, Trade, 198846.733, 184, B02, S00, 1
B02, Trade, 198945.317, 184, B02, S00, 1
B02, Trade, 199741.167, 183, B02, S00, 1
B02, Trade, 200375.800, 185, B02, S00, 1
B02, Trade, 201355.683, 185, B02, S00, 1
B02, Trade, 201521.250, 185, B02, S00, 1
B02, Trade, 224191.567, 184, B02, S01, 1
B02, Trade, 225548.050, 185, B02, S01, 1
B02, Trade, 225699.900, 184, B02, S01, 1
B02, Trade, 226390.950, 185, B02, S01, 1
B02, Trade, 228378.167, 184, B02, S01, 1
B02, Trade, 229432.433, 184, S01, B02, 1
B02, Trade, 230091.400, 184, S01, B02, 1
B02, Trade, 230101.150, 182, B02, S01, 1
B02, Trade, 230593.467, 185, B02, S01, 1
B02, Trade, 230638.600, 183, B02, S01, 1
B02, Trade, 230915.500, 185, B02, S01, 1
B02, Trade, 231041.567, 184, B02, S01, 1
B02, Trade, 231388.300, 185, B02, S01, 1
B02, Trade, 232123.783, 185, B02, S01, 1
B02, Trade, 232322.883, 184, S01, B02, 1
B02, Trade, 232572.583, 184, B02, S01, 1
B02, Trade, 232633.950, 183, B02, S00, 1
B02, Trade, 232706.750, 184, S01, B02, 1
B02, Trade, 232805.867, 183, B02, S00, 1
B02, Trade, 233265.833, 185, S01, B02, 1
B02, Trade, 233595.850, 185, B02, S01, 1
B02, Trade, 233615.200, 184, B02, S01, 1
B02, Trade, 234346.617, 183, B02, S01, 1
B02, Trade, 234448.617, 185, B02, S01, 1
B02, Trade, 234922.767, 185, B02, S01, 1
B02, Trade, 235391.117, 185, B02, S01, 1
B02, Trade, 235825.033, 185, B02, S01, 1
B02, Trade, 235937.100, 184, B02, S01, 1
B02, Trade, 236111.217, 185, B02, S01, 1
B02, Trade, 236493.667, 185, B02, S00, 1
B02, Trade, 236507.517, 185, B02, S01, 1
B02, Trade, 236535.933, 185, B02, S00, 1
B02, Trade, 236598.550, 185, B02, S01, 1
B02, Trade, 237503.700, 184, B02, S00, 1
B03, 19
B03, Trade, 27449.133, 68, B03, S02, 1
B03, Trade, 88041.250, 108, B03, S00, 1
B03, Trade, 88518.550, 107, B03, S01, 1
B03, Trade, 91042.683, 108, B03, S01, 1
B03, Trade, 91741.117, 107, B03, S00, 1
B03, Trade, 159417.383, 107, B03, S00, 1
B03, Trade, 197641.400, 186, B03, S00, 1
B03, Trade, 198884.683, 188, B03, S00, 1
B03, Trade, 200187.467, 187, B03, S00, 1
B03, Trade, 205641.867, 183, B03, S01, 1
B03, Trade, 211184.900, 188, B03, S00, 1
B03, Trade, 211203.867, 188, B03, S00, 1
B03, Trade, 213863.450, 187, B03, S00, 1
B03, Trade, 215870.483, 187, S01, B03, 1
