B00, 5
B00, Trade, 182202.600, 180, B00, S00, 1
B00, Trade, 182385.817, 180, S00, B00, 1
B00, Trade, 183874.067, 180, B00, S00, 1
B00, Trade, 185469.450, 180, B00, S00, 1
B00, Trade, 186508.167, 180, B00, S00, 1
B01, 4
B01, Trade, 181924.500, 182, B01, S00, 1
B01, Trade, 253437.467, 182, B01, S00, 1
B01, Trade, 254380.700, 182, B01, S00, 1
B01, Trade, 257202.400, 182, B01, S00, 1
B02, 44
B02, Trade, 81906.983, 65, B02, S00, 1
B02, Trade, 174822.117, 183, S00, B02, 1
B02, Trade, 252010.867, 185, B02, S01, 1
B02, Trade, 252018.083, 185, B02, S01, 1
B02, Trade, 252395.750, 185, S01, B02, 1
B02, Trade, 252400.300, 182, B02, S00, 1
B02, Trade, 252508.717, 185, B02, S00, 1
B02, Trade, 252611.133, 185, B02, S00, 1
B02, Trade, 252689.317, 185, B02, S01, 1
B02, Trade, 252698.067, 185, B02, S00, 1
B02, Trade, 252721.633, 185, B02, S00, 1
B02, Trade, 252848.300, 185, B02, S01, 1
B02, Trade, 252884.750, 185, B02, S00, 1
B02, Trade, 252949.633, 185, B02, S00, 1
B02, Trade, 253175.533, 185, B02, S01, 1
B02, Trade, 253258.333, 185, B02, S01, 1
B02, Trade, 253844.567, 185, B02, S00, 1
B02, Trade, 253972.067, 185, B02, S00, 1
B02, Trade, 253995.233, 185, B02, S01, 1
B02, Trade, 254053.183, 185, B02, S01, 1
B02, Trade, 254061.983, 185, B02, S01, 1
B02, Trade, 254392.833, 185, B02, S00, 1
B02, Trade, 254505.500, 185, B02, S01, 1
B02, Trade, 254543.250, 185, B02, S00, 1
B02, Trade, 254562.917, 185, B02, S01, 1
B02, Trade, 254569.650, 184, B02, S01, 1
B02, Trade, 254933.667, 185, B02, S00, 1
B02, Trade, 254941.633, 185, B02, S00, 1
B02, Trade, 255230.883, 185, B02, S00, 1
B02, Trade, 255532.633, 185, B02, S00, 1
B02, Trade, 255718.933, 185, B02, S01, 1
B02, Trade, 256007.300, 185, B02, S01, 1
B02, Trade, 256106.067, 185, B02, S00, 1
B02, Trade, 256814.500, 185, B02, S00, 1
B02, Trade, 256922.200, 185, B02, S01, 1
B02, Trade, 257202.317, 185, B02, S02, 1
B02, Trade, 257557.467, 185, B02, S00, 1
B02, Trade, 257645.250, 185, B02, S01, 1
B02, Trade, 257870.583, 185, B02, S00, 1
B02, Trade, 257920.900, 185, B02, S00, 1
B02, Trade, 258067.667, 185, B02, S00, 1
B02, Trade, 258417.467, 185, B02, S00, 1
B02, Trade, 258424.200, 185, B02, S01, 1
B02, Trade, 258627.117, 185, B02, S00, 1
B03, 90
B03, Trade, 94505.350, 108, B03, S00, 1
B03, Trade, 101027.717, 108, B03, S02, 1
B03, Trade, 101992.517, 108, B03, S00, 1
B03, Trade, 102260.800, 108, B03, S00, 1
B03, Trade, 103256.317, 107, S00, B03, 1
B03, Trade, 104075.217, 108, B03, S00, 1
B03, Trade, 104475.800, 108, B03, S00, 1
B03, Trade, 104852.883, 108, B03, S00, 1
B03, Trade, 105276.533, 108, B03, S00, 1
B03, Trade, 105541.217, 108, B03, S00, 1
B03, Trade, 107095.983, 108, B03, S02, 1
B03, Trade, 107160.533, 108, B03, S00, 1
B03, Trade, 107437.050, 108, B03, S02, 1
B03, Trade, 107600.350, 108, B03, S00, 1
B03, Trade, 107661.567, 108, B03, S00, 1
B03, Trade, 107962.017, 108, B03, S00, 1
B03, Trade, 107996.683, 108, B03, S00, 1
B03, Trade, 191118.050, 187, B03, S01, 1
B03, Trade, 201641.600, 188, B03, S01, 1
B03, Trade, 201724.017, 188, B03, S01, 1
B03, Trade, 201788.533, 188, B03, S00, 1
B03, Trade, 201820.017, 188, B03, S01, 1
B03, Trade, 201858.050, 188, B03, S00, 1
B03, Trade, 202170.233, 188, B03, S00, 1
B03, Trade, 202188.450, 188, B03, S01, 1
B03, Trade, 202227.150, 188, B03, S01, 1
B03, Trade, 202323.250, 188, B03, S01, 1
B03, Trade, 202433.083, 188, B03, S00, 1
B03, Trade, 202451.483, 184, B03, S01, 1
B03, Trade, 202553.467, 183, B03, S01, 1
B03, Trade, 202756.933, 188, B03, S00, 1
B03, Trade, 202885.417, 188, B03, S00, 1
B03, Trade, 202911.700, 188, B03, S01, 1
B03, Trade, 202947.283, 188, B03, S00, 1
B03, Trade, 203003.417, 188, B03, S01, 1
B03, Trade, 203263.367, 188, B03, S01, 1
B03, Trade, 203271.733, 188, B03, S01, 1
B03, Trade, 203288.783, 188, B03, S01, 1
B03, Trade, 203307.483, 188, B03, S01, 1
B03, Trade, 203410.483, 183, S01, B03, 1
B03, Trade, 203462.267, 188, B03, S01, 1
B03, Trade, 203474.417, 188, B03, S00, 1
B03, Trade, 203731.883, 188, B03, S02, 1
B03, Trade, 203766.650, 188, B03, S01, 1
B03, Trade, 203848.800, 188, B03, S03, 1
B03, Trade, 203921.833, 184, B03, S01, 1
B03, Trade, 204279.300, 188, B03, S00, 1
B03, Trade, 204300.633, 181, B03, S00, 1
B03, Trade, 204456.150, 188, B03, S01, 1
B03, Trade, 204504.583, 188, B03, S01, 1
B03, Trade, 204680.950, 188, B03, S00, 1
B03, Trade, 204749.067, 183, B03, S01, 1
B03, Trade, 204759.383, 188, B03, S01, 1
B03, Trade, 204828.217, 188, B03, S00, 1
B03, Trade, 204997.067, 183, B03, S01, 1
B03, Trade, 205004.567, 188, B03, S00, 1
B03, Trade, 205049.217, 188, B03, S01, 1
B03, Trade, 205104.400, 188, B03, S01, 1
B03, Trade, 205134.317, 188, B03, S00, 1
B03, Trade, 205169.317, 188, B03, S00, 1
B03, Trade, 205417.833, 188, B03, S01, 1
B03, Trade, 205641.600, 188, B03, S01, 1
B03, Trade, 205834.883, 188, B03, S00, 1
B03, Trade, 205888.250, 188, B03, S01, 1
B03, Trade, 205943.667, 188, B03, S01, 1
B03, Trade, 206204.417, 188, B03, S01, 1
B03, Trade, 206228.083, 188, B03, S01, 1
B03, Trade, 206237.633, 188, B03, S00, 1
B03, Trade, 206271.550, 188, B03, S00, 1
B03, Trade, 206382.100, 188, B03, S00, 1
B03, Trade, 206857.117, 188, B03, S01, 1
B03, Trade, 207031.083, 188, B03, S01, 1
B03, Trade, 207307.767, 188, B03, S00, 1
B03, Trade, 207506.933, 188, B03, S00, 1
B03, Trade, 207577.533, 188, B03, S01, 1
B03, Trade, 207635.117, 188, B03, S01, 1
B03, Trade, 207745.300, 188, B03, S03, 1
