B00, 0
B01, 1
B01, Trade, 211571.817, 182, B01, S01, 1
B02, 11
B02, Trade, 123457.017, 105, B02, S01, 1
B02, Trade, 172805.850, 157, S21, B02, 1
B02, Trade, 225702.667, 185, B02, S02, 1
B02, Trade, 229399.500, 185, B02, S01, 1
B02, Trade, 230135.633, 185, B02, S01, 1
B02, Trade, 230259.100, 185, B02, S01, 1
B02, Trade, 239203.400, 185, B02, S01, 1
B02, Trade, 239372.300, 185, B02, S01, 1
B02, Trade, 239651.500, 185, B02, S01, 1
B02, Trade, 240698.667, 185, B02, S01, 1
B02, Trade, 243563.483, 185, B02, S01, 1
B03, 17
B03, Trade, 127584.083, 108, B03, S01, 1
B03, Trade, 180458.467, 188, B03, S01, 1
B03, Trade, 180581.767, 188, B03, S01, 1
B03, Trade, 180638.250, 188, B03, S01, 1
B03, Trade, 182309.133, 188, B03, S03, 1
B03, Trade, 182782.267, 188, B03, S01, 1
B03, Trade, 183316.533, 188, B03, S00, 1
B03, Trade, 183359.150, 188, B03, S01, 1
B03, Trade, 183395.450, 188, B03, S01, 1
B03, Trade, 183863.200, 188, B03, S03, 1
B03, Trade, 184616.117, 188, B03, S03, 1
B03, Trade, 184637.117, 188, B03, S01, 1
B03, Trade, 185485.250, 188, B03, S01, 1
B03, Trade, 186591.533, 188, B03, S00, 1
B03, Trade, 193384.983, 188, B03, S01, 1
B03, Trade, 254924.567, 184, B03, S01, 1
B03, Trade, 256445.100, 186, B03, S01, 1
B04, 29
B04, Trade, 95668.917, 111, B04, S00, 1
B04, Trade, 97496.850, 111, B04, S03, 1
B04, Trade, 100836.333, 111, B04, S00, 1
B04, Trade, 104006.917, 111, B04, S01, 1
B04, Trade, 105542.783, 111, B04, S02, 1
B04, Trade, 105862.783, 111, B04, S01, 1
B04, Trade, 106150.567, 110, B04, S01, 1
B04, Trade, 107622.817, 110, B04, S02, 1
B04, Trade, 117218.767, 111, B04, S03, 1
B04, Trade, 118407.383, 109, B04, S03, 1
B04, Trade, 122238.133, 111, B04, S02, 1
B04, Trade, 124121.267, 110, B04, S01, 1
B04, Trade, 124198.317, 111, B04, S01, 1
B04, Trade, 125926.183, 111, B04, S01, 1
B04, Trade, 133905.550, 111, B04, S01, 1
B04, Trade, 145386.233, 111, B04, S02, 1
B04, Trade, 166970.033, 108, B04, S01, 1
B04, Trade, 175490.650, 189, B04, S03, 1
B04, Trade, 179983.717, 191, B04, S01, 1
B04, Trade, 180502.083, 191, B04, S04, 1
