B00, 1
B00, Trade, 172805.100, 131, S11, B00, 1
B01, 0
B02, 3
B02, Trade, 128825.900, 105, B02, S00, 1
B02, Trade, 182247.667, 185, B02, S01, 1
B02, Trade, 191211.617, 182, B02, S01, 1
B03, 6
B03, Trade, 172805.767, 172, S25, B03, 1
B03, Trade, 187418.700, 188, B03, S01, 1
B03, Trade, 187655.650, 187, S02, B03, 1
B03, Trade, 188493.700, 185, B03, S00, 1
B03, Trade, 188734.050, 183, B03, S01, 1
B03, Trade, 192037.700, 187, B03, S02, 1
B04, 67
B04, Trade, 66889.467, 71, B04, S00, 1
B04, Trade, 69467.783, 71, B04, S04, 1
B04, Trade, 94077.083, 110, B04, S03, 1
B04, Trade, 94227.150, 110, S03, B04, 1
B04, Trade, 96020.000, 111, B04, S00, 1
B04, Trade, 96089.033, 111, B04, S03, 1
B04, Trade, 96259.217, 109, S03, B04, 1
B04, Trade, 96484.050, 110, B04, S02, 1
B04, Trade, 96593.117, 108, S03, B04, 1
B04, Trade, 96782.500, 111, B04, S03, 1
B04, Trade, 97330.900, 111, B04, S00, 1
B04, Trade, 97493.233, 111, B04, S01, 1
B04, Trade, 98357.333, 110, B04, S03, 1
B04, Trade, 99048.033, 111, B04, S03, 1
B04, Trade, 99236.333, 111, B04, S02, 1
B04, Trade, 99263.083, 108, B04, S02, 1
B04, Trade, 99859.017, 111, B04, S02, 1
B04, Trade, 99977.450, 111, B04, S03, 1
B04, Trade, 114672.267, 111, B04, S00, 1
B04, Trade, 134252.900, 109, B04, S01, 1
B04, Trade, 146171.167, 111, B04, S01, 1
B04, Trade, 149543.700, 111, B04, S01, 1
B04, Trade, 186732.767, 191, B04, S02, 1
B04, Trade, 192813.717, 188, S03, B04, 1
B04, Trade, 195123.833, 191, B04, S03, 1
B04, Trade, 195394.433, 191, B04, S02, 1
B04, Trade, 195520.967, 190, B04, S03, 1
B04, Trade, 197252.150, 191, B04, S04, 1
B04, Trade, 197255.650, 190, B04, S03, 1
B04, Trade, 197940.450, 191, B04, S04, 1
B04, Trade, 198743.483, 188, B04, S00, 1
B04, Trade, 199432.267, 189, B04, S00, 1
B04, Trade, 199509.267, 191, B04, S04, 1
B04, Trade, 199593.950, 188, B04, S00, 1
B04, Trade, 200468.883, 190, B04, S03, 1
B04, Trade, 200761.600, 191, B04, S03, 1
B04, Trade, 200848.950, 191, B04, S04, 1
B04, Trade, 201009.117, 191, B04, S04, 1
B04, Trade, 201256.350, 191, B04, S04, 1
B04, Trade, 201715.317, 191, B04, S01, 1
B04, Trade, 201962.100, 190, B04, S03, 1
B04, Trade, 202034.633, 191, B04, S04, 1
B04, Trade, 202098.817, 191, S03, B04, 1
B04, Trade, 202365.850, 191, B04, S00, 1
B04, Trade, 202405.117, 191, B04, S04, 1
B04, Trade, 202622.133, 191, B04, S01, 1
B04, Trade, 202673.267, 190, B04, S03, 1
B04, Trade, 202953.783, 191, B04, S01, 1
B04, Trade, 203082.033, 191, B04, S04, 1
B04, Trade, 203794.500, 190, B04, S01, 1
B04, Trade, 204637.833, 189, B04, S01, 1
B04, Trade, 204719.417, 191, B04, S01, 1
B04, Trade, 204884.733, 191, B04, S01, 1
B04, Trade, 204994.283, 191, B04, S01, 1
B04, Trade, 205330.600, 191, B04, S02, 1
B04, Trade, 205901.967, 190, B04, S03, 1
B04, Trade, 206106.183, 191, S04, B04, 1
B04, Trade, 206136.967, 191, S04, B04, 1
B04, Trade, 206448.100, 190, S01, B04, 1
B04, Trade, 207269.450, 191, B04, S01, 1
B04, Trade, 207358.133, 191, B04, S01, 1
B04, Trade, 207578.883, 191, S04, B04, 1
B04, Trade, 207668.533, 191, B04, S02, 1
B04, Trade, 207676.550, 191, B04, S01, 1
B04, Trade, 207784.650, 191, B04, S03, 1
B04, Trade, 207823.417, 190, S03, B04, 1
B04, Trade, 208292.817, 190, B04, S02, 1
B05, 100
B05, Trade, 246120.883, 191, B05, S02, 1
B05, Trade, 246149.500, 191, B05, S03, 1
B05, Trade, 246177.650, 193, B05, S03, 1
B05, Trade, 246193.533, 193, B05, S03, 1
B05, Trade, 246304.850, 190, B05, S02, 1
B05, Trade, 246483.200, 191, B05, S02, 1
B05, Trade, 246567.467, 192, B05, S02, 1
B05, Trade, 246913.533, 191, B05, S02, 1
B05, Trade, 248307.417, 193, B05, S01, 1
B05, Trade, 248352.450, 193, B05, S03, 1
B05, Trade, 248430.500, 191, B05, S03, 1
B05, Trade, 248519.133, 190, B05, S03, 1
B05, Trade, 248539.883, 193, B05, S03, 1
B05, Trade, 248674.933, 189, B05, S03, 1
B05, Trade, 248742.350, 193, B05, S01, 1
B05, Trade, 248780.367, 193, B05, S02, 1
B05, Trade, 248934.783, 193, B05, S03, 1
B05, Trade, 249172.467, 193, B05, S01, 1
B05, Trade, 249221.050, 189, S03, B05, 1
B05, Trade, 249350.883, 193, B05, S03, 1
B05, Trade, 249431.733, 193, B05, S03, 1
B05, Trade, 249500.183, 193, B05, S03, 1
B05, Trade, 249617.833, 193, B05, S02, 1
B05, Trade, 249634.050, 193, B05, S03, 1
B05, Trade, 250209.583, 191, B05, S01, 1
B05, Trade, 250260.767, 193, B05, S02, 1
B05, Trade, 250272.433, 191, B05, S03, 1
B05, Trade, 250330.550, 192, B05, S02, 1
B05, Trade, 250611.917, 192, B05, S01, 1
B05, Trade, 250617.550, 193, B05, S03, 1
