B00, 0
B01, 0
B02, 1
B02, Trade, 540857.933, 65, B02, S00, 1
B03, 15
B03, Trade, 167590.717, 68, B03, S00, 1
B03, Trade, 288951.333, 66, B03, S00, 1
B03, Trade, 309447.767, 68, B03, S01, 1
B03, Trade, 332761.767, 68, B03, S02, 1
B03, Trade, 333497.633, 68, B03, S00, 1
B03, Trade, 335469.017, 68, B03, S00, 1
B03, Trade, 347980.617, 68, B03, S01, 1
B03, Trade, 428476.550, 68, B03, S03, 1
B03, Trade, 482860.717, 68, B03, S01, 1
B03, Trade, 495105.867, 68, B03, S00, 1
B03, Trade, 786350.084, 68, B03, S01, 1
B03, Trade, 789794.751, 68, B03, S02, 1
B03, Trade, 823968.401, 68, B03, S00, 1
B03, Trade, 830949.118, 68, S03, B03, 1
B03, Trade, 849151.968, 68, B03, S02, 1
B04, 100
B04, Trade, 181935.533, 71, B04, S01, 1
B04, Trade, 182007.483, 71, B04, S00, 1
B04, Trade, 182192.917, 71, B04, S01, 1
B04, Trade, 184847.483, 66, B04, S01, 1
B04, Trade, 184993.767, 71, B04, S02, 1
B04, Trade, 205071.017, 71, B04, S00, 1
B04, Trade, 205601.400, 70, B04, S01, 1
B04, Trade, 206179.117, 71, B04, S00, 1
B04, Trade, 206421.117, 71, B04, S02, 1
B04, Trade, 207154.350, 71, B04, S01, 1
B04, Trade, 207202.750, 71, B04, S02, 1
B04, Trade, 207991.067, 71, B04, S02, 1
B04, Trade, 208088.933, 71, B04, S02, 1
B04, Trade, 212734.767, 71, B04, S00, 1
B04, Trade, 213718.033, 71, B04, S00, 1
B04, Trade, 216993.867, 71, B04, S00, 1
B04, Trade, 232864.267, 71, B04, S01, 1
B04, Trade, 252174.567, 70, B04, S01, 1
B04, Trade, 252964.217, 71, B04, S00, 1
B04, Trade, 253340.700, 71, B04, S01, 1
B04, Trade, 254331.467, 71, B04, S01, 1
B04, Trade, 254799.117, 71, B04, S01, 1
B04, Trade, 257275.750, 71, B04, S02, 1
B04, Trade, 257870.150, 71, B04, S01, 1
B04, Trade, 259484.183, 69, B04, S00, 1
B04, Trade, 264010.517, 70, B04, S01, 1
B04, Trade, 266271.500, 70, B04, S03, 1
B04, Trade, 283224.533, 71, B04, S02, 1
B04, Trade, 286434.867, 71, B04, S00, 1
B04, Trade, 287001.550, 71, B04, S00, 1
B04, Trade, 287306.717, 71, B04, S00, 1
B04, Trade, 288374.450, 71, B04, S02, 1
B04, Trade, 290409.733, 70, B04, S02, 1
B04, Trade, 291874.583, 69, B04, S02, 1
B04, Trade, 292444.617, 71, B04, S00, 1
B04, Trade, 293949.917, 70, B04, S00, 1
B04, Trade, 327798.367, 71, B04, S01, 1
B04, Trade, 331617.367, 71, B04, S01, 1
B04, Trade, 332545.900, 70, B04, S01, 1
B04, Trade, 332761.883, 67, B04, S01, 1
B04, Trade, 335231.950, 71, B04, S01, 1
B04, Trade, 335791.667, 71, B04, S03, 1
B04, Trade, 337293.267, 71, B04, S00, 1
B04, Trade, 338344.783, 71, B04, S01, 1
B04, Trade, 345923.133, 71, B04, S00, 1
B04, Trade, 346946.233, 71, B04, S00, 1
B04, Trade, 346979.550, 71, B04, S03, 1
