B00, 0
B01, 1
B01, Trade, 207130.917, 62, B01, S00, 1
B02, 3
B02, Trade, 71433.400, 65, B02, S01, 1
B02, Trade, 177624.900, 65, B02, S00, 1
B02, Trade, 330278.583, 65, B02, S00, 1
B03, 29
B03, Trade, 22924.683, 68, B03, S02, 1
B03, Trade, 33227.583, 68, B03, S01, 1
B03, Trade, 68360.867, 68, B03, S00, 1
B03, Trade, 68464.683, 67, B03, S00, 1
B03, Trade, 93815.167, 68, B03, S01, 1
B03, Trade, 126654.733, 68, B03, S02, 1
B03, Trade, 126994.600, 67, B03, S01, 1
B03, Trade, 129084.933, 68, B03, S01, 1
B03, Trade, 131016.500, 67, B03, S01, 1
B03, Trade, 140049.033, 68, B03, S01, 1
B03, Trade, 203101.967, 68, B03, S01, 1
B03, Trade, 204194.100, 67, B03, S01, 1
B03, Trade, 205389.450, 68, B03, S00, 1
B03, Trade, 206026.583, 67, B03, S01, 1
B03, Trade, 206760.700, 68, B03, S01, 1
B03, Trade, 207129.383, 68, B03, S01, 1
B03, Trade, 207702.433, 67, B03, S02, 1
B03, Trade, 216642.950, 68, B03, S01, 1
B03, Trade, 298285.483, 68, B03, S01, 1
B03, Trade, 314659.833, 68, B03, S01, 1
B03, Trade, 315824.450, 68, B03, S00, 1
B03, Trade, 328971.783, 68, B03, S00, 1
B03, Trade, 329944.333, 68, B03, S02, 1
B03, Trade, 380121.467, 66, B03, S01, 1
B03, Trade, 384659.467, 68, B03, S02, 1
B03, Trade, 387970.000, 68, B03, S01, 1
B03, Trade, 394400.250, 68, B03, S02, 1
B03, Trade, 475102.817, 67, B03, S02, 1
B03, Trade, 743064.134, 68, B03, S01, 1
B04, 100
B04, Trade, 326060.050, 71, B04, S02, 1
B04, Trade, 326476.700, 71, B04, S02, 1
B04, Trade, 326517.617, 71, B04, S04, 1
B04, Trade, 326975.983, 71, B04, S03, 1
B04, Trade, 327027.900, 71, B04, S02, 1
B04, Trade, 327394.583, 71, B04, S00, 1
B04, Trade, 327475.717, 71, B04, S03, 1
