B00, 0
B01, 0
B02, 2
B02, Trade, 654643.450, 65, B02, S02, 1
B02, Trade, 726022.617, 65, B02, S02, 1
B03, 10
B03, Trade, 614151.167, 66, S02, B03, 1
B03, Trade, 615081.584, 68, B03, S00, 1
B03, Trade, 617425.417, 68, B03, S00, 1
B03, Trade, 720216.767, 67, B03, S01, 1
B03, Trade, 723274.751, 68, B03, S00, 1
B03, Trade, 725975.051, 68, B03, S01, 1
B03, Trade, 726465.551, 68, B03, S02, 1
B03, Trade, 836486.501, 68, B03, S02, 1
B03, Trade, 836778.818, 68, B03, S00, 1
B03, Trade, 838442.118, 68, B03, S01, 1
B04, 43
B04, Trade, 194423.633, 71, B04, S03, 1
B04, Trade, 194447.500, 68, B04, S01, 1
B04, Trade, 196067.683, 71, B04, S00, 1
B04, Trade, 196353.150, 71, B04, S04, 1
B04, Trade, 196980.233, 71, B04, S03, 1
B04, Trade, 197784.400, 71, B04, S04, 1
B04, Trade, 199705.917, 71, B04, S00, 1
B04, Trade, 200239.867, 71, B04, S00, 1
B04, Trade, 235173.967, 71, B04, S01, 1
B04, Trade, 238538.167, 71, B04, S02, 1
B04, Trade, 239326.217, 71, B04, S03, 1
B04, Trade, 240626.900, 71, B04, S02, 1
B04, Trade, 242001.317, 71, B04, S03, 1
B04, Trade, 242403.367, 71, B04, S01, 1
B04, Trade, 273836.217, 71, B04, S03, 1
B04, Trade, 303762.467, 71, B04, S00, 1
B04, Trade, 304554.900, 71, B04, S03, 1
B04, Trade, 304760.500, 71, B04, S03, 1
B04, Trade, 304942.783, 70, B04, S00, 1
B04, Trade, 305816.967, 71, B04, S04, 1
B04, Trade, 306354.533, 69, S03, B04, 1
B04, Trade, 307128.900, 71, B04, S03, 1
B04, Trade, 308518.250, 71, B04, S00, 1
B04, Trade, 309365.450, 71, B04, S03, 1
B04, Trade, 309506.867, 71, B04, S01, 1
B04, Trade, 340192.533, 71, B04, S00, 1
B04, Trade, 340856.967, 71, B04, S00, 1
B04, Trade, 393073.850, 71, B04, S04, 1
B04, Trade, 395126.917, 71, B04, S01, 1
B04, Trade, 395274.817, 71, B04, S00, 1
B04, Trade, 418556.283, 71, B04, S02, 1
B04, Trade, 452653.617, 71, B04, S01, 1
B04, Trade, 677215.600, 68, B04, S00, 1
B04, Trade, 691428.434, 71, B04, S02, 1
B04, Trade, 744277.234, 71, B04, S00, 1
B04, Trade, 745294.134, 71, B04, S00, 1
B04, Trade, 760956.267, 71, B04, S04, 1
B04, Trade, 762734.717, 71, B04, S00, 1
B04, Trade, 762922.284, 71, B04, S00, 1
B04, Trade, 836577.951, 67, B04, S00, 1
B04, Trade, 836618.484, 67, B04, S00, 1
B04, Trade, 839485.868, 67, B04, S00, 1
B04, Trade, 852845.651, 71, B04, S01, 1
B05, 100
B05, Trade, 424054.283, 73, B05, S02, 1
B05, Trade, 424090.400, 72, B05, S02, 1
B05, Trade, 424307.500, 73, B05, S00, 1
B05, Trade, 424584.633, 73, B05, S00, 1
B05, Trade, 424720.900, 73, B05, S04, 1
B05, Trade, 476645.817, 73, B05, S02, 1
B05, Trade, 517621.833, 73, B05, S01, 1
B05, Trade, 539759.567, 73, B05, S00, 1
B05, Trade, 545531.067, 73, B05, S00, 1
B05, Trade, 625786.117, 73, B05, S00, 1
B05, Trade, 639705.050, 73, B05, S04, 1
B05, Trade, 646501.550, 73, B05, S02, 1
B05, Trade, 646731.617, 73, B05, S02, 1
B05, Trade, 650259.350, 73, B05, S04, 1
B05, Trade, 662744.984, 73, B05, S04, 1
B05, Trade, 666810.817, 73, B05, S00, 1
B05, Trade, 731374.317, 72, B05, S00, 1
B05, Trade, 733797.401, 73, B05, S04, 1
B05, Trade, 742122.517, 73, B05, S00, 1
B05, Trade, 744568.867, 72, B05, S02, 1
B05, Trade, 744914.701, 73, B05, S00, 1
B05, Trade, 746334.217, 72, B05, S01, 1
B05, Trade, 746741.451, 73, B05, S02, 1
B05, Trade, 756212.401, 72, B05, S02, 1
B05, Trade, 756226.001, 73, B05, S00, 1
B05, Trade, 756304.167, 72, B05, S02, 1
B05, Trade, 756420.201, 73, B05, S02, 1
B05, Trade, 756948.734, 73, B05, S04, 1
B05, Trade, 757238.801, 73, B05, S00, 1
B05, Trade, 757353.551, 73, B05, S00, 1
B05, Trade, 757374.717, 73, B05, S00, 1
B05, Trade, 757668.134, 72, B05, S00, 1
B05, Trade, 757686.684, 73, B05, S00, 1
B05, Trade, 757700.434, 73, S02, B05, 1
B05, Trade, 757817.267, 73, B05, S00, 1
B05, Trade, 758027.134, 73, B05, S02, 1
B05, Trade, 758282.134, 72, B05, S00, 1
B05, Trade, 758649.184, 73, B05, S02, 1
B05, Trade, 758832.751, 72, B05, S00, 1
B05, Trade, 759155.534, 73, B05, S05, 1
B05, Trade, 759234.334, 73, B05, S00, 1
B05, Trade, 759713.201, 73, B05, S02, 1
B05, Trade, 759902.817, 73, B05, S02, 1
B05, Trade, 760077.817, 73, B05, S00, 1
B05, Trade, 760267.717, 73, B05, S04, 1
B05, Trade, 760884.034, 73, B05, S04, 1
B05, Trade, 760901.567, 73, B05, S00, 1
B05, Trade, 761130.751, 73, B05, S04, 1
B05, Trade, 761471.501, 72, B05, S02, 1
B05, Trade, 761949.634, 73, B05, S03, 1
B05, Trade, 762220.334, 73, B05, S04, 1
B05, Trade, 762259.417, 73, B05, S04, 1
B05, Trade, 762459.751, 73, B05, S00, 1
B05, Trade, 762734.484, 73, B05, S02, 1
B05, Trade, 762922.801, 73, B05, S04, 1
B05, Trade, 781193.101, 73, B05, S02, 1
B05, Trade, 783045.601, 73, B05, S00, 1
B05, Trade, 783434.417, 73, B05, S04, 1
B05, Trade, 784233.117, 73, B05, S00, 1
B05, Trade, 819900.318, 72, B05, S04, 1
B05, Trade, 824720.484, 73, B05, S02, 1
B05, Trade, 824938.668, 73, B05, S04, 1
B05, Trade, 825724.718, 73, B05, S00, 1
B05, Trade, 829223.001, 73, B05, S04, 1
B05, Trade, 831916.101, 72, B05, S00, 1
B05, Trade, 832118.468, 73, B05, S04, 1
B05, Trade, 834504.051, 73, B05, S04, 1
B05, Trade, 835545.901, 73, B05, S04, 1
B05, Trade, 836296.084, 73, B05, S01, 1
B05, Trade, 836485.901, 73, B05, S01, 1
B05, Trade, 836577.484, 73, B05, S02, 1
B05, Trade, 837677.468, 72, B05, S02, 1
B05, Trade, 837989.434, 73, B05, S00, 1
B05, Trade, 838355.601, 73, B05, S02, 1
B05, Trade, 838378.984, 72, B05, S02, 1
B05, Trade, 838441.918, 73, B05, S02, 1
B05, Trade, 838483.984, 73, B05, S04, 1
B05, Trade, 838808.618, 73, B05, S01, 1
B05, Trade, 839331.118, 73, B05, S02, 1
B05, Trade, 839485.484, 73, B05, S02, 1
B05, Trade, 839924.818, 73, B05, S01, 1
B05, Trade, 839949.801, 73, B05, S00, 1
