B00, 0
B01, 2
B01, Trade, 225338.867, 62, B01, S00, 1
B01, Trade, 332802.783, 62, B01, S00, 1
B02, 4
B02, Trade, 229702.033, 65, B02, S02, 1
B02, Trade, 329316.250, 65, B02, S00, 1
B02, Trade, 454794.133, 64, S01, B02, 1
B02, Trade, 547280.517, 65, B02, S00, 1
B03, 7
B03, Trade, 190523.550, 68, B03, S01, 1
B03, Trade, 191962.833, 68, B03, S00, 1
B03, Trade, 642908.934, 68, B03, S00, 1
B03, Trade, 644261.717, 68, B03, S01, 1
B03, Trade, 646424.367, 68, B03, S01, 1
B03, Trade, 792774.567, 68, B03, S00, 1
B03, Trade, 798172.234, 68, B03, S00, 1
B04, 81
B04, Trade, 132795.100, 71, B04, S01, 1
B04, Trade, 224040.017, 71, B04, S00, 1
B04, Trade, 224443.150, 71, B04, S00, 1
B04, Trade, 224723.967, 71, B04, S04, 1
B04, Trade, 224969.450, 71, B04, S00, 1
B04, Trade, 225265.050, 71, B04, S04, 1
B04, Trade, 228049.533, 68, S03, B04, 1
B04, Trade, 228541.533, 71, B04, S02, 1
B04, Trade, 228636.033, 71, B04, S04, 1
B04, Trade, 229433.133, 71, S03, B04, 1
B04, Trade, 245394.867, 71, B04, S03, 1
B04, Trade, 245822.983, 66, B04, S02, 1
B04, Trade, 246087.533, 64, B04, S00, 1
B04, Trade, 249762.583, 71, B04, S01, 1
B04, Trade, 260596.083, 71, B04, S03, 1
B04, Trade, 270580.900, 71, B04, S03, 1
B04, Trade, 295704.550, 71, B04, S02, 1
B04, Trade, 299219.467, 71, B04, S01, 1
B04, Trade, 299500.233, 71, B04, S01, 1
B04, Trade, 300250.967, 71, B04, S01, 1
B04, Trade, 300689.600, 71, B04, S01, 1
B04, Trade, 304182.833, 71, B04, S01, 1
B04, Trade, 307035.917, 71, B04, S02, 1
B04, Trade, 331466.967, 71, B04, S03, 1
B04, Trade, 331761.333, 71, B04, S01, 1
B04, Trade, 332111.317, 70, B04, S00, 1
B04, Trade, 332299.650, 71, B04, S03, 1
B04, Trade, 332404.467, 70, B04, S01, 1
B04, Trade, 332600.550, 71, B04, S03, 1
B04, Trade, 333430.867, 71, B04, S01, 1
B04, Trade, 333766.700, 69, B04, S00, 1
B04, Trade, 333921.033, 71, B04, S00, 1
B04, Trade, 335663.783, 71, B04, S03, 1
B04, Trade, 335754.050, 71, B04, S00, 1
B04, Trade, 336136.567, 70, B04, S01, 1
B04, Trade, 336830.100, 71, B04, S03, 1
B04, Trade, 337628.000, 71, B04, S00, 1
B04, Trade, 337751.550, 71, B04, S02, 1
B04, Trade, 337762.950, 69, B04, S03, 1
