B00, 0
B01, 0
B02, 5
B02, Trade, 151706.417, 65, B02, S01, 1
B02, Trade, 182020.317, 62, B02, S01, 1
B02, Trade, 264380.050, 65, B02, S01, 1
B02, Trade, 522718.850, 65, B02, S01, 1
B02, Trade, 605848.683, 65, B02, S00, 1
B03, 49
B03, Trade, 126878.167, 68, B03, S03, 1
B03, Trade, 184656.850, 67, B03, S01, 1
B03, Trade, 252487.300, 68, B03, S03, 1
B03, Trade, 254300.683, 68, B03, S03, 1
B03, Trade, 259429.517, 68, B03, S00, 1
B03, Trade, 259495.133, 68, B03, S00, 1
B03, Trade, 266763.733, 68, B03, S00, 1
B03, Trade, 333451.717, 68, B03, S00, 1
B03, Trade, 348050.483, 68, B03, S02, 1
B03, Trade, 351379.350, 68, B03, S03, 1
B03, Trade, 351696.000, 68, B03, S01, 1
B03, Trade, 352682.533, 68, B03, S03, 1
B03, Trade, 367808.600, 68, B03, S02, 1
B03, Trade, 367827.117, 68, B03, S02, 1
B03, Trade, 372422.917, 68, B03, S01, 1
B03, Trade, 372957.600, 68, B03, S01, 1
B03, Trade, 378809.417, 68, B03, S02, 1
B03, Trade, 381160.600, 68, B03, S02, 1
B03, Trade, 382394.800, 68, B03, S01, 1
B03, Trade, 383596.050, 68, B03, S01, 1
B03, Trade, 384406.867, 68, B03, S01, 1
B03, Trade, 384890.517, 68, B03, S01, 1
B03, Trade, 386793.867, 68, B03, S01, 1
B03, Trade, 387641.483, 68, B03, S02, 1
B03, Trade, 388153.400, 68, B03, S01, 1
B03, Trade, 388617.067, 68, B03, S02, 1
B03, Trade, 422516.867, 65, B03, S01, 1
B03, Trade, 521325.650, 68, B03, S01, 1
B03, Trade, 524796.833, 68, B03, S02, 1
B03, Trade, 606974.434, 68, B03, S01, 1
B03, Trade, 607357.617, 68, B03, S02, 1
B03, Trade, 711346.267, 68, B03, S03, 1
B03, Trade, 713144.051, 68, B03, S03, 1
B03, Trade, 713889.434, 68, B03, S00, 1
B03, Trade, 715917.384, 68, B03, S00, 1
B03, Trade, 762872.334, 68, B03, S00, 1
B03, Trade, 783486.601, 68, B03, S00, 1
B03, Trade, 792042.801, 68, B03, S00, 1
B03, Trade, 792194.667, 68, B03, S00, 1
B03, Trade, 796335.751, 68, B03, S02, 1
B03, Trade, 796976.534, 68, B03, S00, 1
B03, Trade, 798806.401, 68, B03, S00, 1
B03, Trade, 799174.351, 68, B03, S01, 1
B03, Trade, 802752.551, 68, B03, S01, 1
B03, Trade, 803823.684, 68, B03, S01, 1
B03, Trade, 814963.868, 68, B03, S03, 1
B03, Trade, 818170.551, 68, B03, S01, 1
B03, Trade, 847056.051, 68, B03, S02, 1
B03, Trade, 849520.901, 68, B03, S00, 1
B04, 100
B04, Trade, 656834.250, 71, B04, S00, 1
B04, Trade, 661372.717, 70, B04, S00, 1
B04, Trade, 687394.684, 71, B04, S02, 1
B04, Trade, 688599.417, 71, B04, S02, 1
B04, Trade, 689534.767, 71, B04, S03, 1
B04, Trade, 706761.717, 71, B04, S02, 1
B04, Trade, 708023.434, 70, B04, S00, 1
B04, Trade, 709526.334, 71, B04, S00, 1
B04, Trade, 711888.117, 71, B04, S00, 1
B04, Trade, 713063.967, 71, B04, S03, 1
B04, Trade, 715034.217, 71, B04, S00, 1
B04, Trade, 715072.334, 71, B04, S00, 1
B04, Trade, 715288.951, 71, B04, S03, 1
B04, Trade, 715366.117, 71, B04, S00, 1
B04, Trade, 715700.067, 71, B04, S00, 1
B04, Trade, 716037.417, 71, B04, S00, 1
B04, Trade, 716552.334, 71, B04, S03, 1
B04, Trade, 716856.734, 71, B04, S01, 1
B04, Trade, 716897.367, 71, B04, S01, 1
B04, Trade, 716904.101, 71, B04, S01, 1
