,0,1
0,0.0,
1,0.0,
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.0,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,,0.0
32,,0.0
33,,0.0
34,,0.0
35,,0.0
36,,0.0
37,,0.0
38,,0.0
39,,0.0
40,,0.0
41,,0.0
42,,0.0
43,,0.0
44,,0.0
45,,0.0
46,,0.0
47,,0.0
48,,0.0
49,,0.0
50,,0.0
51,,0.0
52,,0.0
53,,0.0
54,,0.0
55,,0.0
56,,0.0
57,,0.0
58,,0.0
59,,0.0
60,0.0,
61,0.0,
62,0.0,
63,0.0,
64,0.0,
65,0.0,
66,0.0,
67,0.0,
68,0.0,
69,0.003889,
70,0.006389,
71,0.008056,
72,0.016389,
73,0.021944,
74,0.042222,
75,0.228333,
76,0.283333,
77,0.568611,
78,0.284722,
79,0.458056,
80,0.531111,
81,1.008889,
82,1.129444,
83,0.938889,
84,1.391944,
85,2.336667,
86,2.542778,
87,3.885833,
88,2.922222,
89,3.852778,
90,1.704444,
91,,7.4775
92,,1.263333
93,,1.280278
94,,0.711944
95,,5.94
96,,2.390833
97,,2.393056
98,,4.137778
99,,3.909722
100,,1.596111
101,,0.291111
102,,0.211111
103,,0.209167
104,,0.615556
105,,0.351389
106,,0.038056
107,,0.007778
108,,0.414167
109,,0.626667
110,,0.001389
111,,0.015278
112,,0.0
113,,0.0
114,,0.003889
115,,0.000833
116,,0.024167
117,,0.002778
118,,0.000833
119,,0.0
120,0.0,
121,0.0,
122,0.0,
123,0.0,
124,0.0,
125,0.0,
126,0.0,
127,0.0,
128,0.0,
129,0.0,
130,0.0,
131,0.0,
132,0.0,
133,0.0,
134,0.0,
135,0.0,
136,0.0,
137,0.0,
138,0.0,
139,0.0,
140,0.0,
141,0.0,
142,0.0,
143,0.0,
144,0.0,
145,0.0,
146,0.0,
147,0.0,
148,0.0,
149,0.0,
150,0.0,
151,,0.0
152,,0.0
153,,0.0
154,,0.0
155,,0.0
156,,0.0
157,,0.0
158,,0.0
159,,0.0
160,,0.0
161,,0.0
162,,0.0
163,,0.0
164,,0.0
165,,0.0
166,,0.0
167,,0.0
168,,0.0
169,,0.0
170,,0.0
171,,0.0
172,,0.0
173,,0.0
174,,0.0
175,,0.0
176,,0.0
177,,0.0
178,,0.0
179,,0.0
180,0.0,
181,0.0,
182,0.0,
183,0.0,
184,0.0,
185,0.0,
186,0.000278,
187,0.0025,
188,0.003056,
189,0.0,
190,0.02,
191,0.008056,
192,0.050555,
193,0.016111,
194,0.028055,
195,0.186666,
196,0.312221,
197,0.228054,
198,0.970551,
199,0.663052,
200,0.883051,
201,0.765552,
202,1.023884,
203,1.24555,
204,2.275823,
205,1.75277,
206,2.288323,
207,3.161374,
208,2.933598,
209,3.357484,
210,1.042495,
211,,1.372771
212,,6.076083
213,,2.731654
214,,4.239425
215,,0.545553
216,,0.237221
217,,1.699714
218,,0.28611
219,,0.891663
220,,2.490266
221,,0.637219
222,,0.900829
223,,0.793885
224,,0.022222
225,,0.88444
226,,0.430554
227,,0.158333
228,,0.076389
229,,0.007222
230,,0.010278
231,,0.001389
232,,0.001944
233,,0.009722
234,,0.0
235,,0.0
236,,0.0
237,,0.0
238,,0.0
239,,0.0
240,0.0,
241,0.0,
242,0.0,
243,0.0,
244,0.0,
245,0.0,
246,0.0,
247,0.0,
248,0.0,
249,0.0,
250,0.0,
251,0.0,
252,0.0,
253,0.0,
254,0.0,
255,0.0,
256,0.0,
257,0.0,
258,0.0,
259,0.0,
260,0.0,
261,0.0,
262,0.0,
263,0.0,
264,0.0,
265,0.0,
266,0.0,
267,0.0,
268,0.0,
269,0.0,
270,0.0,
271,,0.0
272,,0.0
273,,0.0
274,,0.0
275,,0.0
276,,0.0
277,,0.0
278,,0.0
279,,0.0
280,,0.0
281,,0.0
282,,0.0
283,,0.0
284,,0.0
285,,0.0
286,,0.0
287,,0.0
288,,0.0
289,,0.0
290,,0.0
291,,0.0
292,,0.0
293,,0.0
294,,0.0
295,,0.0
296,,0.0
297,,0.0
298,,0.0
299,,0.0
300,0.0,
301,0.0,
302,0.0,
303,0.0,
304,0.0,
305,0.0,
306,0.0,
307,0.0,
308,0.0,
309,0.001667,
310,0.001944,
311,0.003056,
312,0.078056,
313,0.010833,
314,0.020278,
315,0.063889,
316,0.126389,
317,0.568614,
318,0.573058,
319,0.326113,
320,1.225283,
321,0.659725,
322,0.896671,
323,1.756953,
324,1.980843,
325,3.293071,
326,3.110292,
327,3.330849,
328,2.513345,
329,3.091125,
330,4.953356,
331,,7.164478
332,,1.375562
333,,1.436396
334,,2.558623
335,,5.641693
336,,1.972509
337,,0.286668
338,,0.275835
339,,3.368904
340,,2.991958
341,,0.358891
342,,0.101945
343,,0.066667
344,,1.605563
345,,0.006389
346,,1.044172
347,,0.284446
348,,0.021945
349,,0.063334
350,,0.043334
351,,0.018889
352,,0.000833
353,,0.004167
354,,0.0
355,,0.000278
356,,0.000556
357,,0.0
358,,0.0
359,,0.0
360,0.0,
361,0.0,
362,0.0,
363,0.0,
364,0.0,
365,0.0,
366,0.000694,
367,0.000139,
368,0.000694,
369,0.002917,
370,0.001111,
371,0.002639,
372,0.082361,
373,0.007361,
374,0.018611,
375,0.052639,
376,0.112222,
377,0.561251,
378,0.554168,
379,0.35889,
380,1.217919,
381,0.672779,
382,0.85028,
383,1.795976,
384,1.874032,
385,3.282091,
386,3.103202,
387,3.32848,
388,2.553339,
389,3.147924,
390,4.882372,
391,,7.21585
392,,1.282642
393,,1.395003
394,,2.459311
395,,5.605985
396,,1.872227
397,,0.281251
398,,0.249445
399,,3.41973
400,,2.993479
401,,0.340417
402,,0.121111
403,,0.064583
404,,1.606948
405,,0.009444
406,,1.045141
407,,0.285278
408,,0.018333
409,,0.054861
410,,0.045556
411,,0.024583
412,,0.001806
413,,0.002083
414,,0.0
415,,0.000139
416,,0.000278
417,,0.0
418,,0.0
419,,0.0
420,0.0,
421,0.0,
422,0.0,
423,0.0,
424,0.0,
425,0.0,
426,0.0,
427,0.0,
428,0.001944,
429,0.0,
430,0.004444,
431,0.003056,
432,0.006111,
433,0.006111,
434,0.073056,
435,0.006667,
436,0.123057,
437,0.118612,
438,0.172779,
439,0.277225,
440,1.03001,
441,0.59945,
442,0.823063,
443,0.623339,
444,1.543903,
445,1.297512,
446,1.191122,
447,2.606691,
448,3.35392,
449,3.72559,
450,7.95174,
451,,5.702553
452,,5.470328
453,,6.28978
454,,6.746451
455,,0.074445
456,,2.083908
457,,0.713895
458,,0.081667
